code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,총포괄손익,영업비용
6260,LS,산업재,2015,Q4,2016-03-30,"86,423,000,000","2,125,059,000,000","2,211,482,000,000","78,813,000,000","315,097,000,000","393,910,000,000","1,573,276,000,000","1,817,572,000,000",136138000000.0,107425000000.0,97029000000.0,108949000000.0,,,
6260,LS,산업재,2016,Q1,2016-05-11,"98,977,000,000","2,124,822,000,000","2,223,799,000,000","104,974,000,000","314,909,000,000","419,883,000,000","1,559,620,000,000","1,803,916,000,000",30512000000.0,23364000000.0,21177000000.0,21085000000.0,,,
6260,LS,산업재,2016,Q2,2016-08-12,"73,099,000,000","2,142,371,000,000","2,215,470,000,000","77,761,000,000","318,444,000,000","396,205,000,000","1,574,969,000,000","1,819,265,000,000",29483000000.0,21363000000.0,17875000000.0,15379000000.0,,,
6260,LS,산업재,2016,Q3,2016-11-14,"56,569,000,000","2,145,779,000,000","2,202,348,000,000","163,646,000,000","220,630,000,000","384,276,000,000","1,573,776,000,000",,,,,,,,
6260,LS,산업재,2016,Q4,2017-03-31,"59,713,000,000","2,146,175,000,000","2,205,888,000,000","215,195,000,000","168,399,000,000","383,594,000,000","1,577,998,000,000","1,822,294,000,000",23063000000.0,8600000000.0,4507000000.0,3207000000.0,,,
6260,LS,산업재,2017,Q1,2017-05-15,"132,689,000,000","2,149,165,000,000","2,281,854,000,000","253,308,000,000","172,847,000,000","426,155,000,000","1,611,403,000,000",,,,,,,,
6260,LS,산업재,2017,Q2,2017-08-14,"126,054,000,000","2,147,933,000,000","2,273,987,000,000","247,818,000,000","172,259,000,000","420,077,000,000","1,609,662,000,000",,,,,,,,
6260,LS,산업재,2017,Q3,2017-11-14,"63,398,000,000","2,184,765,000,000","2,248,163,000,000","222,785,000,000","171,898,000,000","394,683,000,000","1,609,199,000,000","1,853,480,000,000",,,,,,,
6260,LS,산업재,2017,Q4,2018-04-02,"26,446,000,000","2,182,553,000,000","2,208,999,000,000","180,989,000,000","169,762,000,000","350,751,000,000","1,613,936,000,000","1,858,248,000,000",,85163000000.0,74883000000.0,70755000000.0,"161,000,000,000",,
6260,LS,산업재,2018,Q1,2018-05-15,"104,926,000,000","2,179,806,000,000","2,284,732,000,000","217,139,000,000","169,424,000,000","386,563,000,000","1,653,875,000,000","1,898,169,000,000",,79203000000.0,76772000000.0,74694000000.0,"161,000,000,000",,
6260,LS,산업재,2018,Q2,2018-08-14,"46,699,000,000","2,173,583,000,000","2,220,282,000,000","163,965,000,000","169,150,000,000","333,115,000,000","1,642,871,000,000","1,887,167,000,000",,-3378000000.0,-6602000000.0,-10958000000.0,"161,000,000,000",,
6260,LS,산업재,2018,Q3,2018-11-14,"17,619,000,000","2,175,069,000,000","2,192,688,000,000","197,936,000,000","108,714,000,000","306,650,000,000","1,641,742,000,000","1,886,038,000,000",,1213000000.0,-1014000000.0,-1089000000.0,"161,000,000,000",,
6260,LS,산업재,2018,Q4,2019-04-01,"62,528,000,000","2,253,120,000,000","2,315,648,000,000","231,867,000,000","23,751,000,000","255,618,000,000","1,815,734,000,000","2,060,030,000,000",,128188000000.0,117962000000.0,118287000000.0,"161,000,000,000",,
6260,LS,산업재,2019,Q1,2019-05-15,"139,838,000,000","2,269,099,000,000","2,408,937,000,000","267,363,000,000","33,660,000,000","301,023,000,000","1,863,618,000,000","2,107,914,000,000",,77947000000.0,86195000000.0,82627000000.0,"161,000,000,000",,
6260,LS,산업재,2019,Q2,2019-08-14,"279,186,000,000","2,295,220,000,000","2,574,406,000,000","231,816,000,000","235,529,000,000","467,345,000,000","1,862,765,000,000","2,107,061,000,000",,-5655000000.0,-721000000.0,-825000000.0,"161,000,000,000",,
6260,LS,산업재,2019,Q3,2019-11-14,"206,671,000,000","2,314,147,000,000","2,520,818,000,000","169,906,000,000","240,757,000,000","410,663,000,000","1,865,859,000,000","2,110,155,000,000",,1128000000.0,4576000000.0,3116000000.0,"161,000,000,000",,
6260,LS,산업재,2019,Q4,2020-03-30,"143,311,000,000","3,359,646,000,000","3,502,957,000,000","73,307,000,000","233,296,000,000","306,603,000,000","2,974,174,000,000","3,196,354,000,000",,-28161000000.0,-32232000000.0,-33276000000.0,"161,000,000,000",,
