,name,sector,year,quarter,매출액변화율,자산총계변화율,이익잉여금변화율,비유동자산변화율,영업이익변화율,Relative Return,특정 증권 등 소유 수변화율,특정 증권 등 소유 증감 수변화율,주주 수변화율,1인평균급여변화율,Label,Code
25,Korea_Shell_Petroleum,Energy_&_Utilities,2018,Q2,0.013298602540562587,0.12414723894548263,-0.08300642334943698,-0.014533642888421516,0.03084578475345756,-0.08174671283220253,0.0,0.0,0.1259668527226454,0.03604484587845436,0.09162372767510019,002960
25,S-Oil,Energy_&_Utilities,2018,Q2,-0.10944026748940017,-0.05615005286330699,-0.033428346849558865,-0.04405154536550615,-0.5856056002336061,0.059779729475489776,-0.09157741620793836,-0.09062818966867048,-0.04556411620917822,-0.05148505366657807,-0.040899692780903565,010950
25,Korea_Electric_Power_Corporation_(KEPCO),Energy_&_Utilities,2018,Q2,0.14816602921289568,-0.004321912586206178,0.011958064497168075,-0.0070686600123184284,0.5158786843276782,-0.09681367711791683,-0.03225236149879862,-0.038362027985895386,-0.005530908548718738,-0.0002486337196956345,0.024511424014286437,015760
25,Korea_Electric_Terminal,Energy_&_Utilities,2018,Q2,-0.11807750506860959,-0.02444073047039641,-0.01591051744982841,-0.00686095667415465,-0.5296574706634696,-0.1729618878815122,-0.03941969872702167,-0.01902972625851973,-0.02882686378198751,-0.026812543495317476,-0.12442541580214964,025540
25,Korea_Gas_Corporation,Energy_&_Utilities,2018,Q2,0.4413534220429729,0.026819958036277458,0.05530633419518738,-0.00225539480013226,1.0250085839027174,0.16088288988097577,-0.1869029712793322,-2.341136261010204,0.09953243768456,0.13403526995873327,0.37957916085688925,036460
25,KEPCO_KPS,Energy_&_Utilities,2018,Q2,-0.35269462016715836,0.01765975926572172,-0.04857555655377954,-0.0013313988391312481,-1.7999859407213923,0.1688020454803494,-0.011908731557570995,-1.478883550879062,0.005156158656962062,-0.02445065544609415,-0.16609690221047815,051600
25,SK_Innovation,Energy_&_Utilities,2018,Q2,0.8212582680283991,0.06075995668445011,0.010195131057269213,-0.031671336397424144,1.0285476788847039,0.0608990721789909,-1.0993949182493705,-1.058546758744623,-0.08709564783012125,-0.044214388070776156,-0.0012545173180887187,096770
