,p1,p2,p3,p4
CAGR,0.547896451680338,-0.3208103434077252,0.15253291946552872,0.12436720180108285
Sharpe Ratio,2.3660178863996593,-2.134689687197628,0.9005571953669455,0.7418701266325171
MDD,0.07999591013386291,0.06002473743374308,0.0636448536306999,0.07662335384130226
