,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,실업률 변화율,1인평균급여 변화율,소비자물가지수 변화율,기말 소유주식 수 변화율,자기주식수 변화율,Label,Code
33,CJ대한통운,2016,Q3,산업재,-0.10884308667554576,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,-0.23530932741448607,000120
33,두산,2016,Q3,산업재,0.010615777412827014,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,-0.284123174556213,000150
33,SK하이닉스,2016,Q3,정보기술,0.159503652536732,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,0.1529801462697245,000660
33,LG상사,2016,Q3,산업재,-0.10499041889703539,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,-0.0869465638279954,001120
33,대한항공,2016,Q3,산업재,-0.028690139370241032,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,0.020052186212663123,003490
33,LG,2016,Q3,정보기술,-0.06569475201101335,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,0.051086683713398015,003550
33,S&T중공업,2016,Q3,산업재,-0.07835715774132139,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,-0.05398689182014529,003570
33,한솔테크닉스,2016,Q3,정보기술,-0.20891271278621495,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,-0.0410300375355413,004710
33,삼성전자,2016,Q3,정보기술,0.053607573533440186,-0.050622400342652196,0.08411214953271018,0.0,-0.1224419591674838,0.0,-0.05062240034265231,0.1965088619034434,005930
33,LS,2016,Q3,산업재,0.13213228635192797,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,-0.09827802366491606,006260
33,삼성SDI,2016,Q3,정보기술,-0.20506661229947815,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,0.369051702142118,006400
33,대덕전자,2016,Q3,정보기술,-0.00692040981007714,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,0.10707166670010747,008060
33,삼성전기,2016,Q3,정보기술,-0.18528067433332976,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,0.35125591672668516,009150
33,LS산전,2016,Q3,산업재,-0.0692098982491852,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,0.027358971239124716,010120
33,LG이노텍,2016,Q3,정보기술,-0.10697649706752957,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,0.7022363716956747,011070
33,현대상선,2016,Q3,산업재,0.23826805472105386,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,-0.1170884070194826,011200
33,삼성에스디에스,2016,Q3,정보기술,-0.16251481540448273,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,-0.18896429817472,018260
33,일진머티리얼즈,2016,Q3,정보기술,-0.278990304761328,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,0.1701028630281196,020150
33,한국단자,2016,Q3,산업재,-0.1124331605324087,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,-0.05062240034266641,-0.14280752496315224,025540
33,신도리코,2016,Q3,정보기술,0.052313075151563165,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,-0.1761236273151812,029530
33,LG디스플레이,2016,Q3,정보기술,-0.11853559606636194,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,-0.010848458177553769,034220
33,SK,2016,Q3,정보기술,0.019303366413699084,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,-0.052853187063608864,034730
33,한미반도체,2016,Q3,정보기술,-0.057284077974767214,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,0.10217607495223895,042700
33,대우인터내셔널,2016,Q3,산업재,0.08085533832688312,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,-0.05062240034209653,-0.18324086135636292,047050
33,한국항공우주,2016,Q3,산업재,-0.12054811873481577,-0.050622400342661855,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,-0.30041710409207,047810
33,한전KPS,2016,Q3,산업재,-0.198087937934127,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,0.01224909933831654,051600
33,LG전자,2016,Q3,정보기술,-0.11748908641648959,0.0,0.08411214953271018,0.0,-0.1224419591674838,0.0,0.0,0.3294163164824904,066570
33,현대글로비스,2016,Q3,산업재,-0.045976701927484785,0.0,0.08411214953271018,-0.050622400342588136,-0.1224419591674838,0.0,0.0,-0.18597478913536974,086280
