,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,실업률 변화율,1인평균급여 변화율,소비자물가지수 변화율,기말 소유주식 수 변화율,자기주식수 변화율,Label,Code
13,CJ대한통운,2021,Q3,산업재,-0.09966356553637193,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.03823905401086618,000120
13,두산,2021,Q3,산업재,0.41635357612799506,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,-0.04979934996693024,000150
13,SK하이닉스,2021,Q3,정보기술,0.11491272592963268,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.2123586794240616,000660
13,LG상사,2021,Q3,산업재,0.0010167209445187883,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.22057431134612354,001120
13,대한항공,2021,Q3,산업재,0.10236674735393225,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.02508918020116732,003490
13,LG,2021,Q3,정보기술,0.010826868558256687,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,-0.08444885092536092,003550
13,S&T중공업,2021,Q3,산업재,-0.01959866757723626,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,-0.056292676079695354,003570
13,한솔테크닉스,2021,Q3,정보기술,-0.13263647128451078,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.13533450785547407,004710
13,삼성전자,2021,Q3,정보기술,0.01451133443913228,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.08021174509408492,005930
13,LS,2021,Q3,산업재,-0.09416699707156917,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,-0.03695878846085213,006260
13,삼성SDI,2021,Q3,정보기술,-0.010087483715657743,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,-0.22333172265055734,006400
13,대덕전자,2021,Q3,정보기술,0.1129063564214618,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.03722694506725424,008060
13,삼성전기,2021,Q3,정보기술,-0.023108179224949628,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.03965269582859916,009150
13,LS산전,2021,Q3,산업재,0.005512225440023284,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,-0.15157707045872365,010120
13,LG이노텍,2021,Q3,정보기술,0.19928080979684293,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.3589804087982713,011070
13,현대상선,2021,Q3,산업재,-0.25051204052485565,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.29671968659720305,011200
13,삼성에스디에스,2021,Q3,정보기술,-0.06170181052401268,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,-0.013977907043326895,018260
13,일진머티리얼즈,2021,Q3,정보기술,0.4144945474658236,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,-0.15001491424310207,020150
13,한국단자,2021,Q3,산업재,-0.16224005922731322,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,-0.09355461139944468,025540
13,신도리코,2021,Q3,정보기술,0.08534063963857745,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.06914303230284338,029530
13,LG디스플레이,2021,Q3,정보기술,0.033904907397413586,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.007818146385124333,034220
13,SK,2021,Q3,정보기술,-0.005705290503390574,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.05434460510735892,034730
13,한미반도체,2021,Q3,정보기술,-0.023206392513691568,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.08164006673679003,042700
13,대우인터내셔널,2021,Q3,산업재,-0.08816575610388241,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.18716245551818023,047050
13,한국항공우주,2021,Q3,산업재,-0.030033517160934046,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.4031162344422362,047810
13,한전KPS,2021,Q3,산업재,0.17184651693076033,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.020848768122258124,051600
13,LG전자,2021,Q3,정보기술,-0.12891149037904137,0.0,-0.1504424778761062,0.0,0.01761921683046319,0.0,0.0,0.1116929810362218,066570
13,현대글로비스,2021,Q3,산업재,-0.10442638119133932,0.0,-0.1504424778761062,0.0693771643803569,0.01761921683046319,0.0,0.0,0.15844896954791807,086280
