접수번호,접수일자,회사코드,회사명,대표보고자,발행 회사 관계 임원(등기여부),발행 회사 관계 임원 직위,발행 회사 관계 주요 주주,특정 증권 등 소유 수,특정 증권 등 소유 증감 수,특정 증권 등 소유 비율,특정 증권 등 소유 증감 비율,연도,분기
20231010000044,2023-10-10,00145109,유한양행,국민연금공단,-,-,10%이상주주,"8,707,396","716,281",11.19,0.92,2023,Q4
20231023000152,2023-10-23,00145109,유한양행,박동진,등기임원,사외이사,-,"1,604",502,0.00,0.00,2023,Q4
20231030000090,2023-10-30,00145109,유한양행,오세웅,비등기임원,부사장,-,715,300,0.00,0.00,2023,Q4
20231101000217,2023-11-01,00145109,유한양행,국민연금공단,-,-,10%이상주주,"7,630,311","-1,077,085",9.81,-1.38,2023,Q4
20231103000003,2023-11-03,00145109,유한양행,김열홍,비등기임원,사장,-,"3,895",500,0.00,0.00,2023,Q4
20231106000124,2023-11-06,00145109,유한양행,국민연금공단,-,-,10%이상주주,"7,662,796","-4,482",9.85,0.00,2023,Q4
20231106000107,2023-11-06,00145109,유한양행,국민연금공단,-,-,10%이상주주,"7,667,278","7,667,278",9.85,9.85,2023,Q4
20231109000129,2023-11-09,00145109,유한양행,장선우,비등기임원,상무,-,300,300,0.00,0.00,2023,Q4
20240102000016,2024-01-02,00145109,유한양행,이정희,등기임원,기타비상무이사,-,"55,400",162,0.07,0.00,2024,Q1
20240125000158,2024-01-25,00145109,유한양행,김성수,비등기임원,전무,-,302,14,0.00,0.00,2024,Q1
20240125000166,2024-01-25,00145109,유한양행,김재훈,비등기임원,전무,-,"1,697",80,0.00,0.00,2024,Q1
20240125000173,2024-01-25,00145109,유한양행,강대식,비등기임원,전무,-,972,46,0.00,0.00,2024,Q1
20240125000181,2024-01-25,00145109,유한양행,박은희,비등기임원,상무,-,"1,746",83,0.00,0.00,2024,Q1
20240125000182,2024-01-25,00145109,유한양행,안경규,비등기임원,상무,-,"1,633",77,0.00,0.00,2024,Q1
20240125000184,2024-01-25,00145109,유한양행,오상호,비등기임원,상무,-,"1,639",78,0.00,0.00,2024,Q1
20240125000185,2024-01-25,00145109,유한양행,홍승훈,비등기임원,상무,-,"3,009",143,0.00,0.00,2024,Q1
20240125000186,2024-01-25,00145109,유한양행,이병철,비등기임원,상무,-,"3,365",160,0.00,0.00,2024,Q1
20240125000188,2024-01-25,00145109,유한양행,김재용,비등기임원,상무,-,427,20,0.00,0.00,2024,Q1
20240125000225,2024-01-25,00145109,유한양행,공병준,비등기임원,상무,-,"1,525",72,0.00,0.00,2024,Q1
20240125000153,2024-01-25,00145109,유한양행,신명철,비등기임원,전무,-,58,2,0.00,0.00,2024,Q1
20240125000146,2024-01-25,00145109,유한양행,박동진,등기임원,사외이사,-,"1,684",80,0.00,0.00,2024,Q1
20240125000138,2024-01-25,00145109,유한양행,유재천,비등기임원,부사장,-,48,2,0.00,0.00,2024,Q1
20240125000126,2024-01-25,00145109,유한양행,오세웅,비등기임원,부사장,-,750,35,0.00,0.00,2024,Q1
20240125000111,2024-01-25,00145109,유한양행,이영래,비등기임원,부사장,-,"3,887",185,0.00,0.00,2024,Q1
20240125000101,2024-01-25,00145109,유한양행,이병만,등기임원,부사장,-,"1,932",92,0.00,0.00,2024,Q1
