code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
12750,S-1_Corporation,일반서비스,2023,Q4,"1,012,362,036,750","1,076,349,137,250","2,088,711,174,000","429,850,847,543","103,572,769,382","533,423,616,925","1,492,741,089,386","1,555,287,557,075",682149650359.0,41309095029.0,42938466882.0,57378260884.0,57378260884.0,"18,999,589,000",127134942115.0
19680,Daekyo,일반서비스,2023,Q4,"74,164,113,788","451,831,459,620","525,995,573,408","169,173,913,394","62,987,696,525","232,161,609,919","267,186,273,378","293,833,963,489",137028139512.0,-4054802147.0,-77085212478.0,-76818030845.0,-76818030845.0,"52,064,920,000",-91147655554.0
21240,Coway,일반서비스,2023,Q4,"1,116,479,248,592","2,524,618,100,873","3,641,097,349,465","932,211,817,776","524,965,234,033","1,457,177,051,809","2,039,645,074,663","2,183,920,297,656",716102252149.0,91662849466.0,46003003331.0,26326016631.0,26326016631.0,"40,662,398,000",189198308638.0
28050,Samsung_Engineering,일반서비스,2023,Q4,"3,498,226,704,403","1,612,834,911,909","5,111,061,616,312","2,703,893,363,094","100,397,792,176","2,804,291,155,270","1,293,189,783,555","2,306,770,461,042",1502467258551.0,-29183008790.0,-20989531456.0,-8774258714.0,-8774258714.0,"980,000,000,000",495987625612.0
30000,Cheil_Worldwide,일반서비스,2023,Q4,"901,001,271,196","410,098,195,524","1,311,099,466,720","677,835,654,008","22,449,375,819","700,285,029,827","735,806,871,946","610,814,436,893",353618252893.0,23538565442.0,-44245540919.0,-50746703278.0,-50746703278.0,"23,008,245,000",-6801534284.0
52690,KEPCO_E&C,일반서비스,2023,Q4,"446,899,930,478","407,803,670,460","854,703,600,938","249,899,381,622","57,496,618,175","307,395,999,797","549,951,957,416","547,307,601,141",197214270757.0,1646845435.0,10404316235.0,7286969775.0,7286969775.0,"7,644,000,000",7723928697.0
