,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,금리 변화율,주식 수 감소 변화율,실업률 변화율,소비자물가지수 변화율,자기주식수 변화율,Label,Code
3,현대중공업,2024,Q1,중공업,0.05059624570439717,0.0,-0.12136131985833976,0.0,-0.011764705882352788,-0.11265192787422551,0.0,0.47399972928725354,009540
3,삼성중공업,2024,Q1,중공업,0.22581038653978008,0.0,-0.12136131985833976,0.0,-0.011764705882352788,-0.11265192787422551,0.0,0.10666313721558776,010140
3,현대미포조선,2024,Q1,중공업,0.14666691807358895,0.0,-0.12136131985833976,0.0,-0.011764705882352788,-0.11265192787422551,0.0,0.4355049531430463,010620
3,한화테크윈,2024,Q1,중공업,0.18928594800086354,0.0,-0.12136131985833976,0.0,-0.011764705882352788,-0.11265192787422551,0.0,0.42999020173573543,012450
3,현대엘리베이,2024,Q1,중공업,-0.033651021674842255,0.0,-0.12136131985833976,0.0,-0.011764705882352788,-0.11265192787422551,0.0,0.06220879736300331,017800
3,두산중공업,2024,Q1,중공업,-0.0549987010172387,0.0,-0.12136131985833976,0.0,-0.011764705882352788,-0.11265192787422551,0.0,0.06835882263387019,034020
3,대우조선해양,2024,Q1,중공업,0.2647486592585876,0.0,-0.12136131985833976,0.0,-0.011764705882352788,-0.11265192787422551,0.0,0.03332703308516264,042660
3,두산인프라코어,2024,Q1,중공업,-0.017807118927036666,0.0,-0.12136131985833976,0.0,-0.011764705882352788,-0.11265192787422551,0.0,-0.09410343025277107,042670
3,현대로템,2024,Q1,중공업,0.18465177661154913,0.0,-0.12136131985833976,0.0,-0.011764705882352788,-0.11265192787422551,0.0,0.42347536927754004,064350
3,두산엔진,2024,Q1,중공업,0.331288989569661,0.0,-0.12136131985833976,0.0,-0.011764705882352788,-0.11265192787422551,0.0,0.013749766013346529,082740
3,한진중공업,2024,Q1,중공업,-0.007389877513063867,0.0,-0.12136131985833976,0.0,-0.011764705882352788,-0.11265192787422551,0.0,-0.02599371327836455,097230
