,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,금리 변화율,주식 수 감소 변화율,실업률 변화율,소비자물가지수 변화율,자기주식수 변화율,Label,Code
33,현대중공업,2016,Q3,중공업,0.05501709048547251,0.0,-0.16954353663214605,-0.05062240034262011,0.08411214953271018,-0.1224419591674838,0.0,0.022361074163679454,009540
33,삼성중공업,2016,Q3,중공업,0.12193879833170787,0.0,-0.16954353663214605,0.0,0.08411214953271018,-0.1224419591674838,0.0,0.09354039364304538,010140
33,현대미포조선,2016,Q3,중공업,-0.20250429185804758,0.0,-0.16954353663214605,0.0,0.08411214953271018,-0.1224419591674838,0.0,0.19791314356502815,010620
33,한화테크윈,2016,Q3,중공업,-0.1312677818950058,0.0,-0.16954353663214605,0.0,0.08411214953271018,-0.1224419591674838,-0.05062240034255827,-0.20105057256039613,012450
33,현대엘리베이,2016,Q3,중공업,-0.009155151601217167,0.0,-0.16954353663214605,0.0,0.08411214953271018,-0.1224419591674838,-0.050622400342653084,-0.11792008295116328,017800
33,두산중공업,2016,Q3,중공업,0.010496060985617686,-0.05062240034266574,-0.16954353663214605,-0.05062240034266574,0.08411214953271018,-0.1224419591674838,-0.05062240034266585,-0.2644080774698696,034020
33,대우조선해양,2016,Q3,중공업,0.0,0.0,-0.16954353663214605,0.0,0.08411214953271018,-0.1224419591674838,-0.05062237675990522,0.0,042660
33,두산인프라코어,2016,Q3,중공업,0.00431737201593998,0.0,-0.16954353663214605,-0.050622400342066,0.08411214953271018,-0.1224419591674838,-0.050622400342066,-0.02239453974757946,042670
33,현대로템,2016,Q3,중공업,-0.13135165542036203,0.0,-0.16954353663214605,0.0,0.08411214953271018,-0.1224419591674838,0.0,-0.05441568706360886,064350
33,두산엔진,2016,Q3,중공업,-0.19157843471200448,0.0,-0.16954353663214605,-0.05062240034260912,0.08411214953271018,-0.1224419591674838,-0.05062240034260901,-0.24021763779439623,082740
33,한진중공업,2016,Q3,중공업,-0.1230983132457033,-0.05062240034267118,-0.16954353663214605,-0.05062240034267129,0.08411214953271018,-0.1224419591674838,-0.05062240034267118,-0.2095849966133588,097230
