,name,year,quarter,sector,Relative Return,국제유가 변화율,이익잉여금 변화율,비유동자산 변화율,부채총계 변화율,매출액 변화율,비유동부채 변화율,Label,Code
7,하이트진로,2023,Q1,생활소비재,-0.024821968334735087,-0.08337411073888668,-0.1167912853350569,0.004991940490844948,0.06500935459728985,-0.009369547541689394,-0.21186173151290022,-0.15510437639735503,000080
7,조선내화,2023,Q1,철강_소재,0.06836339716957847,-0.08337411073888668,0.008909039258360174,-0.05403856715841404,-0.09414070085295922,-0.009001172611143526,-0.8827694882066867,0.01859796740924216,000480
7,영풍,2023,Q1,철강_소재,-0.08632504545940695,-0.08337411073888668,0.04194689292381737,0.0481824005384337,0.11485875040803184,-0.07662054891727643,0.013926840004259589,-0.008138775911639778,000670
7,CJ,2023,Q1,생활소비재,-0.13613870129101321,-0.08337411073888668,-0.0021971101494422385,-0.0006821353075396885,-0.17395235033850798,-0.06493411932124582,-0.33243002944431554,-0.17919900942632128,001040
7,동국제강,2023,Q1,철강_소재,-0.0896062855049913,-0.08337411073888668,0.058012714921399366,0.0008244605112717185,0.04065093225563543,-0.055101902947439774,0.2544957037194162,0.20365198402539958,001230
7,세아베스틸,2023,Q1,철강_소재,0.005019466384008388,-0.08337411073888668,0.005840820022078086,0.003675255868306193,0.15242195915871015,-0.30791722407055333,0.008124620526116733,-0.01517141271331833,001430
7,대상,2023,Q1,생활소비재,-0.042117077353037366,-0.08337411073888668,-0.012416447825644217,0.0465109212280701,0.06323488320827897,0.016864459613057825,0.12708311773583136,-0.11603061908663619,001680
7,오리온,2023,Q1,생활소비재,0.011134679133489672,-0.08337411073888668,-0.9434818744753767,0.0010006887586466728,0.35085195595677865,2.521082735955617,0.0010007809600640627,-0.10112309208470176,001800
7,고려제강,2023,Q1,철강_소재,-0.12670927147250136,-0.08337411073888668,0.0056693784658230495,-0.003909896931557522,0.05478255264024656,-0.14465949101103193,-0.052959576309710155,0.19543682499953216,002240
7,아모레G,2023,Q1,생활소비재,-0.21228938790982174,-0.08337411073888668,0.005373371118110093,-0.013512016011962724,0.2802888687440712,-0.06495491256885289,-0.12938145685483704,-0.0006872790240209092,002790
7,세아제강,2023,Q1,철강_소재,0.028680810714708974,-0.08337411073888668,0.03433322742626976,0.02266132277438926,0.2577002736285281,7.751471975872944,0.13219926994020925,0.21341076251411584,003030
7,남양유업,2023,Q1,생활소비재,-0.14136842400622174,-0.08337411073888668,-0.020135511567352493,-0.023368538716622034,-0.22072672118022052,-0.009765560111637095,-0.04660049068842098,-0.14653587963211323,003920
7,현대제철,2023,Q1,철강_소재,-0.018297440196015237,-0.08337411073888668,0.009673225735137514,-0.010290621912178444,-0.02699253827803727,0.11908698135628315,-0.04483019587025905,-0.048063175218814744,004020
7,농심,2023,Q1,생활소비재,0.04817080089397604,-0.08337411073888668,0.004848800790240748,0.0036274316584421484,0.08804649747710247,0.01922558645193706,0.03725236168168733,0.02837237111550478,004370
7,삼광글라스,2023,Q1,철강_소재,-0.10419097835919167,-0.08337411073888668,-0.08144915079026549,4.7078706602921017e-05,-0.06520914173179515,-0.11373883279054009,-0.006069510056753269,-0.14846349759528193,005090
7,빙그레,2023,Q1,생활소비재,0.05721983925373751,-0.08337411073888668,-0.684108825672193,-0.02435319507518563,0.12010443152289896,0.11829828820224253,0.10198853604259184,0.0038271566715171526,005180
7,롯데칠성,2023,Q1,생활소비재,-0.1154013960664157,-0.08337411073888668,0.002275569893561702,0.00632324274723528,0.09565967510655571,0.015987817471184274,0.15097762800176429,-0.12258151255371992,005300
7,현대그린푸드,2023,Q1,생활소비재,0.0,-0.08337411073888668,0.08232048479078702,-0.2642129181690265,-0.48792340468616235,-0.04280613986536175,0.08340199547520766,-0.1294554152404964,005440
7,POSCO,2023,Q1,철강_소재,0.07761034656793306,-0.08337411073888668,0.00844201762208141,0.008991777432878267,0.06404549012077099,0.14227985908794527,0.037735843735053454,0.5378390778086102,005490
7,삼립식품,2023,Q1,생활소비재,0.05611561802100263,-0.08337411073888668,-0.017071973014454178,-0.001639975943337757,0.03668286812534749,-0.0780746345257719,-0.043494649682208064,-0.15021653276331445,005610
7,크라운제과,2023,Q1,생활소비재,-0.03870077982092998,-0.08337411073888668,0.014983219970667205,-0.0005236389773505268,0.033147639128584316,1.3105920830427022,0.01718027637432651,-0.12217600288614477,005740
7,GS리테일,2023,Q1,생활소비재,-0.10480710195193943,-0.08337411073888668,0.00014406226849228432,0.0009926243329703155,0.0291605431764137,-0.052470360952762696,-0.0006692316528784659,-0.10015120560834488,007070
7,오뚜기,2023,Q1,생활소비재,0.006792620522862752,-0.08337411073888668,0.0027944531610006873,-0.009213372640319184,-0.014451355172448443,0.03341679045890267,0.46372565172141456,-0.21360309296137564,007310
7,무림P&P,2023,Q1,철강_소재,-0.034432687876599546,-0.08337411073888668,-0.0037924361763430614,-0.0032075449124260302,-0.0483439897829403,-0.07060981205126293,-0.1311244573200957,-0.11948345723663582,009580
7,고려아연,2023,Q1,철강_소재,-0.13914484232180235,-0.08337411073888668,-0.03407366421640101,0.031775804079797965,-0.0607132793103774,-0.16149531820532315,0.7858790721973536,-0.02949819793436219,010130
7,한국전력,2023,Q1,생활소비재,0.05526042307158455,-0.08337411073888668,-1.1377792930582646,0.021831278163115586,0.04396373493849626,0.11032454188724938,0.08791126442915931,-0.08901985447336633,015760
7,KT&G,2023,Q1,생활소비재,-0.11801050185888873,-0.08337411073888668,-0.7431687114703942,0.02440045734518259,0.07664678459628216,-0.10047020742122792,-0.016964954952485622,-0.045784684525965166,033780
