,name,year,quarter,sector,Relative Return,자본총계 변화율,비유동자산 변화율,특정 증권 등 소유 증감 수 변화율,비유동부채 변화율,이익잉여금 변화율,매출액 변화율,국제유가 변화율,유동자산 변화율,자산총계 변화율,Label,Code
33,Chosun_Refractories,2016,Q3,비금속,-0.11802747473988154,-0.027107261458705345,-0.03407413733282283,0.05061968268137795,-0.4819923399344874,-0.011783632523946874,-0.013266443858707788,-0.005784579336604034,0.0415014890031038,-0.005871808296371128,0.03177562090774402,000480
32,Hanil_Cement,2016,Q3,비금속,-0.1189597346558075,0.01823611679812598,-0.04723709627097539,0.05060712780055188,-0.021862803919197704,0.017737152754482843,0.07447874371358887,-0.005784579336604034,0.059439529421495885,-0.005326235662118872,-0.12326458893578834,003300
32,Ssangyong_Cement,2016,Q3,비금속,-0.03438631695958109,-0.21693066767285551,-0.0052094495831529475,0.050590339738371126,-0.12934287200321992,-0.1690760913180993,0.03692855651574933,-0.005784579336604034,0.00852234424484144,-0.0034205148323895873,-0.18187175363805597,003410
32,IS_Dongseo,2016,Q3,비금속,0.2748117122169525,-0.10405612130091124,-0.010255487661161578,0.05062098169232221,0.18830514566758882,-0.12136591433031807,0.11648690993973598,-0.005784579336604034,0.055159856646906924,0.03955637479964447,-0.14444089739491855,010780
