접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160329000111,Y,00260383,대한유화,소액주주,"8,125",-,99.90%,"3,082,019",-,47.42%,2015-12-31,2015,Q4
20170330001048,Y,00260383,대한유화,소액주주,"6,746",-,99.88%,"3,018,404",-,"46.44%,%",2016-12-31,2016,Q4
20180330003169,Y,00260383,대한유화,소액주주,"10,176",-,99.83%,"3,074,121",-,47.29%,2017-12-31,2017,Q4
20190329003092,Y,00260383,대한유화,소액주주,"14,309",-,99.88%,"3,174,905",-,48.84%,2018-12-31,2018,Q4
20200327002133,Y,00260383,대한유화,소액주주,"13,370",-,99.93%,"2,906,941",-,44.72%,2019-12-31,2019,Q4
20210311001060,Y,00260383,대한유화,소액주주,"17,073","17,080",99.96%,"3,243,752","6,500,000",49.90%,2020-12-31,2020,Q4
20220310001198,Y,00260383,대한유화,소액주주,"42,632","42,639",99.98%,"3,302,942","6,500,000",50.81%,2021-12-31,2021,Q4
20230309000833,Y,00260383,대한유화,소액주주,"36,466","36,473",99.98%,"3,299,660","6,500,000",50.76%,2022-12-31,2022,Q4
20240307000479,Y,00260383,대한유화,소액주주,"30,294","30,302",99.97%,"3,186,908","6,500,000",49.03%,2023-12-31,2023,Q4
20250306000568,Y,00260383,대한유화,소액주주,"29,585","29,594",99.97%,"3,287,321","6,500,000",50.57%,2024-12-31,2024,Q4
