접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160516003110,Y,00154462,아모레퍼시픽그룹,소액주주,"20,063",-,99.94%,"22,151,195",-,27.76%,2015-12-31,2015,Q4
20170331005056,Y,00154462,아모레퍼시픽그룹,소액주주,"17,154",-,99.93%,"22,258,839",-,26.99%,2016-12-31,2016,Q4
20180402002570,Y,00154462,아모레퍼시픽그룹,소액주주,"11,921",-,99.9%,"20,489,597",-,24.84%,2017-12-31,2017,Q4
20190401002539,Y,00154462,아모레퍼시픽그룹,소액주주,"18,105",-,99.92%,"19,754,070",-,23.95%,2018-12-31,2018,Q4
20200429000864,Y,00154462,아모레퍼시픽그룹,소액주주,"13,895",-,99.91%,"19,401,483",-,23.52%,2019-12-31,2019,Q4
20210311001021,Y,00154462,아모레퍼시픽그룹,소액주주,"30,066","30,076",99.95%,"20,144,327","82,458,180",24.42%,2020-12-31,2020,Q4
20220316000873,Y,00154462,아모레퍼시픽그룹,소액주주,"55,715","55,730",99.99%,"19,509,649","82,458,180",23.68%,2021-12-31,2021,Q4
20230309000832,Y,00154462,아모레퍼시픽그룹,소액주주,"56,261","56,276",99.97%,"20,456,163","82,458,180",24.81%,2022-12-31,2022,Q4
20240307000584,Y,00154462,아모레퍼시픽그룹,소액주주,"51,867","51,882",99.98%,"20,860,534","82,458,180",25.30%,2023-12-31,2023,Q4
20250317000463,Y,00154462,아모레퍼시픽그룹,소액주주,"48,364","48,382",99.96%,"22,093,435","82,458,180",26.79%,2024-12-31,2024,Q4
