접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160330004322,Y,00117188,효성,소액주주,"19,203",-,99.93%,"15,174,773",-,43.21%,2015-12-31,2015,Q4
20170331004981,Y,00117188,효성,소액주주,"19,796",-,99.94%,"15,195,497",-,43.27%,2016-12-31,2016,Q4
20180326000377,Y,00117188,효성,소액주주,"27,461",-,99.97%,"15,701,110",-,44.71%,2017-12-31,2017,Q4
20190401002305,Y,00117188,효성,소액주주,"23,838",-,99.96%,"8,143,342",-,38.64%,2018-12-31,2018,Q4
20200330004774,Y,00117188,효성,소액주주,"18,990",-,99.35%,"5,620,300",-,26.67%,2019-12-31,2019,Q4
20210324000507,Y,00117188,효성,소액주주,"26,244","26,303",99.78%,"5,288,625","21,071,025",25.10%,2020-12-31,2020,Q4
20220310001203,Y,00117188,효성,소액주주,"33,145","33,207",99.81%,"5,457,508","21,071,025",25.90%,2021-12-31,2021,Q4
20230309000903,Y,00117188,효성,소액주주,"46,439","46,488",99.89%,"5,890,012","21,071,025",27.95%,2022-12-31,2022,Q4
20240315000695,Y,00117188,효성,소액주주,"42,243","42,294",99.88%,"5,764,541","21,071,025",27.36%,2023-12-31,2023,Q4
20250313001006,Y,00117188,효성,소액주주,"36,136","36,157",99.94%,"5,334,443","16,740,407",31.87%,2024-12-31,2024,Q4
