,name,year,quarter,sector,Relative Return,자본금 변화율,보유 주식 수 변화율,1인평균급여 변화율,증자주식수 변화율,기말 소유주식 수 변화율,기초 소유주식 지분율 변화율,Label,Code
11,경방,2022,Q1,경기소비재,0.11273574077530271,0.0,0.0,0.0,0.0,0.0,0.0,-0.10140683498790896,000050
11,유한양행,2022,Q1,헬스케어,0.011350218745230758,0.04579534004173125,0.0,0.0,0.0,0.0,0.0,0.055315837352818226,000100
11,일동제약,2022,Q1,헬스케어,2.520681320410893,0.0,0.0,0.0,0.0,0.0,0.0,-0.24931722124724742,000230
11,한국타이어월드와이드,2022,Q1,경기소비재,0.0625080874675382,0.0,0.0,0.0,0.0,0.0,0.0,0.0035586961447989784,000240
11,기아차,2022,Q1,경기소비재,0.2489395792675664,-0.03246280725180539,0.0,0.0,0.0,0.0,0.0,-0.0027198849947387763,000270
11,동아쏘시오홀딩스,2022,Q1,헬스케어,0.043360283530845124,1.74836134438916e-05,0.0,0.0,0.0,0.0,0.0,0.09800961785699948,000640
11,SK네트웍스,2022,Q1,경기소비재,0.09862704115316222,0.0,0.0,0.0,0.0,0.0,0.0,-0.03126594599346697,001740
11,넥센타이어,2022,Q1,경기소비재,0.10555340955375839,0.0,0.0,0.0,0.0,0.0,0.0,0.08251115125909117,002350
11,부광약품,2022,Q1,헬스케어,-0.12076654497997773,0.0,0.0,0.0,0.0,0.0,0.0,-0.04615921172427973,003000
11,일신방직,2022,Q1,경기소비재,0.10034451327086681,0.0,0.0,0.0,0.0,0.0,0.0,-0.06725522865893907,003200
11,영진약품,2022,Q1,헬스케어,-0.09475173631426428,0.0,0.0,0.0,0.0,0.0,0.0,-0.16226462242994275,003520
11,쌍용차,2022,Q1,경기소비재,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,003620
11,한솔홀딩스,2022,Q1,경기소비재,0.09200862643828282,0.0,0.0,0.0,0.0,0.0,0.0,0.058030002884545545,004150
11,신세계,2022,Q1,경기소비재,0.028396106334845624,0.0,0.0,0.0,0.0,0.0,0.0,-0.07825099103704836,004170
11,세방전지,2022,Q1,경기소비재,0.14686404731615066,0.0,0.0,0.0,0.0,0.0,0.0,-0.15669368268932943,004490
