,name,year,quarter,sector,Relative Return,자본금 변화율,보유 주식 수 변화율,1인평균급여 변화율,증자주식수 변화율,기말 소유주식 수 변화율,기초 소유주식 지분율 변화율,Label,Code
7,경방,2023,Q1,경기소비재,-0.05075163065633926,0.0,0.0,0.0,0.0,0.0,0.0,-0.1480480934124126,000050
7,유한양행,2023,Q1,헬스케어,0.08422430114085966,0.04578780240114777,0.0,0.0,0.0,0.0,0.0,0.29034291902187653,000100
7,일동제약,2023,Q1,헬스케어,-0.07049849609311148,0.0,0.0,0.0,0.0,0.0,0.0,-0.04564954330338757,000230
7,한국타이어월드와이드,2023,Q1,경기소비재,0.04704054396149173,0.0,0.0,0.0,0.0,0.0,0.0,-0.14674011905728682,000240
7,기아차,2023,Q1,경기소비재,0.11084148040708677,-0.006993915314552623,0.0,0.0,0.0,0.0,0.0,-0.15229947275120165,000270
7,동아쏘시오홀딩스,2023,Q1,헬스케어,-0.08179994737427296,0.0,0.0,0.0,0.0,0.0,0.0,0.04921519946166719,000640
7,SK네트웍스,2023,Q1,경기소비재,0.025948287350597267,0.0,0.0,0.0,0.0,0.0,0.0,0.4155051100198994,001740
7,넥센타이어,2023,Q1,경기소비재,0.14645767932000284,0.0,0.0,0.0,0.0,0.0,0.0,-0.1264292535848931,002350
7,부광약품,2023,Q1,헬스케어,-0.016555608896838294,0.0,0.0,0.0,0.0,0.0,0.0,-0.16834066751682053,003000
7,일신방직,2023,Q1,경기소비재,-0.06536431941289537,0.0,0.0,0.0,0.0,0.0,0.0,-0.254384225442304,003200
7,영진약품,2023,Q1,헬스케어,-0.0429975109636127,0.0,0.0,0.0,0.0,0.0,0.0,-0.12751493529536184,003520
7,쌍용차,2023,Q1,경기소비재,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25189808098564326,003620
7,한솔홀딩스,2023,Q1,경기소비재,-0.057138712873934336,0.0,0.0,0.0,0.0,0.0,0.0,-0.14509680910748618,004150
7,신세계,2023,Q1,경기소비재,-0.05916883963494138,0.0,0.0,0.0,0.0,0.0,0.0,-0.04462812788132838,004170
7,세방전지,2023,Q1,경기소비재,0.030740159975824806,0.0,0.0,0.0,0.0,0.0,0.0,-0.14838677367674155,004490
7,조광피혁,2023,Q1,경기소비재,-0.01757296417821786,0.0,0.0,0.0,0.0,0.0,0.0,-0.03723623801150944,004700
7,현대차,2023,Q1,경기소비재,0.1625501261126868,0.0,0.0,0.0,0.0,0.0,0.0,-0.12921632158935242,005380
7,에스엘,2023,Q1,경기소비재,0.2625216443275829,0.0,0.0,0.0,0.0,0.0,0.0,0.022140164801598444,005850
7,녹십자,2023,Q1,헬스케어,0.02518955971872306,0.0,0.0,0.0,0.0,0.0,0.0,-0.0883642258291437,006280
7,동아타이어,2023,Q1,경기소비재,-0.010042012977869802,0.0,0.0,0.0,0.0,0.0,0.0,0.15154328445724835,007340
7,일양약품,2023,Q1,헬스케어,-0.03270437844605266,0.0,0.0,0.0,0.0,0.0,0.0,-0.04376133949357327,007570
7,서연,2023,Q1,경기소비재,0.1357405586895126,0.0,0.0,0.0,0.0,0.0,0.0,-0.16324008224121533,007860
7,서흥,2023,Q1,헬스케어,-0.07148922121958703,0.0,0.0,0.0,0.0,0.0,0.0,-0.08711301426865378,008490
7,호텔신라,2023,Q1,경기소비재,0.027152477936989855,0.0,0.0,0.0,0.0,0.0,0.0,0.061328194446527526,008770
7,한샘,2023,Q1,경기소비재,-0.09954028325980965,0.0,0.0,0.0,0.0,0.0,0.0,0.10692858728375394,009240
7,광동제약,2023,Q1,헬스케어,0.04456560647099108,0.0,0.0,0.0,0.0,0.0,0.0,0.05405369388834563,009290
7,모토닉,2023,Q1,경기소비재,-0.00043641934367581736,0.0,0.0,0.0,0.0,0.0,0.0,-0.11652222430265086,009680
7,화신,2023,Q1,경기소비재,0.33871152305409663,0.0,0.0,0.0,0.0,0.0,0.0,0.08821866324437147,010690
7,현대위아,2023,Q1,경기소비재,0.04138724448866944,0.0,0.0,0.0,0.0,0.0,0.0,-0.05117007017263149,011210
7,현대모비스,2023,Q1,경기소비재,-0.004036470219109925,0.0,0.0,0.0,0.0,0.0,0.0,-0.011644261294332887,012330
7,에스원,2023,Q1,경기소비재,-0.004050059905922039,0.0,0.0,0.0,0.0,0.0,0.0,-0.054901860115053595,012750
