,name,year,quarter,sector,Relative Return,자본금 변화율,보유 주식 수 변화율,1인평균급여 변화율,증자주식수 변화율,기말 소유주식 수 변화율,기초 소유주식 지분율 변화율,Label,Code
3,경방,2024,Q1,경기소비재,-0.10878884492008238,0.0,0.0,0.0,0.0,0.0,0.0,-0.13327121036347922,000050
3,유한양행,2024,Q1,헬스케어,-0.05938153517806958,0.04588056399212648,0.0,0.0,0.0,0.0,0.0,0.2848114793230269,000100
3,일동제약,2024,Q1,헬스케어,-0.06595967810721542,0.0,0.0,0.0,0.0,0.0,0.0,0.037205930743872746,000230
3,한국타이어월드와이드,2024,Q1,경기소비재,-0.08591958436319505,0.0,0.0,0.0,0.0,0.0,0.0,0.09538229206225915,000240
3,기아차,2024,Q1,경기소비재,-0.1401535190996598,0.0,0.0,0.0,0.0,0.0,0.0,-0.05148340048672804,000270
3,동아쏘시오홀딩스,2024,Q1,헬스케어,-0.09398115169705518,0.0,0.0,0.0,0.0,0.0,0.0,0.15859709832860064,000640
3,SK네트웍스,2024,Q1,경기소비재,-0.2159909261683488,0.0,0.0,0.0,0.0,0.0,0.0,-0.09550006237416975,001740
3,넥센타이어,2024,Q1,경기소비재,-0.027219072914569806,0.0,0.0,0.0,0.0,0.0,0.0,-0.059813922467930936,002350
3,부광약품,2024,Q1,헬스케어,0.02739847236300402,0.0,0.0,0.0,0.0,0.0,0.0,-0.132677991624114,003000
3,일신방직,2024,Q1,경기소비재,-0.04609063520141231,0.0,0.0,0.0,0.0,0.0,0.0,-0.05827210542631262,003200
3,영진약품,2024,Q1,헬스케어,0.022138869449247443,0.0,0.0,0.0,0.0,0.0,0.0,0.21382556383006918,003520
3,쌍용차,2024,Q1,경기소비재,-0.28141137809411815,0.04188512267462419,0.0,0.0,0.0,0.0,0.0,0.0742337270953753,003620
3,한솔홀딩스,2024,Q1,경기소비재,-0.11212239306554904,0.0,0.0,0.0,0.0,0.0,0.0,-0.027240306551944433,004150
3,신세계,2024,Q1,경기소비재,0.017770747728767536,0.0,0.0,0.0,0.0,0.0,0.0,-0.12217443616993082,004170
3,세방전지,2024,Q1,경기소비재,0.4007713733267313,0.0,0.0,0.0,0.0,0.0,0.0,-0.19530655962127325,004490
3,조광피혁,2024,Q1,경기소비재,-0.05251658889123406,0.0,0.0,0.0,0.0,0.0,0.0,0.12036176735257406,004700
3,현대차,2024,Q1,경기소비재,-0.009406230730933338,0.0,0.0,0.0,0.0,0.0,0.0,0.03366427350748853,005380
3,에스엘,2024,Q1,경기소비재,-0.03461302608610922,0.0,0.0,0.0,0.0,0.0,0.0,0.09461106231949516,005850
3,녹십자,2024,Q1,헬스케어,-0.09395144067091342,0.0,0.0,0.0,0.0,0.0,0.0,0.3450960910556526,006280
3,동아타이어,2024,Q1,경기소비재,0.014087573516147707,0.0,0.0,0.0,0.0,0.0,0.0,0.1568940138694083,007340
3,일양약품,2024,Q1,헬스케어,-0.05179431666068886,0.0,0.0,0.0,0.0,0.0,0.0,0.12407645988741686,007570
3,서연,2024,Q1,경기소비재,-0.20480535678798745,0.0,0.0,0.0,0.0,0.0,0.0,-0.13544888411945763,007860
3,서흥,2024,Q1,헬스케어,-0.0072312532263483715,0.0,0.0,0.0,0.0,0.0,0.0,-0.16301616890588347,008490
3,호텔신라,2024,Q1,경기소비재,-0.04357529876882611,0.0,0.0,0.0,0.0,0.0,0.0,-0.14890016019037375,008770
3,한샘,2024,Q1,경기소비재,0.286103432571834,0.0,0.0,0.0,0.0,0.0,0.0,-0.17699504045135955,009240
3,광동제약,2024,Q1,헬스케어,-0.06094678622268626,0.0,0.0,0.0,0.0,0.0,0.0,-0.03642188886279837,009290
3,모토닉,2024,Q1,경기소비재,0.0123775520447868,0.0,0.0,0.0,0.0,0.0,0.0,0.09813694107557816,009680
3,화신,2024,Q1,경기소비재,-0.10286384503520953,0.0,0.0,0.0,0.0,0.0,0.0,-0.0842429660233988,010690
3,현대위아,2024,Q1,경기소비재,-0.05819062057776517,0.0,0.0,0.0,0.0,0.0,0.0,-0.08509302932598516,011210
3,현대모비스,2024,Q1,경기소비재,-0.13460224986892455,0.0,0.0,0.0,0.0,0.0,0.0,0.007570057222139666,012330
3,에스원,2024,Q1,경기소비재,0.047238957968351515,0.0,0.0,0.0,0.0,0.0,0.0,-0.07156628569971138,012750
3,한온시스템,2024,Q1,경기소비재,-0.034667048053187474,0.0,0.0,0.0,0.0,0.0,0.0,-0.2577941544797899,018880
3,대교,2024,Q1,경기소비재,-0.003950613797002948,0.0,0.0,0.0,0.0,0.0,0.0,-0.12218991005774513,019680
3,한섬,2024,Q1,경기소비재,-0.07203196331158042,0.0,0.0,0.0,0.0,0.0,0.0,-0.07871344399903141,020000
3,코웨이,2024,Q1,경기소비재,0.0958327671506026,0.0,0.0,0.0,0.0,0.0,0.0,0.05786302301221821,021240
3,롯데쇼핑,2024,Q1,경기소비재,-0.05610878565989993,0.0,0.0,0.0,0.0,0.0,0.0,-0.10894297841541659,023530
3,삼성물산,2024,Q1,경기소비재,-0.12791300370953812,0.0,0.0,0.0,0.0,0.0,0.0,-0.023399567059983174,028260
