,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,국제유가 변화율,소비자물가지수 변화율,실업률 변화율,금리 변화율,자기주식수 변화율,Label,Code
10,유한양행,2022,Q2,헬스케어,0.055315837352818226,0.0,0.13207484462760455,0.38636857995042173,-0.033707865168539186,0.2746673361787626,0.0,0.018610835921721084,000100
10,일동제약,2022,Q2,헬스케어,-0.24931722124724742,0.0,0.13207484462760455,0.38636857995042173,-0.033707865168539186,0.2746673361787626,0.0,-0.22730846938527113,000230
10,동아쏘시오홀딩스,2022,Q2,헬스케어,0.09800961785699948,0.0,0.13207484462760455,0.38636857995042173,-0.033707865168539186,0.2746673361787626,0.0,-0.04422912612361249,000640
10,부광약품,2022,Q2,헬스케어,-0.04615921172427973,0.0,0.13207484462760455,0.38636857995042173,-0.033707865168539186,0.2746673361787626,0.0,-0.12129372322350558,003000
10,영진약품,2022,Q2,헬스케어,-0.16226462242994275,0.0,0.13207484462760455,0.38636857995042173,-0.033707865168539186,0.2746673361787626,0.0,-0.19216797519823928,003520
10,녹십자,2022,Q2,헬스케어,-0.004640842324293175,0.0,0.13207484462760455,0.38636857995042173,-0.033707865168539186,0.2746673361787626,0.0,-0.21901211677481514,006280
10,일양약품,2022,Q2,헬스케어,0.06814209831938839,0.0,0.13207484462760455,0.38636857995042173,-0.033707865168539186,0.2746673361787626,0.0,-0.19433139479695985,007570
10,서흥,2022,Q2,헬스케어,0.06490181462800876,0.0,0.13207484462760455,0.38636857995042173,-0.033707865168539186,0.2746673361787626,0.0,0.007213375163110887,008490
10,광동제약,2022,Q2,헬스케어,0.04427132528247556,0.0,0.13207484462760455,0.38636857995042173,-0.033707865168539186,0.2746673361787626,0.0,-0.07497466965076101,009290
10,대웅제약,2022,Q2,헬스케어,0.10015367822365204,0.0,0.13207484462760455,0.38636857995042173,-0.033707865168539186,0.2746673361787626,0.0,-0.10600496073427504,069620
10,한미약품,2022,Q2,헬스케어,0.10682624900382529,0.0,0.13207484462760455,0.38636857995042173,-0.033707865168539186,0.2746673361787626,0.0,-0.13993765977515552,128940
10,동아에스티,2022,Q2,헬스케어,-0.045443421874404526,0.0,0.13207484462760455,0.38636857995042173,-0.033707865168539186,0.2746673361787626,0.0,0.038819261367116956,170900
10,종근당,2022,Q2,헬스케어,0.0404391585526802,0.0,0.13207484462760455,0.38636857995042173,-0.033707865168539186,0.2746673361787626,0.0,-0.043965937339236594,185750
