,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,국제유가 변화율,소비자물가지수 변화율,실업률 변화율,금리 변화율,자기주식수 변화율,Label,Code
3,유한양행,2024,Q1,헬스케어,-0.05938153517806958,0.0,-0.008599753155233536,-0.11265192787422551,-0.011764705882352788,-0.12136131985833976,0.0,0.2848114793230269,000100
3,일동제약,2024,Q1,헬스케어,-0.06595967810721542,0.0,-0.008599753155233536,-0.11265192787422551,-0.011764705882352788,-0.12136131985833976,0.0,0.037205930743872746,000230
3,동아쏘시오홀딩스,2024,Q1,헬스케어,-0.09398115169705518,0.0,-0.008599753155233536,-0.11265192787422551,-0.011764705882352788,-0.12136131985833976,0.0,0.15859709832860064,000640
3,부광약품,2024,Q1,헬스케어,0.02739847236300402,0.0,-0.008599753155233536,-0.11265192787422551,-0.011764705882352788,-0.12136131985833976,0.0,-0.132677991624114,003000
3,영진약품,2024,Q1,헬스케어,0.022138869449247443,0.0,-0.008599753155233536,-0.11265192787422551,-0.011764705882352788,-0.12136131985833976,0.0,0.21382556383006918,003520
3,녹십자,2024,Q1,헬스케어,-0.09395144067091342,0.0,-0.008599753155233536,-0.11265192787422551,-0.011764705882352788,-0.12136131985833976,0.0,0.3450960910556526,006280
3,일양약품,2024,Q1,헬스케어,-0.05179431666068886,0.0,-0.008599753155233536,-0.11265192787422551,-0.011764705882352788,-0.12136131985833976,0.0,0.12407645988741686,007570
3,서흥,2024,Q1,헬스케어,-0.0072312532263483715,0.0,-0.008599753155233536,-0.11265192787422551,-0.011764705882352788,-0.12136131985833976,0.0,-0.16301616890588347,008490
3,광동제약,2024,Q1,헬스케어,-0.06094678622268626,0.0,-0.008599753155233536,-0.11265192787422551,-0.011764705882352788,-0.12136131985833976,0.0,-0.03642188886279837,009290
3,대웅제약,2024,Q1,헬스케어,-0.1442210789928504,0.0,-0.008599753155233536,-0.11265192787422551,-0.011764705882352788,-0.12136131985833976,0.0,0.18219481517089292,069620
3,한미약품,2024,Q1,헬스케어,-0.06703902988820826,0.0,-0.008599753155233536,-0.11265192787422551,-0.011764705882352788,-0.12136131985833976,0.0,-0.06455449847522676,128940
3,동아에스티,2024,Q1,헬스케어,-0.16437181620274033,0.0,-0.008599753155233536,-0.11265192787422551,-0.011764705882352788,-0.12136131985833976,0.0,0.10768631637488779,170900
3,종근당,2024,Q1,헬스케어,-0.07600579313281458,0.0,-0.008599753155233536,-0.11265192787422551,-0.011764705882352788,-0.12136131985833976,0.0,0.15354819751764934,185750
