접수번호,법인구분,회사코드,회사명,변동일,최대주주명,보유 주식 수,보유 지분율,변동원인,비고,결제일시,연도,분기
20160330003671,Y,00126308,삼성E&A,2014년 07월 02일,삼성SDI,"5,238,299",13.10%,-,삼성SDI의 舊 제일모직 흡수합병에 따라 최대주주 변경,2015-12-31,2015,Q4
20210517001985,Y,00126308,삼성E&A,2014년 07월 02일,삼성SDI,"22,918,426",11.69%,-,삼성SDI의 舊 제일모직 흡수합병에 따라 최대주주 변경,2016-12-31,2016,Q4
20210517002027,Y,00126308,삼성E&A,2014년 07월 02일,삼성SDI,"22,918,426",11.69%,-,삼성SDI의 舊 제일모직 흡수합병에 따라 최대주주 변경,2017-12-31,2017,Q4
20210517002048,Y,00126308,삼성E&A,2014년 07월 02일,삼성SDI,"22,918,426",11.69%,삼성SDI의 舊 제일모직 흡수합병에 따라 최대주주 변경,-,2018-12-31,2018,Q4
20210517002064,Y,00126308,삼성E&A,-,-,-,-,-,-,2019-12-31,2019,Q4
20210517002076,Y,00126308,삼성E&A,-,-,-,-,-,-,2020-12-31,2020,Q4
20220308000672,Y,00126308,삼성E&A,-,-,-,-,-,-,2021-12-31,2021,Q4
20230831001403,Y,00126308,삼성E&A,-,-,-,-,-,-,2022-12-31,2022,Q4
20240329003421,Y,00126308,삼성E&A,-,-,-,-,-,-,2023-12-31,2023,Q4
20250312001103,Y,00126308,삼성E&A,-,-,-,-,-,-,2024-12-31,2024,Q4
