code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,이익잉여금,총포괄손익
114090,GKL,경기소비재,2019,Q4,"453,913,554,794","452,156,326,245","906,069,881,039","210,084,490,056","111,031,380,078","321,115,870,134","584,954,010,905",130847430228,23396268065,23958533548,18798039262,18798039262,"30,927,835,000","532,767,089,895",
114090,GKL,경기소비재,2020,Q1,"456,229,459,198","453,638,499,236","909,867,958,434","229,039,339,254","113,803,257,436","342,842,596,690","567,025,361,744",111506861380,26978396060,20068916594,14793000269,14793000269,"30,927,835,000","514,838,440,734",
114090,GKL,경기소비재,2020,Q2,"344,877,594,691","452,158,971,969","797,036,566,660","140,790,350,483","112,814,538,762","253,604,889,245","543,431,677,415",23262685683,-32135837333,-29139467372,-23593684329,-23593684329,"30,927,835,000","491,244,756,405",
114090,GKL,경기소비재,2020,Q3,"408,370,216,670","363,582,111,148","771,952,327,818","141,038,026,424","110,525,159,556","251,563,185,980","520,389,141,838",34757255863,-31221160496,-29416956643,-23042535577,-23042535577,"30,927,835,000","468,202,220,828",
114090,GKL,경기소비재,2020,Q4,"344,798,349,058","361,481,877,631","706,280,226,689","127,925,149,201","93,216,836,794","221,141,985,995","485,138,240,694",14935529118,-53419713124,-43649699461,-33225011793,-33225011793,"30,927,835,000","432,951,319,684",
114090,GKL,경기소비재,2021,Q1,"295,007,963,781","365,983,021,336","660,990,985,117","124,305,838,576","90,085,750,905","214,391,589,481","446,599,395,636",5269766104,-47753295024,-49912991626,-38538845058,-38538845058,"30,927,835,000","394,412,474,626",
114090,GKL,경기소비재,2021,Q2,"256,536,600,574","372,494,633,804","629,031,234,378","115,187,907,478","85,170,460,955","200,358,368,433","428,672,865,945",32978073636,-26101834223,-23581968893,-17926529691,-17926529691,"30,927,835,000","376,485,944,935",
114090,GKL,경기소비재,2021,Q3,"215,273,860,478","366,014,935,397","581,288,795,875","94,206,027,662","82,199,326,179","176,405,353,841","404,883,442,034",25261130561,-31496027302,-31330032408,-23789423911,-23789423911,"30,927,835,000","352,696,521,024",
114090,GKL,경기소비재,2021,Q4,"231,696,070,819","294,451,297,567","526,147,368,386","97,793,108,889","46,874,275,075","144,667,383,964","381,479,984,422",21577890370,-41653565176,-43677936850,-33952795431,-33952795431,"30,927,835,000","329,293,063,412",
114090,GKL,경기소비재,2022,Q1,"232,273,179,115","288,961,536,762","521,234,715,877","105,547,145,586","45,332,428,220","150,879,573,806","370,355,142,071",46868257395,-13664367684,-14624615729,-11124842351,-11124842351,"30,927,835,000","318,168,221,061",
114090,GKL,경기소비재,2022,Q2,"238,825,019,627","272,965,269,569","511,790,289,196","105,120,553,116","44,415,745,881","149,536,298,997","362,253,990,199",48072217006,-10829922151,-10569084660,-8101151872,-8101151872,"30,927,835,000","310,067,069,189",
114090,GKL,경기소비재,2022,Q3,"271,810,946,758","304,448,298,092","576,259,244,850","125,761,391,157","83,727,504,229","209,488,895,386","366,770,349,464",74420076333,4032324834,6051092960,4516359265,4516359265,"30,927,835,000","314,583,428,454",
114090,GKL,경기소비재,2022,Q4,"257,348,976,812","346,156,008,180","603,504,984,992","157,624,631,282","65,957,127,763","223,581,759,045","379,923,225,947",92750000331,5667377126,-6937462319,-8829284520,-8829284520,"30,927,835,000","327,736,304,937",
114090,GKL,경기소비재,2023,Q1,"273,816,762,313","335,818,004,021","609,634,766,334","145,320,934,038","63,208,521,912","208,529,455,950","401,105,310,384",109161512996,26725053514,27365715181,21182084437,21182084437,"30,927,835,000","348,918,389,374",
114090,GKL,경기소비재,2023,Q2,"288,889,448,431","327,420,789,466","616,310,237,897","145,581,948,130","60,950,178,445","206,532,126,575","409,778,111,322",100234047281,11008782408,11320593084,8555596035,8555596035,"30,927,835,000","357,591,190,312",
114090,GKL,경기소비재,2023,Q3,"342,194,935,576","306,489,134,445","648,684,070,021","166,995,788,115","60,130,769,612","227,126,557,727","421,557,512,294",96593703233,13397700920,14786081455,11657134543,11657134543,"30,927,835,000","369,370,591,284",11779400972.0
114090,GKL,경기소비재,2023,Q4,"338,940,948,781","294,492,740,925","633,433,689,706","169,669,106,489","54,479,158,086","224,148,264,575","409,285,425,131",90704384363,-200882359,1078588254,2238940512,2238940512,"30,927,835,000","357,098,504,121",17582798212.0
114090,GKL,경기소비재,2024,Q1,"350,581,403,513","283,665,086,535","634,246,490,048","187,709,443,918","49,269,478,001","236,978,921,919","397,267,568,129",97942175963,13451399959,13300798336,9863663057,9863663057,"30,927,835,000","345,080,647,119",9817194508.0
114090,GKL,경기소비재,2024,Q2,"328,362,239,918","271,514,215,029","599,876,454,947","146,791,489,306","44,392,275,922","191,183,765,228","408,692,689,719",98828946525,13329664369,14796286473,11296236537,11296236537,"30,927,835,000","356,505,768,709",11425121590.0
114090,GKL,경기소비재,2024,Q3,"334,288,600,119","260,618,078,425","594,906,678,544","147,055,759,063","37,138,937,028","184,194,696,091","410,711,982,453",93768130352,5531375545,7445754733,5810580781,5810580781,"30,927,835,000","358,525,061,443",5730632934.0
