code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,이익잉여금,총포괄손익
114090,GKL,경기소비재,2015,Q4,"494,009,241,597","156,509,002,741","650,518,244,338","168,823,977,230","25,454,387,264","194,278,364,494","456,239,879,844",505663483168,118377541057,121015629046,91731837711,91731837711,,,
114090,GKL,경기소비재,2016,Q1,"516,790,012,027","157,660,089,359","674,450,101,386","212,283,418,829","22,345,852,367","234,629,271,196","439,820,830,190",136621964964,42133678130,35298317827,26844925132,26844925132,,,
114090,GKL,경기소비재,2016,Q2,"483,838,795,122","156,054,485,620","639,893,280,742","148,563,751,363","26,256,350,160","174,820,101,523","465,073,179,219",128954057390,31388830388,33814146640,25603060276,25603060276,"30,927,835,000",,
114090,GKL,경기소비재,2016,Q3,"495,253,383,567","161,306,593,889","656,559,977,456","142,223,633,931","29,547,623,669","171,771,257,600","484,788,719,856",134035587056,34526372899,36457309069,27747848784,27747848784,"30,927,835,000","21,259,086,010",
114090,GKL,경기소비재,2016,Q4,"557,605,411,485","172,572,237,871","730,177,649,356","185,942,765,883","25,508,493,366","211,451,259,249","518,726,390,107",148618413722,43134061258,44608364192,34146736292,34146736292,"30,927,835,000",,
114090,GKL,경기소비재,2017,Q1,"573,647,618,633","174,271,594,545","747,919,213,178","237,492,211,536","27,855,484,034","265,347,695,570","482,571,517,608",125276441538,31487178915,23119421600,17532839298,17532839298,"30,927,835,000",,
114090,GKL,경기소비재,2017,Q2,"500,757,208,170","166,775,045,336","667,532,253,506","141,137,004,392","28,442,358,538","169,579,362,930","497,952,890,576",109701392466,17631190225,20329037609,15423866891,15423866891,"30,927,835,000",,
114090,GKL,경기소비재,2017,Q3,"556,963,248,730","168,364,824,254","725,328,072,984","172,135,533,064","30,322,082,730","202,457,615,794","522,870,457,190",138676704198,40699005784,44025419524,33385724386,33385724386,"30,927,835,000","470,804,729,686",
114090,GKL,경기소비재,2017,Q4,"566,196,748,457","165,707,562,798","731,904,311,255","169,546,689,001","30,305,174,475","199,851,863,476","532,052,447,779",127640985571,18351135976,19832507116,14196136261,14196136261,"30,927,835,000","479,865,526,769",
114090,GKL,경기소비재,2018,Q1,"608,261,077,053","165,954,512,406","774,215,589,459","229,290,046,406","32,632,178,078","261,922,224,484","512,293,364,975",121930253535,31391345123,23061543163,17354319196,17354319196,"30,927,835,000","460,106,443,965",
114090,GKL,경기소비재,2018,Q2,"556,177,885,300","157,530,096,770","713,707,982,070","139,284,461,782","34,956,725,988","174,241,187,770","539,466,794,300",116143465305,34691632894,37594988481,27173429325,27173429325,"30,927,835,000","487,279,873,290",
114090,GKL,경기소비재,2018,Q3,"553,125,506,318","209,009,216,612","762,134,722,930","167,053,390,065","37,288,264,392","204,341,654,457","557,793,068,473",130427018573,30887023153,33232576629,26367511273,26367511273,"30,927,835,000","505,606,147,463",
114090,GKL,경기소비재,2018,Q4,"455,109,823,071","310,735,481,219","765,845,304,290","168,797,612,012","35,023,691,056","203,821,303,068","562,024,001,222",111838476468,7936123196,9923289947,6720986605,6720986605,"30,927,835,000","509,837,080,212",
114090,GKL,경기소비재,2019,Q1,"481,540,055,278","415,423,194,391","896,963,249,669","240,650,759,928","125,929,790,973","366,580,550,901","530,382,698,768",109181089475,16551417886,11085752947,8456482489,8456482489,"30,927,835,000","478,195,777,758",
114090,GKL,경기소비재,2019,Q2,"473,093,967,132","395,540,131,480","868,634,098,612","194,911,817,691","123,597,123,277","318,508,940,968","550,125,157,644",117359817240,26123739698,28034486413,19742458876,19742458876,"30,927,835,000","497,938,236,634",
114090,GKL,경기소비재,2019,Q3,"347,567,001,993","509,786,944,516","857,353,946,509","165,952,267,252","124,275,505,230","290,227,772,482","567,126,174,027",133364127417,30290652108,32206056371,25042253483,25042253483,"30,927,835,000","514,939,253,017",
