code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,당기손익-공정가치측정금융자산
073240,금호타이어,경기소비재,2015,Q4,2015-03-31,"1,051,091,841,778","2,271,500,140,920","3,322,591,982,698","1,336,453,919,737","620,606,298,330","1,957,060,218,067","368,354,359,179","1,365,531,764,631",2396367412676,39128626793,-52876690404,-46286978988,-46286978988,,,
073240,금호타이어,경기소비재,2016,Q1,,"1,050,985,013,223","2,274,190,567,177","3,325,175,580,400","1,315,525,821,469","631,683,097,760","1,947,208,919,229","371,334,963,619","1,377,966,661,171",573731515486,20833485442,5836207176,2988316343,2988316343,,,
073240,금호타이어,경기소비재,2016,Q2,,"1,035,420,536,512","2,347,746,622,885","3,383,167,159,397","1,359,823,292,528","654,462,519,957","2,014,285,812,485","371,614,784,332","1,368,881,346,912",635961736318,37995175389,25125268510,17811562785,17811562785,,,
073240,금호타이어,경기소비재,2016,Q3,,"989,154,153,817","2,338,030,264,953","3,327,184,418,770","1,303,182,500,050","640,793,732,871","1,943,976,232,921","375,493,189,854","1,383,208,185,849",544242749494,13099879048,-5111221809,-3474850728,-3474850728,,,
073240,금호타이어,경기소비재,2016,Q4,,"1,056,452,071,334","2,323,174,016,551","3,379,626,087,885","1,355,127,964,126","640,811,577,893","1,995,939,542,019","386,603,547,651","1,383,686,545,866",599935597061,22075659239,5487017804,-4251307796,-4251307796,,,
073240,금호타이어,경기소비재,2017,Q1,2017-05-15,"977,339,902,237","2,355,075,669,205","3,332,415,571,442","1,304,948,856,411","640,560,160,691","1,945,509,017,102","359,760,402,204","1,386,906,554,340",513636361373,-7352406142,-30341516049,-26460419805,-26460419805,,,
073240,금호타이어,경기소비재,2017,Q2,2017-08-14,"1,010,016,828,212","2,372,806,762,663","3,382,823,590,875","1,387,946,785,437","637,811,116,020","2,025,757,901,457","325,347,721,248","1,357,065,689,418",565488530648,-24671930490,-37539126863,-31819519338,-31819519338,,,
073240,금호타이어,경기소비재,2017,Q3,2017-11-14,"1,060,145,396,586","2,366,062,722,155","3,426,208,118,741","1,472,705,887,691","539,087,948,743","2,011,793,836,434","387,822,289,690","1,414,414,282,307",564444059181,-6003735439,69398391216,59007053555,59007053555,"789,965,790,000",,
073240,금호타이어,경기소비재,2017,Q4,2017-04-04,"1,090,016,020,502","2,126,695,258,534","3,216,711,279,036","1,566,615,860,196","508,176,088,766","2,074,791,948,962","144,836,331,859","1,141,919,330,074",534230903572,-104986216617,-278240291162,-246018130334,-246018130334,"789,965,790,000",,
073240,금호타이어,경기소비재,2018,Q1,2018-05-15,"1,126,323,487,335","2,119,309,315,625","3,245,632,802,960","1,601,496,286,185","495,282,902,480","2,096,779,188,665","151,770,616,080","1,148,853,614,295",457437500237,-2680674822,-4691448824,-1086733127,-1086733127,"789,965,790,000",,
073240,금호타이어,경기소비재,2018,Q2,2018-08-16,"1,084,052,320,636","2,114,958,719,322","3,199,011,039,958","1,560,866,201,581","494,954,112,655","2,055,820,314,236","146,107,727,507","1,143,190,725,722",510754809519,2716861742,-6566228597,-5848774185,-5848774185,"789,965,790,000",,
073240,금호타이어,경기소비재,2018,Q3,2018-11-14,"1,327,314,311,428","2,259,585,383,620","3,586,899,695,048","830,045,118,547","958,740,833,331","1,788,785,951,878","157,896,757,558","1,798,113,743,170",445691277771,-25596436258,-1901972964,-2624831601,-2624831601,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2018,Q4,2018-03-23,"988,285,145,097","1,976,139,565,200","2,977,573,413,297","638,605,480,340","1,140,849,976,784","1,779,455,457,124","-442,099,029,439","1,198,117,956,173",467387989594,-7315015152,-597712611246,-596811103054,-596811103054,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2019,Q1,,"964,316,164,267","2,035,706,782,786","3,000,022,947,053","668,902,826,677","1,145,129,172,572","1,814,031,999,249","-454,226,037,808","1,185,990,947,804",432846964539,3616170005,-10646515614,-10159148608,-10159148608,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2019,Q2,,"953,194,100,710","2,029,095,841,874","2,982,289,942,584","622,648,202,396","1,164,722,861,654","1,787,371,064,050","-445,298,107,078","1,194,918,878,534",485250508880,23681796490,11412851747,10413105674,10413105674,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2019,Q3,,"954,993,939,885","2,036,894,784,943","2,991,888,724,828","615,738,961,631","1,193,962,296,780","1,809,701,258,411","-458,029,519,195","1,182,187,466,417",445095962392,16036958109,-6103970439,-8925018138,-8925018138,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2019,Q4,,"740,429,779,470","2,134,329,361,251","2,874,759,140,721","556,696,319,252","1,150,064,313,795","1,706,760,633,047","-472,218,477,938","1,167,998,507,674",457657393861,36346543073,-3362532848,-4892576012,-4892576012,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2020,Q1,2020-05-15,"775,324,266,756","2,132,007,754,763","2,907,332,021,519","633,642,124,930","1,168,229,457,596","1,801,871,582,526","-534,756,546,619","1,105,460,438,993",397953405303,-8283230864,-31112329651,-58075553262,-58075553262,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2020,Q2,2020-08-14,"771,145,133,346","1,808,274,849,807","2,579,419,983,153","598,151,945,312","1,168,101,615,801","1,766,253,561,113","-827,050,563,572","813,166,422,040",345465338667,-23004024938,-299571637505,-294456157276,-294456157276,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2020,Q3,2020-11-13,"755,531,851,140","1,831,048,388,524","2,586,580,239,664","586,203,246,077","1,199,247,789,237","1,785,451,035,314","-839,087,781,262","801,129,204,350",471113486732,27524235377,19061327296,4451158790,4451158790,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2020,Q4,2020-05-06,"769,384,544,369","1,797,932,031,404","2,567,316,575,773","603,126,907,149","1,219,154,441,542","1,822,281,348,691","-895,181,758,530","745,035,227,082",493781053244,-1530895461,-92307761412,-55759830843,-55759830843,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2021,Q1,2021-05-14,"876,683,709,707","1,736,722,034,120","2,613,405,743,827","647,627,146,977","1,236,770,684,229","1,884,397,831,206","-911,209,072,991","729,007,912,621",472989535508,2250563574,-16695224799,-15121733130,-15121733130,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2021,Q2,2021-08-17,"917,407,579,178","1,729,984,135,254","2,647,391,714,432","708,275,486,996","1,232,538,668,658","1,940,814,155,654","-933,639,426,834","706,577,558,778",478554827500,8494335411,-5789429509,-15321535526,-15321535526,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2021,Q3,2021-11-15,"943,281,974,972","1,642,418,529,427","2,585,700,504,399","776,521,553,990","1,257,811,943,275","2,034,333,497,265","-1,088,849,978,478","551,367,007,134",539163168437,-64277981899,-171302679252,-155368605486,-155368605486,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2021,Q4,2021-03-30,"979,520,061,777","1,573,936,309,308","2,553,456,371,085","863,448,928,507","1,024,966,145,440","1,888,415,073,947","-975,175,688,474","665,041,297,138",568246044265,-9836491984,119356135063,115768439505,115768439505,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2022,Q1,2022-05-16,"1,061,032,132,599","1,556,099,269,552","2,617,131,402,151","1,034,373,030,328","902,970,985,278","1,937,344,015,606","-960,429,599,067","679,787,386,545",610358439317,-919271392,2915800229,1735299449,1735299449,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2022,Q2,2022-08-16,"1,246,081,133,896","1,579,292,746,686","2,825,373,880,582","1,254,632,098,249","911,262,109,085","2,165,894,207,334","-980,737,312,364","659,479,673,248",742776612494,-9766399168,-27438315588,-20458640793,-20458640793,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2022,Q3,2022-11-14,"1,411,530,403,772","1,582,834,781,436","2,994,365,185,208","1,845,578,130,426","503,907,234,458","2,349,485,364,884","-995,337,165,288","644,879,820,324",752037783391,-21466255223,-44860695400,-35130057397,-35130057397,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2022,Q4,2022-03-30,"1,199,875,993,807","1,501,434,534,063","2,701,310,527,870","1,682,254,658,749","475,600,706,159","2,157,855,364,908","-1,096,761,822,650","543,455,162,962",729101576041,36599427924,-80268684476,-95635470558,-95635470558,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2023,Q1,2023-05-12,"1,212,745,682,626","1,488,865,079,618","2,701,610,762,244","1,696,052,084,720","464,094,101,307","2,160,146,186,027","-1,098,752,409,395","541,464,576,217",731845706697,32059510731,15837554189,11733172024,11733172024,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2023,Q2,2023-08-11,"1,300,227,324,218","1,516,768,673,973","2,816,995,998,191","1,749,664,213,095","431,339,964,656","2,181,004,177,751","-1,004,225,165,172","635,991,820,440",793966352860,70316257645,107166574333,93214161147,93214161147,"1,436,301,435,000",,
073240,금호타이어,경기소비재,2023,Q3,2023-11-14,"1,280,903,436,496","1,513,872,681,442","2,794,776,117,938","1,298,278,008,134","849,968,653,692","2,148,246,661,826","-993,687,529,500","646,529,456,112",702846061322,37213086027,1635706119,770677746,770677746,"1,436,301,435,000",10537635672,
073240,금호타이어,경기소비재,2023,Q4,2023-03-22,"1,271,585,825,168","1,570,966,577,777","2,842,552,402,945","1,251,483,151,802","850,092,417,647","2,101,575,569,449","-899,240,152,116","740,976,833,496",789786956315,83100864816,132822246640,116885006437,116885006437,"1,436,301,435,000",186984034862,
073240,금호타이어,경기소비재,2024,Q1,2024-05-14,"1,498,715,581,631","1,602,702,297,488","3,101,417,879,119","1,410,980,326,291","896,189,733,768","2,307,170,060,059","-845,969,166,552","794,247,819,060",842937985072,99781070478,73847250254,63709373562,63709373562,"1,436,301,435,000",53270985564,
073240,금호타이어,경기소비재,2024,Q2,2024-08-13,"1,482,319,959,497","1,751,255,834,896","3,233,575,794,393","1,476,370,210,029","922,572,255,930","2,398,942,465,959","-805,583,657,178","834,633,328,434",885559873026,118469949315,87628374013,59312894016,59312894016,"1,436,301,435,000",40385509374,
073240,금호타이어,경기소비재,2024,Q3,2024-11-13,"1,551,471,791,559","1,732,359,392,420","3,283,831,183,979","1,521,784,478,341","839,679,186,867","2,361,463,665,208","-717,849,466,841","922,367,518,771",907167947955,113915068168,102717678878,82014195245,82014195245,"1,436,301,435,000",87734190337,"2,144,675,112"
073240,금호타이어,경기소비재,2024,Q4,2024-03-26,"1,670,253,982,552","1,958,335,438,624","3,628,589,421,176","1,647,379,348,873","813,131,539,291","2,460,510,888,164","-472,138,452,600","1,168,078,533,012",972808653958,162096177119,281177272829,257572379637,257572379637,"1,436,301,435,000",245711014241,
