code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,영업비용
034120,SBS,커뮤니케이션서비스,2015,Q4,2015-07-17,"503,620,003,223","429,413,824,685","933,033,827,908","228,645,098,568","135,278,509,694","363,923,608,262","91,262,910,000","424,849,021,765","569,110,219,646",772594035104,40311491363,41879161664,34592270622,34592270622,,
034120,SBS,커뮤니케이션서비스,2016,Q1,2016-05-16,"452,733,949,027","443,960,453,378","896,694,402,405","218,665,289,982","133,850,631,273","352,515,921,255","91,262,910,000","400,572,505,319","544,178,481,150",160657383061,-20759498026,-14786191286,-10636681192,-10636681192,,
034120,SBS,커뮤니케이션서비스,2016,Q2,2016-09-01,"450,369,393,729","459,117,629,366","909,487,023,095","237,336,839,192","137,938,696,816","375,275,536,008","91,262,910,000","393,872,076,256","534,211,487,087",196126220203,-4737287280,-4102896793,-3184483730,-3184483730,,
034120,SBS,커뮤니케이션서비스,2016,Q3,2016-11-11,"388,269,371,255","471,272,043,821","859,541,415,076","197,733,678,133","136,628,262,812","334,361,940,945","91,262,910,000","385,013,252,900","525,179,474,131",,-13644846992,-11544202834,-8797750705,-8797750705,,
034120,SBS,커뮤니케이션서비스,2016,Q4,2016-03-30,"417,785,284,583","477,888,438,760","895,673,723,343","219,770,262,568","133,091,600,492","352,861,863,060","91,262,910,000","409,042,841,191","542,811,860,283",441772498843,30231317061,28656770064,21533114924,21533114924,,
034120,SBS,커뮤니케이션서비스,2017,Q1,2017-05-15,"357,767,876,803","466,367,637,992","824,135,514,795","215,273,389,328","72,075,219,157","287,348,608,485","91,262,910,000","403,162,863,412","536,786,906,310",157468472675,-6571257462,-6413000367,-5481519289,-5481519289,,
034120,SBS,커뮤니케이션서비스,2017,Q2,2017-08-14,"524,146,744,516","391,171,232,152","915,317,976,668","295,515,640,921","74,708,588,120","370,224,229,041","91,262,910,000","410,783,217,125","545,093,747,627",191789372719,7886404348,10009110904,7606539052,7606539052,,
034120,SBS,커뮤니케이션서비스,2017,Q3,2017-11-13,"456,567,821,047","466,328,834,843","922,896,655,890","306,702,928,274","74,004,209,485","380,707,137,759","91,262,910,000","407,866,359,728","542,189,518,131",162861486883,-4016661462,-3364304924,-2719047665,-2719047665,,
034120,SBS,커뮤니케이션서비스,2017,Q4,2017-03-31,"567,442,489,506","476,549,237,612","1,043,991,727,118","311,411,420,037","174,794,677,128","486,206,097,165","91,262,910,000","423,882,783,043","557,785,629,953",225570774045,16709459469,17001952584,14608124304,14608124304,,
034120,SBS,커뮤니케이션서비스,2018,Q1,2018-05-15,"459,506,444,003","475,957,911,562","935,464,355,565","208,905,779,665","174,629,107,555","383,534,887,220","91,262,910,000","418,216,479,884","551,929,468,345",209184070965,-2417447250,-1185764969,-845277425,-845277425,,
034120,SBS,커뮤니케이션서비스,2018,Q2,2018-08-14,"416,089,512,589","486,420,436,452","902,509,949,041","164,875,642,940","177,401,456,846","342,277,099,786","91,262,910,000","426,616,918,215","560,232,849,255",260975316497,-4614341521,-3394774742,-2646546290,-2646546290,,
034120,SBS,커뮤니케이션서비스,2018,Q3,2018-11-13,"376,204,806,636","496,043,296,773","872,248,103,409","145,448,336,170","174,750,034,738","320,198,370,908","91,262,910,000","418,629,045,372","552,049,732,501",190742864542,-13255017113,-10335200132,-7785568563,-7785568563,,
034120,SBS,커뮤니케이션서비스,2018,Q4,2018-03-30,"418,312,345,488","483,546,716,348","901,859,061,836","159,079,812,937","182,066,200,182","341,146,013,119","91,262,910,000","427,557,986,374","560,713,048,717",211588158107,20976754227,17634796570,12778572538,12778572538,,
034120,SBS,커뮤니케이션서비스,2019,Q1,2019-05-15,"310,991,240,888","593,571,207,628","904,562,448,516","247,110,593,715","116,817,421,485","363,928,015,200","91,262,910,000","407,480,070,584","540,634,433,316",153244527031,-25734563811,-27794573723,-20504498237,-20504498237,,
034120,SBS,커뮤니케이션서비스,2019,Q2,2019-08-14,"353,041,040,927","579,983,904,055","933,024,944,982","270,792,286,426","116,605,003,481","387,397,289,907","91,262,910,000","412,474,039,011","545,627,655,075",204925759131,7163121133,7252863962,5227283175,5227283175,,
034120,SBS,커뮤니케이션서비스,2019,Q3,2019-11-13,"431,515,945,029","576,076,270,545","1,007,592,215,574","202,534,047,493","263,438,796,343","465,972,843,836","91,262,910,000","408,476,400,173","541,619,371,738",164815504245,-4164589554,-5163001464,-3991754419,-3991754419,,
034120,SBS,커뮤니케이션서비스,2019,Q4,2019-04-01,"482,931,049,524","593,080,668,805","1,076,011,718,329","311,965,169,769","203,337,623,848","515,302,793,617","91,262,910,000","427,273,661,430","560,708,924,712",227496137348,28720938283,30412622529,22547929793,22547929793,,
034120,SBS,커뮤니케이션서비스,2020,Q1,2020-05-15,"366,384,907,721","636,409,404,713","1,002,794,312,434","190,583,273,104","267,236,978,413","457,820,251,517","91,262,910,000","411,991,501,867","544,974,060,917",161547914217,-8042502328,-10120233206,-12215015612,-12215015612,,
034120,SBS,커뮤니케이션서비스,2020,Q2,2020-08-14,"371,269,495,210","667,008,950,466","1,038,278,445,676","228,268,275,911","265,793,340,907","494,061,616,818","91,262,910,000","410,947,666,744","544,216,828,858",187407382170,-2389863007,-3742647653,-1000160527,-1000160527,,
034120,SBS,커뮤니케이션서비스,2020,Q3,2020-11-16,"430,367,430,887","610,251,017,975","1,040,618,448,862","227,814,860,667","339,603,157,708","567,418,018,375","91,262,910,000","339,231,012,256","473,200,430,487",178153782159,25262055612,-97819858791,-73715475398,-73715475398,,
034120,SBS,커뮤니케이션서비스,2020,Q4,2020-03-30,"381,346,423,552","606,779,614,241","988,126,037,793","161,001,653,788","349,259,728,248","510,261,382,036","91,262,910,000","343,895,237,526","477,864,655,757",229732672219,30070203248,9687632994,8689409876,8689409876,,
034120,SBS,커뮤니케이션서비스,2021,Q1,2021-05-14,"412,299,237,971","628,358,711,917","1,040,657,949,888","192,254,666,891","345,960,175,182","538,214,842,073","91,262,910,000","368,473,689,584","502,443,107,815",182715081140,33139824072,29252363719,22768693525,22768693525,,
034120,SBS,커뮤니케이션서비스,2021,Q2,2021-08-13,"451,194,974,144","631,651,683,861","1,082,846,658,005","186,306,834,257","355,456,163,642","541,762,997,899","91,262,910,000","407,114,241,875","541,083,660,106",214810404340,36906024339,49149805005,40457905410,40457905410,,
034120,SBS,커뮤니케이션서비스,2021,Q3,2021-11-12,"487,509,927,113","637,255,902,727","1,124,765,829,840","248,094,279,305","285,124,600,137","533,218,879,442","91,262,910,000","457,577,532,167","591,546,950,398",272934018950,76360625316,65450990345,50604336030,50604336030,,
034120,SBS,커뮤니케이션서비스,2021,Q4,2021-03-18,"570,942,060,446","624,993,505,199","1,195,935,565,645","382,854,894,700","218,772,245,177","601,627,139,877","91,262,910,000","460,339,007,537","594,308,425,768",239381063695,-5646741645,-6274481125,-6156290461,-6156290461,,
034120,SBS,커뮤니케이션서비스,2022,Q1,2022-05-13,"557,456,845,514","622,139,627,742","1,179,596,473,256","350,688,015,774","218,218,231,092","568,906,246,866","91,262,910,000","476,720,808,159","610,690,226,390",234397762386,49948374154,45520939951,34582809448,34582809448,,
