code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,총포괄손익
084870,베이직하우스,경기소비재,2015,Q4,2016-03-30,"84,596,576,331","168,041,603,236","252,638,179,567","49,377,209,508","105,417,939,886","154,795,149,394","31,550,516,283","97,843,030,173",128501368114,-29047133695,-35830250583,-35557716054,,
084870,베이직하우스,경기소비재,2016,Q1,2016-05-16,"87,985,901,241","166,216,455,222","254,202,356,463","60,542,136,618","101,460,835,132","162,002,971,750","25,906,870,823","92,199,384,713",28965035560,-5343097709,-6198193827,-5633054777,,
084870,베이직하우스,경기소비재,2016,Q2,2016-08-12,"81,584,969,333","164,842,284,238","246,427,253,571","55,038,811,621","102,412,537,973","157,451,349,594","22,683,390,087","88,975,903,977",32260098818,-1574028967,-2980176395,-3212223667,,
084870,베이직하우스,경기소비재,2016,Q3,2016-11-14,"88,790,705,958","164,698,912,592","253,489,618,550","63,508,403,848","105,415,551,373","168,923,955,221","18,273,149,439","84,565,663,329",25395461792,-5152438679,-6007471559,-4398236590,,
084870,베이직하우스,경기소비재,2016,Q4,2017-03-31,"88,437,589,974","152,232,579,154","240,670,169,128","72,248,431,818","94,885,961,498","167,134,393,316","7,243,261,922","73,535,775,812",72275302878,-435047571,-4017139194,-11636036279,,
084870,베이직하우스,경기소비재,2017,Q1,2017-05-15,"88,640,446,079","152,093,447,153","240,733,893,232","62,583,259,436","106,362,710,356","168,945,969,792","5,495,409,550","71,787,923,440",37172606870,-1332507312,-1929286272,-1739171739,,
084870,베이직하우스,경기소비재,2017,Q2,2017-08-14,"86,438,843,576","151,452,848,951","237,891,692,527","150,997,485,995","14,737,710,741","165,735,196,736","5,863,981,901","72,156,495,791",44973188219,1739038128,75679008,377586698,,
084870,베이직하우스,경기소비재,2017,Q3,2017-11-14,"93,013,328,673","149,712,514,426","242,725,843,099","160,552,787,821","15,300,524,398","175,853,312,219","580,016,990","66,872,530,880",35938678614,-3285581153,-5454366789,-5275440339,"84,687,175,712",
084870,베이직하우스,경기소비재,2017,Q4,2018-03-30,"93,126,320,322","137,897,421,555","231,023,741,877","145,984,534,778","24,044,663,856","170,029,198,634","-5,297,970,647","60,994,543,243",61962786924,4181759074,3905397831,-5778518941,"84,687,175,712",
084870,베이직하우스,경기소비재,2018,Q1,2018-05-14,"90,705,397,652","137,783,196,974","228,488,594,626","146,874,323,817","24,105,461,825","170,979,785,642","-8,783,704,906","57,508,808,984",45857312064,-2286556188,-3435035666,-3473888035,"84,687,175,712",
084870,베이직하우스,경기소비재,2018,Q2,2018-08-14,"91,990,224,898","126,768,301,472","218,758,526,370","140,689,078,257","28,589,675,902","169,278,754,159","-16,812,741,679","49,479,772,211",53199347063,1252890616,-164393326,-8017231355,"84,687,175,712",
084870,베이직하우스,경기소비재,2018,Q3,2018-11-14,"97,052,734,537","126,310,916,634","223,363,651,171","149,015,178,388","28,772,009,935","177,787,188,323","-20,716,051,042","45,576,462,848",41629850923,-3185083985,-3829219243,-3895064327,"84,687,175,712",
084870,베이직하우스,경기소비재,2018,Q4,2019-04-01,"88,731,785,830","177,514,081,888","266,245,867,718","61,058,409,022","21,741,576,195","82,799,985,217","96,478,518,455","183,445,882,501",68120767252,3046848431,4979845515,-42262674134,"84,687,175,712",
084870,베이직하우스,경기소비재,2019,Q1,2019-05-15,"87,633,746,145","172,991,625,796","260,625,371,941","52,945,396,277","24,976,726,637","77,922,122,914","95,735,884,981","182,703,249,027",47729711035,-942249795,-455850310,-687570357,"84,687,175,712",
084870,베이직하우스,경기소비재,2019,Q2,2019-08-14,"108,583,828,837","142,911,137,588","251,494,966,425","49,380,541,742","17,321,364,193","66,701,905,935","95,546,000,248","184,793,060,490",54975567876,2450438990,8128998515,9000175864,"84,687,175,712",
084870,베이직하우스,경기소비재,2019,Q3,2019-11-14,"88,575,369,114","146,989,536,655","235,564,905,769","50,472,388,841","17,377,895,242","67,850,284,083","78,975,709,012","167,714,621,686",42121910207,-2220517444,-16380836436,-16516065624,"84,687,175,712",
084870,베이직하우스,경기소비재,2019,Q4,2020-03-30,"87,177,278,572","88,357,122,200","175,534,400,772","50,089,931,198","17,763,688,453","67,853,619,651","18,813,548,920","107,680,781,121",65951435890,5144624290,-70350010098,-69197101243,"84,687,175,712",
084870,베이직하우스,경기소비재,2020,Q1,2020-05-15,"76,902,239,030","71,298,937,803","148,201,176,833","47,434,633,955","17,798,162,152","65,232,796,107","-5,571,826,474","82,968,380,726",36720944392,-6623538894,-24280181114,-24381460393,"84,687,175,712",
084870,베이직하우스,경기소비재,2020,Q2,2020-08-14,"78,240,530,039","62,524,078,031","140,764,608,070","46,196,442,494","16,871,425,104","63,067,867,598","-11,307,042,504","77,696,740,472",49741392885,1971405834,-5631174007,-5724075555,"84,687,175,712",
084870,베이직하우스,경기소비재,2020,Q3,2020-11-16,"84,166,480,044","67,069,457,681","151,235,937,725","55,028,344,817","17,565,473,334","72,593,818,151","-10,022,989,151","78,642,119,574",33991722820,-3681356574,1397706024,1294006117,"84,687,175,712",
