code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,기타포괄손익-공정가치측정금융자산,이자비용
005610,삼립식품,생활소비재,2019,Q3,2019-11-14,"204,993,935,051","688,387,940,670","893,381,875,721","272,496,024,696","315,578,993,762","588,075,018,458","286,942,278,202","305,306,857,263",282892454681,8578705345,5974281773,4560212081,4560212081,"43,145,045,000",,,
005610,삼립식품,생활소비재,2019,Q4,2019-04-01,"219,126,650,579","735,635,233,237","954,761,883,816","297,978,432,666","340,568,825,323","638,547,257,989","297,850,046,766","316,214,625,827",369930312371,17814592747,14212871636,14134485722,14134485722,"43,145,045,000",,,
005610,삼립식품,생활소비재,2020,Q1,2020-05-15,"228,140,486,164","736,146,848,946","964,287,335,110","364,205,632,832","288,690,778,389","652,896,411,221","293,018,069,959","311,390,923,889",300329355409,5325080788,2568384713,1094068168,1094068168,"43,145,045,000",,,
005610,삼립식품,생활소비재,2020,Q2,2020-08-14,"224,553,399,014","749,112,326,739","973,665,725,753","397,246,307,712","286,207,213,214","683,453,520,926","271,814,250,462","290,212,204,827",303511924974,5973261997,-26506506588,-21203821988,-21203821988,"43,145,045,000",,,
005610,삼립식품,생활소비재,2020,Q3,2020-11-16,"224,254,608,680","752,690,797,406","976,945,406,086","407,329,283,221","279,782,084,146","687,111,367,367","271,410,983,919","289,834,038,719",317142303333,10781669662,8699907126,-349272137,-349272137,"43,145,045,000",,,
005610,삼립식품,생활소비재,2020,Q4,2020-03-30,"208,818,247,569","736,819,910,651","945,638,158,220","401,876,587,363","245,480,439,038","647,357,026,401","279,832,700,755","298,281,131,819",344477318673,22626073322,17336074406,10057963214,10057963214,"43,145,045,000",,,
005610,삼립식품,생활소비재,2021,Q1,2021-05-17,"203,495,702,198","729,306,479,360","932,802,181,558","392,584,820,408","240,925,390,789","633,510,211,197","280,818,714,691","299,291,970,361",319074101311,10658201910,9040824116,6963108728,6963108728,"43,145,045,000",,,
005610,삼립식품,생활소비재,2021,Q2,2021-08-17,"212,658,529,569","734,746,968,604","947,405,498,173","372,663,994,484","265,727,545,417","638,391,539,901","290,515,602,167","309,013,958,272",332455912856,13927620156,12786843028,9783282585,9783282585,"43,145,045,000",,,
005610,삼립식품,생활소비재,2021,Q3,2021-11-15,"263,746,759,710","710,238,883,183","973,985,642,893","398,791,594,014","260,814,466,959","659,606,060,973","295,855,849,551","314,379,581,920",335485621194,12909636492,9811403431,5409365914,5409365914,"43,145,045,000",,,
005610,삼립식품,생활소비재,2021,Q4,2021-03-18,"247,450,385,631","706,167,419,104","953,617,804,735","363,936,440,545","257,347,158,620","621,283,599,165","313,785,096,937","332,334,205,570",382322957412,27531817531,21617484723,19277582264,19277582264,"43,145,045,000",,,
005610,삼립식품,생활소비재,2022,Q1,2022-05-16,"279,199,533,644","685,400,103,735","964,599,637,379","385,107,930,905","248,449,244,516","633,557,175,421","312,468,528,719","331,042,461,958",352152733377,12740459364,10115127752,7794920156,7794920156,"43,145,045,000",,,
005610,삼립식품,생활소비재,2022,Q2,2022-08-16,"281,601,082,493","678,088,895,403","959,689,977,896","380,623,349,830","235,077,691,190","615,701,041,020","325,389,903,202","343,988,936,876",403481384355,19645636550,17127011149,13051642918,13051642918,"43,145,045,000",,,
005610,삼립식품,생활소비재,2022,Q3,2022-11-14,"292,614,488,655","688,328,010,492","980,942,499,147","395,125,229,624","229,396,261,596","624,521,491,220","337,861,555,710","356,421,007,927",431452452874,19073932913,16354887975,12524057797,12524057797,"43,145,045,000",,,
005610,삼립식품,생활소비재,2022,Q4,2022-03-17,"307,680,404,350","680,447,589,206","988,127,993,556","408,567,886,911","207,850,121,292","616,418,008,203","353,181,126,979","371,709,985,353",437190808658,25003242479,17689808581,12557579028,12557579028,"43,145,045,000",,,
005610,삼립식품,생활소비재,2023,Q1,2023-05-15,"325,475,965,075","679,331,671,529","1,004,807,636,604","440,220,235,628","198,809,753,080","639,029,988,708","347,151,628,310","365,777,647,896",403057296054,13953610047,10178377528,7828200528,7828200528,"43,145,045,000",,,
005610,삼립식품,생활소비재,2023,Q2,2023-08-11,"288,971,317,222","677,924,609,237","966,895,926,459","427,054,425,944","160,588,951,648","587,643,377,592","360,599,337,001","379,252,548,867",427933457430,21903711864,17564222351,13598005035,13598005035,"43,145,045,000",,,
005610,삼립식품,생활소비재,2023,Q3,2023-11-14,"319,024,053,949","647,291,323,843","966,315,377,792","425,318,672,569","151,903,038,822","577,221,711,391","370,415,136,176","389,093,666,401",409136524355,16231589729,12749356306,9894469874,9894469874,"43,145,045,000",9815799175,,
005610,삼립식품,생활소비재,2023,Q4,2023-03-16,"313,694,681,417","629,713,051,842","943,407,733,259","403,800,413,813","142,690,578,985","546,490,992,798","378,200,180,602","396,916,740,461",442164419637,24799009178,11387613051,9879211147,9879211147,"43,145,045,000",28982133548,,
005610,삼립식품,생활소비재,2024,Q1,2024-05-14,"282,372,870,857","622,466,673,406","904,839,544,263","380,165,452,281","134,276,939,751","514,442,392,032","371,642,976,104","390,397,152,231",394298362499,12865016705,9477796632,7341379101,7341379101,"43,145,045,000",7221674602,,
005610,삼립식품,생활소비재,2024,Q2,2024-08-14,"331,199,672,580","622,637,364,853","953,837,037,433","323,660,705,575","194,362,077,561","518,022,783,136","417,022,461,902","435,814,254,297",408797597195,22396708945,48310883945,45455435329,45455435329,"43,145,045,000",45379485798,,
005610,삼립식품,생활소비재,2024,Q3,2024-11-14,"280,124,013,377","628,617,288,659","908,741,302,036","277,244,090,509","185,366,222,444","462,610,312,953","427,301,167,054","446,130,989,083",402170674499,17903685482,15188894091,10316373978,10316373978,"43,145,045,000",10278705152,"1,100,826,447",
005610,삼립식품,생활소비재,2024,Q4,2024-03-21,"314,158,346,251","606,647,551,913","920,805,898,164","287,869,233,250","176,723,467,602","464,592,700,852","437,414,584,384","456,213,197,312",441797403885,26935566511,17866767448,13773742293,13773742293,"43,145,045,000",10113417330,,7072582194
