code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,기타포괄손익-공정가치측정금융자산,이자비용
005610,삼립식품,생활소비재,2015,Q4,2015-03-31,"117,472,362,543","266,254,686,143","383,727,048,686","168,855,784,040","16,274,259,256","185,130,043,296","144,254,829,068","198,597,005,390",985824837156,24744943806,22662493780,15993567006,15993567006,,,,
005610,삼립식품,생활소비재,2016,Q1,2016-05-16,"114,751,618,085","264,059,505,054","378,811,123,139","164,936,968,540","17,255,031,353","182,191,999,893","142,276,957,574","196,619,123,246",245136137016,3779241015,3759729023,2934956791,2934956791,,,,
005610,삼립식품,생활소비재,2016,Q2,2016-08-16,"118,852,053,354","261,799,757,276","380,651,810,630","162,392,796,809","15,287,980,321","177,680,777,130","148,628,857,519","202,971,033,500",261023514219,8328173017,8263543327,6372698431,6372698431,,,,
005610,삼립식품,생활소비재,2016,Q3,2016-11-14,"120,894,208,679","277,180,606,401","398,074,815,080","175,550,492,877","16,266,254,338","191,816,747,215","151,915,899,389","206,258,067,865",258024116317,4444732464,4289136855,3292160143,3292160143,,,,
005610,삼립식품,생활소비재,2016,Q4,2016-03-30,"133,575,051,820","286,669,542,003","420,244,593,823","187,262,644,090","22,497,921,750","209,760,565,840","160,536,275,250","210,484,027,983",289430702490,12531981887,11878004027,9518025040,9518025040,,,,
005610,삼립식품,생활소비재,2017,Q1,2017-05-15,"130,328,463,308","290,253,621,796","420,582,085,104","211,708,138,706","35,301,099,421","247,009,238,127","159,168,904,091","173,572,846,977",258270394431,5327011655,5042607728,4021469565,4021469565,,,,
005610,삼립식품,생활소비재,2017,Q2,2017-08-14,"118,702,727,271","303,116,230,598","421,818,957,869","206,425,265,327","32,000,000,000","238,425,265,327","175,627,714,809","183,393,692,542",264612954573,8625675328,18405069038,16498339732,16498339732,,,,
005610,삼립식품,생활소비재,2017,Q3,2017-11-14,"118,714,602,457","317,860,432,691","436,575,035,148","221,981,372,378","32,601,652,438","254,583,024,816","176,763,011,972","181,992,010,332",247598674163,2454560117,2066493702,1150951455,1150951455,"43,145,045,000",,,
005610,삼립식품,생활소비재,2017,Q4,2017-03-30,"144,938,843,286","304,137,413,424","449,076,256,710","215,731,467,995","42,000,000,000","257,731,467,995","186,115,802,841","191,344,788,715",239636710140,12269492297,11356357107,9108861537,9108861537,"43,145,045,000",,,
005610,삼립식품,생활소비재,2018,Q1,2018-05-15,"125,492,321,122","303,250,466,455","428,742,787,577","196,608,034,319","43,114,404,777","239,722,439,096","183,791,389,024","189,020,348,481",236207954856,5401685936,5361668085,4273536650,4273536650,"43,145,045,000",,,
005610,삼립식품,생활소비재,2018,Q2,2018-08-14,"131,424,762,934","300,927,194,537","432,351,957,471","207,064,382,446","30,240,000,000","237,304,382,446","189,818,613,521","195,047,575,025",237318807725,8607186403,7854905062,6078437132,6078437132,"43,145,045,000",,,
005610,삼립식품,생활소비재,2018,Q3,2018-11-14,"189,650,855,835","396,248,612,909","585,899,468,744","269,487,270,124","37,051,464,666","306,538,734,790","260,996,210,341","279,360,733,954",252874003011,7372362281,6077662829,5526952812,5526952812,"43,145,045,000",,,
005610,삼립식품,생활소비재,2018,Q4,2018-04-02,"179,416,146,719","414,744,710,322","594,160,857,041","277,212,139,673","24,598,145,227","301,810,284,900","273,986,068,085","292,350,572,141",289925745780,20336789767,16413471321,12506563083,12506563083,"43,145,045,000",,,
005610,삼립식품,생활소비재,2019,Q1,2019-05-15,"171,711,645,407","436,200,079,280","607,911,724,687","239,384,968,369","76,966,420,559","316,351,388,928","273,195,812,904","291,560,335,759",260310392756,8071837607,6100813963,4624034908,4624034908,"43,145,045,000",,,
005610,삼립식품,생활소비재,2019,Q2,2019-08-14,"179,320,928,471","434,967,778,173","614,288,706,644","241,920,500,695","71,599,301,795","313,519,802,490","282,404,325,093","300,768,904,154",273702275005,13424022920,11811495160,9248614729,9248614729,"43,145,045,000",,,
