code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,총포괄손익,영업비용
032640,LG유플러스,커뮤니케이션서비스,2015,Q4,2016-03-30,"2,547,236,000,000","9,391,988,000,000","11,939,224,000,000","3,327,786,000,000","4,133,881,000,000","7,461,667,000,000","1,065,701,000,000","4,477,557,000,000",10780359000000,646332000000,481586000000,367328000000,,,
032640,LG유플러스,커뮤니케이션서비스,2016,Q1,2016-05-16,"2,862,443,000,000","9,126,102,000,000","11,988,545,000,000","3,477,587,000,000","4,029,394,000,000","7,506,981,000,000","1,069,446,000,000","4,481,564,000,000",2712974000000,173871000000,147235000000,113272000000,,,
032640,LG유플러스,커뮤니케이션서비스,2016,Q2,2016-08-16,"2,937,225,000,000","9,155,342,000,000","12,092,567,000,000","3,691,304,000,000","3,787,823,000,000","7,479,127,000,000","1,201,654,000,000","4,613,440,000,000",2871958000000,181588000000,170052000000,132378000000,,,
032640,LG유플러스,커뮤니케이션서비스,2016,Q3,2016-11-14,"2,845,987,000,000","8,930,481,000,000","11,776,468,000,000","3,488,578,000,000","3,548,025,000,000","7,036,603,000,000","1,336,903,000,000","4,739,865,000,000",2734928000000,213042000000,176228000000,135423000000,,,
032640,LG유플러스,커뮤니케이션서비스,2016,Q4,2017-03-31,"2,579,273,000,000","9,409,851,000,000","11,989,124,000,000","3,558,835,000,000","3,572,018,000,000","7,130,853,000,000","1,453,108,000,000","4,858,271,000,000",3114910000000,187276000000,159275000000,119969000000,,,
032640,LG유플러스,커뮤니케이션서비스,2017,Q1,2017-05-15,"2,955,522,000,000","9,066,663,000,000","12,022,185,000,000","3,740,922,000,000","3,438,186,000,000","7,179,108,000,000","1,438,299,000,000","4,843,077,000,000",2878225000000,208502000000,176982000000,138719000000,,,
032640,LG유플러스,커뮤니케이션서비스,2017,Q2,2017-08-14,"2,911,574,000,000","8,973,780,000,000","11,885,354,000,000","3,474,673,000,000","3,428,932,000,000","6,903,605,000,000","1,577,011,000,000","4,981,749,000,000",3005489000000,210457000000,178399000000,139179000000,,,
032640,LG유플러스,커뮤니케이션서비스,2017,Q3,2017-11-14,"2,934,650,000,000","8,847,100,000,000","11,781,750,000,000","3,405,247,000,000","3,249,720,000,000","6,654,967,000,000","1,722,211,000,000","5,126,783,000,000",3054532000000,216478000000,186916000000,145664000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2017,Q4,2018-04-02,"3,002,606,000,000","8,945,616,000,000","11,948,222,000,000","3,646,692,000,000","3,014,441,000,000","6,661,133,000,000","1,882,573,000,000","5,287,089,000,000",3323684000000,208237000000,144632000000,146829000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2018,Q1,2018-05-15,"4,829,838,000,000","8,790,818,000,000","13,620,656,000,000","4,179,021,000,000","2,918,249,000,000","7,097,270,000,000","3,118,262,000,000","6,523,386,000,000",2974164000000,190275000000,164901000000,118529000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2018,Q2,2018-08-14,"4,570,030,000,000","8,687,081,000,000","13,257,111,000,000","3,750,979,000,000","2,844,961,000,000","6,595,940,000,000","3,255,278,000,000","6,661,171,000,000",2972050000000,209214000000,189026000000,137290000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2018,Q3,2018-11-14,"4,418,933,000,000","8,644,034,000,000","13,062,967,000,000","3,604,465,000,000","2,642,357,000,000","6,246,822,000,000","3,410,465,000,000","6,816,145,000,000",2983803000000,229244000000,209298000000,155465000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2018,Q4,2019-04-01,"4,172,112,000,000","9,782,985,000,000","13,955,097,000,000","3,822,069,000,000","3,237,297,000,000","7,059,366,000,000","3,497,657,000,000","6,895,731,000,000",3166761000000,105975000000,82029000000,65468000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2019,Q1,2019-05-15,"4,611,871,000,000","9,817,978,000,000","14,429,849,000,000","4,265,626,000,000","3,306,662,000,000","7,572,288,000,000","3,459,509,000,000","6,857,561,000,000",3009454000000,198323000000,179949000000,137075000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2019,Q2,2019-08-14,"4,346,763,000,000","10,417,044,000,000","14,763,807,000,000","4,528,678,000,000","3,273,524,000,000","7,802,202,000,000","3,561,254,000,000","6,961,605,000,000",3189353000000,152155000000,135355000000,101783000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2019,Q3,2019-11-14,"4,889,050,000,000","11,055,572,000,000","15,944,622,000,000","4,602,096,000,000","4,278,475,000,000","8,880,571,000,000","3,668,748,000,000","7,064,051,000,000",3230529000000,153307000000,133655000000,102233000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2019,Q4,2020-03-30,"4,458,406,000,000","12,375,873,000,000","16,834,279,000,000","4,047,947,000,000","5,653,650,000,000","9,701,597,000,000","3,733,573,000,000","7,132,682,000,000",2908410000000,187982000000,131149000000,104553000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2020,Q1,2020-05-15,"4,711,899,000,000","12,200,077,000,000","16,911,976,000,000","4,132,538,000,000","5,677,776,000,000","9,810,314,000,000","3,704,439,000,000","7,101,662,000,000",3022730000000,211034000000,188123000000,145695000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2020,Q2,2020-08-14,"4,703,626,000,000","12,415,026,000,000","17,118,652,000,000","4,095,327,000,000","5,778,557,000,000","9,873,884,000,000","3,848,310,000,000","7,244,768,000,000",2997580000000,230405000000,196010000000,143694000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2020,Q3,2020-11-16,"5,580,383,000,000","12,461,300,000,000","18,041,683,000,000","4,320,276,000,000","6,083,581,000,000","10,403,857,000,000","4,241,127,000,000","7,637,826,000,000",3079263000000,234904000000,211109000000,392647000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2020,Q4,2021-03-04,"4,536,761,000,000","12,717,219,000,000","17,253,980,000,000","3,906,705,000,000","5,929,152,000,000","9,835,857,000,000","4,018,265,000,000","7,418,123,000,000",3253306000000,161636000000,-257160000000,-229495000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2021,Q1,2021-05-17,"4,774,876,000,000","12,434,707,000,000","17,209,583,000,000","4,061,667,000,000","5,724,658,000,000","9,786,325,000,000","4,022,192,000,000","7,423,258,000,000",3165548000000,266687000000,253463000000,201201000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2021,Q2,2021-08-17,"4,892,419,000,000","12,649,808,000,000","17,542,227,000,000","3,950,992,000,000","5,979,562,000,000","9,930,554,000,000","4,227,057,000,000","7,611,673,000,000",3077869000000,258712000000,249949000000,205341000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2021,Q3,2021-11-15,"4,944,965,000,000","12,639,517,000,000","17,584,482,000,000","4,502,231,000,000","5,425,118,000,000","9,927,349,000,000","4,345,500,000,000","7,657,133,000,000",3221727000000,269933000000,259950000000,206054000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2021,Q4,2022-03-03,"4,682,088,000,000","13,549,417,000,000","18,231,505,000,000","4,814,326,000,000","5,740,493,000,000","10,554,819,000,000","4,376,022,000,000","7,676,686,000,000",3339058000000,142609000000,86593000000,66552000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2022,Q1,2022-05-16,"4,689,378,000,000","13,396,335,000,000","18,085,713,000,000","4,692,050,000,000","5,697,814,000,000","10,389,864,000,000","4,395,429,000,000","7,695,849,000,000",3141271000000,256834000000,229587000000,170996000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2022,Q2,2022-08-16,"5,006,602,000,000","13,547,242,000,000","18,553,844,000,000","4,587,901,000,000","6,038,797,000,000","10,626,698,000,000","4,625,252,000,000","7,927,146,000,000",3119952000000,244466000000,209627000000,160154000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2022,Q3,2022-11-14,"4,644,459,000,000","13,579,383,000,000","18,223,842,000,000","4,480,976,000,000","5,725,835,000,000","10,206,811,000,000","4,715,704,000,000","8,017,031,000,000",3182922000000,275739000000,213135000000,163818000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2022,Q4,2023-03-02,"4,505,716,000,000","14,115,400,000,000","18,621,116,000,000","4,352,215,000,000","6,122,938,000,000","10,475,153,000,000","4,859,895,000,000","8,145,963,000,000",3337424000000,272791000000,206914000000,166724000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2023,Q1,2023-05-15,"4,668,844,000,000","14,290,850,000,000","18,959,694,000,000","4,896,073,000,000","5,935,097,000,000","10,831,170,000,000","4,846,549,000,000","8,128,524,000,000",3281105000000,257097000000,212754000000,157213000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2023,Q2,2023-08-14,"4,712,056,000,000","14,483,809,000,000","19,195,865,000,000","4,633,563,000,000","6,220,336,000,000","10,853,899,000,000","5,059,261,000,000","8,341,966,000,000",3163206000000,287610000000,247179000000,214577000000,"2,573,969,000,000",,
032640,LG유플러스,커뮤니케이션서비스,2023,Q3,2023-11-14,"4,613,153,000,000","14,530,433,000,000","19,143,586,000,000","4,831,755,000,000","5,915,994,000,000","10,747,749,000,000","5,113,740,000,000","8,395,837,000,000",3307597000000,253507000000,199240000000,161737000000,"2,573,969,000,000",161329000000,
032640,LG유플러스,커뮤니케이션서비스,2023,Q4,2024-03-06,"4,474,473,000,000","14,570,738,000,000","19,045,211,000,000","5,230,267,000,000","5,331,970,000,000","10,562,237,000,000","5,195,227,000,000","8,482,974,000,000",3486643000000,188945000000,124472000000,112774000000,"2,573,969,000,000",457535000000,12251392000000
032640,LG유플러스,커뮤니케이션서비스,2024,Q1,2024-05-16,"5,029,586,000,000","14,296,646,000,000","19,326,232,000,000","5,697,303,000,000","5,185,348,000,000","10,882,651,000,000","5,157,090,000,000","8,443,581,000,000",3322778000000,221160000000,172755000000,135347000000,"2,573,969,000,000",132538000000,3101618000000
032640,LG유플러스,커뮤니케이션서비스,2024,Q2,2024-08-14,"5,505,966,000,000","14,327,380,000,000","19,833,346,000,000","5,730,607,000,000","5,498,438,000,000","11,229,045,000,000","5,318,940,000,000","8,604,301,000,000",3228242000000,252399000000,201501000000,163156000000,"2,573,969,000,000",160720000000,2975843000000
032640,LG유플러스,커뮤니케이션서비스,2024,Q3,2024-11-14,"5,550,704,000,000","14,089,701,000,000","19,640,405,000,000","5,594,056,000,000","5,393,132,000,000","10,987,188,000,000","5,365,623,000,000","8,653,217,000,000",3496341000000,253262000000,219952000000,157758000000,"2,573,969,000,000",156373000000,3243079000000
032640,LG유플러스,커뮤니케이션서비스,2024,Q4,2025-03-17,"4,656,429,000,000","14,076,916,000,000","18,733,345,000,000","4,725,023,000,000","5,379,965,000,000","10,104,988,000,000","5,338,813,000,000","8,628,357,000,000",3448872000000,154985000000,33109000000,16604000000,"2,573,969,000,000",-24860000000,3293887000000
