,name,year,quarter,sector,Relative Return,비유동자산 변화율,유동부채 변화율,부채총계 변화율,영업이익 변화율,금리 변화율,Label,Code
11,하이트진로,2022,Q1,생활소비재,-0.012106847679306795,-0.0053036190353181745,0.06419331327102062,0.0857692486737649,0.6800022376931831,0.14767324592997877,-0.05541183527418489,000080
11,CJ대한통운,2022,Q1,산업재,0.020972223829352588,0.0006098864316907981,0.03129479639661947,0.025042843340167265,-0.445338565022507,0.14767324592997877,0.02343612097174363,000120
11,두산,2022,Q1,산업재,-0.2643159535326171,0.07040648845748398,-0.21842267981194363,0.0031236306445372453,-1.544819098530279,0.14767324592997877,0.06110258333314108,000150
11,CJ,2022,Q1,생활소비재,0.08096572305841608,-0.0006623326478456537,0.289992319917026,0.10331126988394934,4.060620788272118,0.14767324592997877,0.014524224541941813,001040
11,LG상사,2022,Q1,산업재,0.2859988574797939,0.054700403477110804,-0.06304528876078941,0.18099215356376952,-0.17864490757158602,0.14767324592997877,-0.020619585210161863,001120
11,대상,2022,Q1,생활소비재,0.13444508417465725,0.03470319734599259,-0.026212540109977422,0.08564728176707459,1.758853041157142,0.14767324592997877,0.00908591641667051,001680
11,오리온,2022,Q1,생활소비재,0.05552237888351503,-0.0037931931973068655,0.7780987257581282,0.49718518461559036,6.006456225253842,0.14767324592997877,0.11705508667435624,001800
11,아모레G,2022,Q1,생활소비재,0.058838877200013344,-0.00013677098251163589,0.5449049020805175,0.35032574532154737,-5.16477236330467,0.14767324592997877,-0.1529368295026173,002790
11,대한항공,2022,Q1,산업재,0.03388881178450802,-0.004362880069243569,-0.026740219209733795,-0.002859036972427509,0.1192473792339892,0.14767324592997877,-0.05682996607649239,003490
11,S&T중공업,2022,Q1,산업재,0.16440219473170126,0.04971025308253352,-0.04036254192461308,-0.05517176059039186,-0.7442489213547215,0.14767324592997877,0.07463939620829756,003570
11,남양유업,2022,Q1,생활소비재,0.0018108270868471901,-0.008851853308732838,0.02990554637777021,0.01444341120883652,0.0765331974780743,0.14767324592997877,0.01619361040473865,003920
11,농심,2022,Q1,생활소비재,0.08963650623354918,-0.0033770423260756077,0.06541504839646617,0.05849909283921062,0.03767911344220254,0.14767324592997877,0.018852195521839837,004370
11,빙그레,2022,Q1,생활소비재,0.01513203476435735,0.012715550870961767,0.1555717024926715,0.18511656122776188,-1.9041654549967175,0.14767324592997877,-0.056387606328970115,005180
11,롯데칠성,2022,Q1,생활소비재,0.24279269149990607,-0.006877896042821741,0.2603056900046017,0.06272780820835377,1.625672539291541,0.14767324592997877,-0.09264071438839692,005300
11,현대그린푸드,2022,Q1,생활소비재,0.04004255462786395,-0.013227314955976954,-0.008701246034882204,0.012333763136157971,1.6811126533391185,0.14767324592997877,-0.033150363955609836,005440
11,삼립식품,2022,Q1,생활소비재,-0.09474296463364472,-0.029408487006310824,0.05817359297215585,0.01975519114377966,-0.5372459755098034,0.14767324592997877,0.08237324862937995,005610
11,크라운제과,2022,Q1,생활소비재,0.09190569715711869,-0.00021594237662092564,0.02890303220893986,0.02708802856043846,-26.124290633997973,0.14767324592997877,-0.17739734218451125,005740
11,LS,2022,Q1,산업재,0.2003284681564553,0.006544825028329537,0.23455599425339324,0.09621644709287613,0.3890449751376903,0.14767324592997877,0.10199314310659517,006260
11,GS리테일,2022,Q1,생활소비재,-0.032465579571449535,0.015413456923862867,0.11745317701526359,0.056327081088350495,0.17900657065057834,0.14767324592997877,0.03112638205578504,007070
11,오뚜기,2022,Q1,생활소비재,0.11998002740190816,-0.010299208733196563,0.05205906667679239,-0.04070555190125624,1.0598221415875972,0.14767324592997877,0.08099068262893837,007310
11,LS산전,2022,Q1,산업재,0.11944724005258425,0.0014431137590427134,-0.024023756491507786,0.09707948334474836,-0.1899748804082324,0.14767324592997877,0.2320632259623455,010120
11,현대상선,2022,Q1,산업재,-0.02300910138938067,0.22635392288065992,0.2133905160856,0.06596593891412939,0.15956080718517662,0.14767324592997877,-0.15884063555464187,011200
11,한국전력,2022,Q1,생활소비재,0.010074230868319711,0.020771047264357634,0.17156662126064304,0.14313121532391748,1.1913509898834027,0.14767324592997877,0.025871117517250262,015760
11,한국단자,2022,Q1,산업재,0.17786804081004914,0.015761808030653413,0.11422915411346879,0.09580901491950922,-0.5465501288091466,0.14767324592997877,-0.08217714884401714,025540
11,KT&G,2022,Q1,생활소비재,0.08123081673494727,0.010733413423443139,0.24012655654833437,0.2328823522699628,0.47490534913969307,0.14767324592997877,0.029769985178088477,033780
11,무학,2022,Q1,생활소비재,-0.1437043930860703,-0.02418891348923835,-0.008062275311585987,-0.008250068541400979,3.386937502372823,0.14767324592997877,-0.08748334979096431,033920
11,한국가스공사,2022,Q1,생활소비재,0.17073404483579624,0.10421501645795295,0.3888677921650743,0.17052507292110386,1.4308359565560362,0.14767324592997877,-0.03392703926513722,036460
11,팜스코,2022,Q1,생활소비재,0.0792518681450129,0.005736453560289734,0.1944671161371434,0.18813173814776651,-2.088713722588575,0.14767324592997877,-0.09522333458506486,036580
11,대우인터내셔널,2022,Q1,산업재,0.111086237738412,0.17873001588923332,0.24260938627916162,0.26183913134006875,0.5269223087769128,0.14767324592997877,0.07333231369944908,047050
11,한국항공우주,2022,Q1,산업재,0.2239117087114364,-0.01476422358904872,0.059335593846260304,0.03545823319852359,-5.047248121207438,0.14767324592997877,0.20520050444633672,047810
11,동원F&B,2022,Q1,생활소비재,-0.001698622745929107,-0.06159178242906671,0.06853622007046556,0.0376019903553384,2.3046883323753016,0.14767324592997877,0.035753471093122914,049770
