name,year,quarter,sector,Relative Return,M_국제유가 변화율,F_유동부채 변화율,F_법인세차감전 순이익 변화율,F_비유동부채 변화율,F_이익잉여금 변화율,F_당기순이익(손실) 변화율,Label,Code
유한양행,2024,Q4,헬스케어,-0.07720671896762361,-0.9839041470673577,-0.06117604728034576,-0.9455186482548606,-0.058110459659274305,0.003878970410473137,-0.4905115593038417,-0.07720671896762361,000100
유한양행,2024,Q3,헬스케어,0.5302977539193272,-0.05674568795778523,-0.09838954993497584,0.27259044526318665,0.06624320322990718,0.012573441226012338,-0.03246917464901855,-0.07720671896762361,000100
유한양행,2024,Q2,헬스케어,0.2848114793230269,0.01979840167061564,0.23632179249996854,-0.2640870695217775,-0.5072802986534846,0.012744224911674484,-0.3256700866717914,0.5302977539193272,000100
유한양행,2024,Q1,헬스케어,-0.05938153517806958,-0.008599753155233536,0.021421411239838317,1.765336252551153,0.052434805547293184,0.0020405948426291953,0.291708822835151,0.2848114793230269,000100
유한양행,2023,Q4,헬스케어,0.09501216460727777,-0.03388722209400741,-0.02377254315513866,0.13339119871199245,-0.08804873031760818,0.008934289881062263,1.1958351714301148,-0.05938153517806958,000100
유한양행,2023,Q3,헬스케어,-0.1365996389889667,0.106533304958502,0.1565534283017096,-0.44606395688133127,0.18056740366497448,0.0061756230885789964,-0.2808902637488593,0.09501216460727777,000100
유한양행,2023,Q2,헬스케어,0.29034291902187653,-0.03519218134034163,-0.032994539608148465,-0.49974067130523625,1.2870511786151053,0.009304753109873332,-0.48613700550248373,-0.1365996389889667,000100
유한양행,2023,Q1,헬스케어,0.08422430114085966,-0.08337411073888668,0.05980887022207493,-6.5177214124346055,0.06814660590133736,0.0035888299430921755,1.0721403262518279,0.29034291902187653,000100
유한양행,2022,Q4,헬스케어,-0.04341924912778849,-0.12070563315019511,0.06423903945112985,-1.4332257287566448,-0.4249393611060722,0.028114435203607124,1.9978147993865303,0.08422430114085966,000100
유한양행,2022,Q3,헬스케어,0.018610835921721084,-0.11299650647329962,-0.11046267180373015,-0.25037899110723316,-0.2176018739268104,0.002500101134134569,-0.7087673414065138,-0.04341924912778849,000100
유한양행,2022,Q2,헬스케어,0.055315837352818226,0.13207484462760455,-0.12041528267870116,-0.7752784303612399,0.01884576191501597,0.010316175491482893,-0.7839066223015452,0.018610835921721084,000100
유한양행,2022,Q1,헬스케어,0.011350218745230758,0.2602194672474454,0.1917948969468839,1.9245241419437091,0.32875152305068034,0.03576857243677756,1.4477424837399187,0.055315837352818226,000100
