,name,sector,year,quarter,자본총계변화율,비유동자산변화율,이익잉여금변화율,기말 소유주식 수변화율,증자주식수변화율,1인평균급여변화율,Relative Return,특정 증권 등 소유 증감 수변화율,기초 소유 주식 수변화율,특정 증권 등 소유 증감 비율변화율,Label,Code
19,Chosun_Refractories,비금속,2020,Q1,0.042091361485371626,-0.0004080591955462065,-0.0020100787918684304,-0.8615568274931171,0.0379135551024774,0.07932919479237344,-0.03579183485173077,-0.6912584865463962,0.17256546711522924,0.2818742037077331,-0.008360758983627092,000480
18,Hanil_Cement,비금속,2020,Q1,0.011414569354347703,0.10915488198391554,0.0022914770636661697,-1.5838343230800551,0.2343570870557642,-0.016836788584160267,-0.19274167084824007,0.045303337814882605,-0.8475312599895211,0.04530333781488216,-0.031148671811592366,003300
18,Ssangyong_Cement,비금속,2020,Q1,0.001730489541946434,-0.002756164094789293,-0.00449786570719346,0.5504225853761054,0.4328688730973157,0.18374078264523286,-0.14640386470224231,-0.05865589380450342,0.6928384673037098,-0.027867184222427177,-0.005216583020350357,003410
18,IS_Dongseo,비금속,2020,Q1,0.026004114112722965,0.14642164928927714,0.0197803829523302,0.17060019910235602,-0.02532732354673506,0.10140715353294838,0.022117497547486903,-0.0003090630340123468,0.17087859030421215,-0.0003868301903331428,-0.12365461586586265,010780
