,name,sector,year,quarter,자본총계변화율,비유동부채변화율,이익잉여금변화율,Code
3,Orion_Corp,Agriculture_&_Food,2023,Q4,-0.00019867870248235775,0.02001967470144128,-0.05463193572173286,001800
3,Namyang_Dairy_Products,Agriculture_&_Food,2023,Q4,0.054368230412414675,0.0106061253295201,0.05361429870544143,003920
3,Nongshim,Agriculture_&_Food,2023,Q4,0.004296824733881488,-0.03508024541271171,0.005425778973070616,004370
3,Binggrae,Agriculture_&_Food,2023,Q4,0.013369892076394718,-0.07196536218421401,0.11521842909636626,005180
3,Hyundai_Green_Food,Agriculture_&_Food,2023,Q4,-0.018095509451943492,0.10097968080398179,-0.0020509982679428607,005440
3,SPC_Samlip,Agriculture_&_Food,2023,Q4,-0.02010588898133725,0.06064697525765206,-0.02101707966464139,005610
3,Crown_Confectionery,Agriculture_&_Food,2023,Q4,-0.03311224109209143,0.00858817726550909,-0.05327512559802727,005740
3,Ottogi,Agriculture_&_Food,2023,Q4,-0.005759543174513215,0.13964518509037072,-0.0058972869698616925,007310
3,Muhak,Agriculture_&_Food,2023,Q4,-0.024798362140626917,-3.046588426785809,-0.025043760559536832,033920
3,Farmsco,Agriculture_&_Food,2023,Q4,-0.03155135396002717,0.1680919326840572,-0.06560523391657114,036580
3,Dongwon_F&B,Agriculture_&_Food,2023,Q4,-0.006945214210746231,0.1832419967703932,-0.15662719095975497,049770
3,Samyang_Foods,Agriculture_&_Food,2023,Q4,-0.033982372268026584,-0.0175965483728584,-0.03653685335085122,145990
