,name,year,quarter,sector,Relative Return,이익잉여금 변화율,부채총계 변화율,매출액 변화율,법인세차감전 순이익 변화율,실업률 변화율,금리 변화율,Label,Code
26,조선내화,2018,Q2,철강_소재,0.04839560668212351,0.02204330764303153,-0.07308142735351841,-0.06440360677641677,0.2642630347343302,0.009009009009008917,-0.0044422507403751865,0.060034130245770104,000480
26,영풍,2018,Q2,철강_소재,-0.08543709878316533,-0.0035030118892893647,-0.06199991033984187,-0.1199754876765502,-1.1110760982674714,0.009009009009008917,-0.0044422507403751865,0.01968765964791773,000670
26,동국제강,2018,Q2,철강_소재,-0.19006577269342306,-0.04347338092742892,0.0510117149478293,0.07068628377355379,5.211535742644197,0.009009009009008917,-0.0044422507403751865,0.02612876541294519,001230
26,세아베스틸,2018,Q2,철강_소재,-0.15812410109905217,0.012540683591309332,-0.03234652421654527,0.00033360136635463,-0.6143476356866806,0.009009009009008917,-0.0044422507403751865,-0.15861426534196105,001430
26,고려제강,2018,Q2,철강_소재,0.0011329313854676337,0.0024328848927088753,-0.02519910389918467,0.12258929393176654,-0.5051449974761262,0.009009009009008917,-0.0044422507403751865,-0.2045370282521643,002240
26,세아제강,2018,Q2,철강_소재,-0.13813450100456334,0.01182177571637566,-0.12427824884626193,-0.19295324391103152,-0.40488660404793986,0.009009009009008917,-0.0044422507403751865,-0.0832958909385321,003030
26,현대제철,2018,Q2,철강_소재,-0.14335719262881533,0.015565171448120196,-0.020568243251665397,0.13940461605091103,0.22566672799736343,0.009009009009008917,-0.0044422507403751865,-0.08244617593621238,004020
26,삼광글라스,2018,Q2,철강_소재,-0.02481178317218577,-0.031242806711223814,-0.0010469013325774545,0.04845760040872604,1.3788559602829138,0.009009009009008917,-0.0044422507403751865,-0.17173386841433358,005090
26,POSCO,2018,Q2,철강_소재,-0.05816954280471273,0.009914699985931419,-0.06534416421703793,-0.007221450307766442,-0.25108056391857436,0.009009009009008917,-0.0044422507403751865,-0.1242611698260163,005490
26,무림P&P,2018,Q2,철강_소재,0.2833996324470188,0.06623413015280066,0.031101682892690663,0.025101668170331104,0.13958266281715992,0.009009009009008917,-0.0044422507403751865,-0.11924620668297435,009580
26,고려아연,2018,Q2,철강_소재,-0.04972482527977187,0.023980799875757075,-0.02465150873980071,0.12492272896951429,0.0925147145632006,0.009009009009008917,-0.0044422507403751865,0.16521187817907673,010130
26,풍산,2018,Q2,철강_소재,-0.15632837084991089,0.029280763659228937,-0.05025874293360311,0.07472896857936484,-0.433338747702984,0.009009009009008917,-0.0044422507403751865,-0.09189757252526141,103140
26,한국철강,2018,Q2,철강_소재,-0.19597347169858276,0.10541513588313967,-0.005513121520131059,0.3825916433121148,2.109550740426925,0.009009009009008917,-0.0044422507403751865,-0.013510360431905621,104700
