Year,Quarter,sj_div,account_nm,thstrm_dt,thstrm_amount
2024,Q1,BS,유동자산,2024.03.31 현재,"1,334,592,527,593"
2024,Q1,BS,비유동자산,2024.03.31 현재,"3,836,853,469,350"
2024,Q1,BS,자산총계,2024.03.31 현재,"5,171,445,996,943"
2024,Q1,BS,유동부채,2024.03.31 현재,"571,506,025,378"
2024,Q1,BS,비유동부채,2024.03.31 현재,"161,751,378,133"
2024,Q1,BS,부채총계,2024.03.31 현재,"733,257,403,511"
2024,Q1,BS,자본금,2024.03.31 현재,"88,589,470,000"
2024,Q1,BS,이익잉여금,2024.03.31 현재,"4,230,150,620,424"
2024,Q1,BS,자본총계,2024.03.31 현재,"4,438,188,593,432"
2024,Q1,IS,매출액,2024.01.01 ~ 2024.03.31,909688467227
2024,Q1,IS,영업이익,2024.01.01 ~ 2024.03.31,60632180223
2024,Q1,IS,법인세차감전 순이익,2024.01.01 ~ 2024.03.31,73789314374
2024,Q1,IS,당기순이익,2024.01.01 ~ 2024.03.31,59201962197
2024,Q1,IS,당기순이익(손실),2024.01.01 ~ 2024.03.31,59201962197
2024,Q1,IS,총포괄손익,2024.01.01 ~ 2024.03.31,58784490980
2024,Q2,BS,유동자산,2024.06.30 현재,"1,392,571,608,869"
2024,Q2,BS,비유동자산,2024.06.30 현재,"3,822,971,245,251"
2024,Q2,BS,자산총계,2024.06.30 현재,"5,215,542,854,120"
2024,Q2,BS,유동부채,2024.06.30 현재,"551,330,700,614"
2024,Q2,BS,비유동부채,2024.06.30 현재,"155,911,782,010"
2024,Q2,BS,부채총계,2024.06.30 현재,"707,242,482,624"
2024,Q2,BS,자본금,2024.06.30 현재,"88,589,470,000"
2024,Q2,BS,이익잉여금,2024.06.30 현재,"4,300,308,017,681"
2024,Q2,BS,자본총계,2024.06.30 현재,"4,508,300,371,496"
2024,Q2,IS,매출액,2024.01.01 ~ 2024.06.30,939855689084
2024,Q2,IS,영업이익,2024.01.01 ~ 2024.06.30,95847894987
2024,Q2,IS,법인세차감전 순이익,2024.01.01 ~ 2024.06.30,93740041113
2024,Q2,IS,당기순이익,2024.01.01 ~ 2024.06.30,70425099533
2024,Q2,IS,당기순이익(손실),2024.01.01 ~ 2024.06.30,70425099533
2024,Q2,IS,총포괄손익,2024.01.01 ~ 2024.06.30,70111778064
2024,Q3,BS,유동자산,2024.09.30 현재,"1,482,913,350,750"
2024,Q3,BS,비유동자산,2024.09.30 현재,"3,810,013,039,608"
2024,Q3,BS,자산총계,2024.09.30 현재,"5,292,926,390,358"
2024,Q3,BS,유동부채,2024.09.30 현재,"574,823,432,889"
2024,Q3,BS,비유동부채,2024.09.30 현재,"151,237,718,453"
2024,Q3,BS,부채총계,2024.09.30 현재,"726,061,151,342"
2024,Q3,BS,자본금,2024.09.30 현재,"88,589,470,000"
2024,Q3,BS,이익잉여금,2024.09.30 현재,"4,358,867,182,802"
2024,Q3,BS,자본총계,2024.09.30 현재,"4,566,865,239,016"
2024,Q3,IS,매출액,2024.01.01 ~ 2024.09.30,945331432676
2024,Q3,IS,영업이익,2024.01.01 ~ 2024.09.30,78696326057
2024,Q3,IS,법인세차감전 순이익,2024.01.01 ~ 2024.09.30,77808176815
2024,Q3,IS,당기순이익,2024.01.01 ~ 2024.09.30,58831158828
2024,Q3,IS,당기순이익(손실),2024.01.01 ~ 2024.09.30,58831158828
2024,Q3,IS,총포괄손익,2024.01.01 ~ 2024.09.30,58564867520
