code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익
18260,Samsung_SDS,IT_Service,2019,Q1,3897292394046.0,2558285796875.0,6455578190921.0,1033687731860.0,281785051252.0,1315472783112.0,38688900000.0,3941335026519.0,5140105407809.0,1247593005271.0,147843562820.0,179820053343.0,125164251674.0,125164251674.0,
35420,NAVER,IT_Service,2019,Q1,1361197714429.0,4997563441600.0,6358761156029.0,1471783972949.0,185936456596.0,1657720429545.0,5866774216644.0,4701040726484.0,912618127338.0,340687335754.0,354478137935.0,257173889072.0,257173889072.0,16481339500.0,
35720,Kakao,IT_Service,2019,Q1,1269433312536.0,5053845337299.0,6323278649835.0,1268220058988.0,289559696662.0,1557779755650.0,590593627511.0,4765498894185.0,,34653646596.0,31638701237.0,21204147088.0,21204147088.0,41748936500.0,
36570,NCSoft,IT_Service,2019,Q1,1673043151599.0,1539109550079.0,3212152701678.0,359879797209.0,393027231910.0,752907029119.0,2179366802997.0,,320780646708.0,96366307935.0,125651866050.0,101868787993.0,101868787993.0,10969511000.0,
