,name,year,quarter,sector,Relative Return,국제유가 변화율,이익잉여금 변화율,부채총계 변화율,비유동자산 변화율,법인세차감전 순이익 변화율,소비자물가지수 변화율,Label,Code
31,하이트진로,2017,Q1,생활소비재,0.008827454099233585,0.09135267010029824,-0.25177656189515707,-0.008597169855558029,-0.007518281364236601,-2.6024480453845893,0.5158067335463936,0.06856733350009801,000080
31,CJ,2017,Q1,생활소비재,0.08616570802638535,0.09135267010029824,0.0018463894371840706,0.16656770250602126,-0.0010828105331858184,7.188970547380016,0.5158067335463936,-0.13370168117654951,001040
31,대상,2017,Q1,생활소비재,-0.0014950147294593014,0.09135267010029824,0.016473056235015493,0.05147222120563555,-0.005483886583146247,3.224636729851748,0.5158067335463936,-0.06228111840310379,001680
31,오리온,2017,Q1,생활소비재,0.027978559900321075,0.09135267010029824,-0.028670908285533314,5.918292805466778,-0.7696462711201559,-0.9895774795211478,0.5158067335463936,-0.2537593226356348,001800
31,아모레G,2017,Q1,생활소비재,0.17803149956341605,0.09135267010029824,0.02424294424013973,0.8002851986185535,0.0015659719995611,-15.617224159747979,0.5158067335463936,-0.19942881632401815,002790
31,남양유업,2017,Q1,생활소비재,0.0280128958658215,0.09135267010029824,-0.0019159904912333658,-0.1598257783096766,0.013038286956811085,-1.072102776594157,0.5158067335463936,-0.22634890191258605,003920
31,농심,2017,Q1,생활소비재,0.053451118845538895,0.09135267010029824,0.002297146008824358,0.007319646682089731,2.242240442273946e-05,0.3651797999037154,0.5158067335463936,-0.032183292021169714,004370
31,빙그레,2017,Q1,생활소비재,0.010195139951130222,0.09135267010029824,-0.8245763136197568,0.1958600318018091,0.00699130009177229,-1.862904826837894,0.5158067335463936,-0.11675163638520118,005180
31,롯데칠성,2017,Q1,생활소비재,0.18490208706588046,0.09135267010029824,0.0033769115674644468,-0.006637419012840318,0.004502065575511471,-1.326962649130453,0.5158067335463936,-0.14032625642741683,005300
31,현대그린푸드,2017,Q1,생활소비재,-0.018718508791556884,0.09135267010029824,0.02567450225338752,-0.021162714716506437,0.062447386383623016,1.1445030275081756,0.5158067335463936,0.08208728133176543,005440
31,삼립식품,2017,Q1,생활소비재,-0.05828595940424144,0.09135267010029824,-0.008517521394280636,0.17757709671422384,0.012502478526171812,-0.5754667436938393,0.5158067335463936,-0.27094591828379594,005610
