,name,year,quarter,sector,Relative Return,국제유가 변화율,이익잉여금 변화율,자산총계 변화율,영업이익 변화율,자본총계 변화율,비유동부채 변화율,Label,Code
18,현대중공업,2020,Q2,중공업,-0.10709398719600921,-0.41825270948982285,-0.30573432413856183,-0.000668548930674473,1.2800424965055517,-0.0006352981595986185,0.03492897020588348,-0.02128753115102193,009540
18,삼성중공업,2020,Q2,중공업,0.0987135016172298,-0.41825270948982285,-0.6470361842916243,-0.050854610833289904,20.767417921177135,-0.14136482418131224,-0.1220603075849912,0.028380242935356813,010140
18,현대미포조선,2020,Q2,중공업,-0.14364720519614668,-0.41825270948982285,0.0009843260384028163,0.023024043521617354,-0.7209131129266959,0.0005376629084876683,-0.017738104356887496,0.07451849768252986,010620
18,한화테크윈,2020,Q2,중공업,-0.10701780883894815,-0.41825270948982285,-0.005846962450656634,0.009185710197837649,-0.5789183196387494,-0.004154089104276393,-0.003525368181718669,-0.027574805391050713,012450
18,SK텔레콤,2020,Q2,커뮤니케이션서비스,-0.09149328654056599,-0.41825270948982285,0.010230286418401402,0.007841647681435582,0.04828677348803301,0.021245817659235833,0.005635745500795375,-0.09112350064829944,017670
18,현대엘리베이,2020,Q2,중공업,-0.14953590791974805,-0.41825270948982285,-0.35160076659918926,0.042966226533569074,0.39420722977873,-0.06953112995199229,0.8407731306490338,-0.16732270547993275,017800
18,제일기획,2020,Q2,커뮤니케이션서비스,-0.182698934053911,-0.41825270948982285,0.04282272612230442,-0.03545259494108499,3.3668808186800074,0.0534889375567853,0.31131999934405075,0.0917477094704256,030000
18,KT,2020,Q2,커뮤니케이션서비스,-0.21255341282114848,-0.41825270948982285,0.015135173944606173,0.018801048798305908,-0.15654945678476662,0.013588851547930991,0.03365849231442808,-0.1158080790962274,030200
18,LG유플러스,2020,Q2,커뮤니케이션서비스,-0.39082758122796,-0.41825270948982285,0.03883745959914586,0.012220689054904144,0.0917908962536842,0.02015105759750324,0.017750083835642583,-0.10061389584324029,032640
18,두산중공업,2020,Q2,중공업,1.050722938543159,-0.41825270948982285,1.2987501888258857,-0.02895383579980637,0.21123524033787966,-0.155986755701087,-0.06751003666770783,0.9388588345627138,034020
18,SBS,2020,Q2,커뮤니케이션서비스,-0.3134700612036054,-0.41825270948982285,-0.002533632655697282,0.03538525578178864,-0.7028458420609114,-0.001389482753960558,-0.005402087370442232,-0.020235822123852776,034120
18,NAVER,2020,Q2,커뮤니케이션서비스,0.13555406293265354,-0.41825270948982285,0.036963153112405056,0.030157646270244864,0.11269897585816535,0.059294361061688505,0.022382525788191776,-0.11052653847506692,035420
18,엔씨소프트,2020,Q2,커뮤니케이션서비스,-0.08445423926742945,-0.41825270948982285,0.06294743331844876,0.024523252984096633,-0.08279544163916941,-0.1428590002239165,0.10062354302693177,-0.1357959625859567,036570
18,대우조선해양,2020,Q2,중공업,0.25360713821090547,-0.41825270948982285,0.07511358181548511,-0.005871146963725371,-0.7639753640540137,0.012929665159506998,-0.20954362386056768,-0.06754226700456907,042660
18,두산인프라코어,2020,Q2,중공업,0.4149491841642626,-0.41825270948982285,-0.05932489597852475,-0.03655918668082925,-0.6347774074573145,0.0012316948213142442,-0.1319027579807297,0.06387813093678918,042670
18,현대로템,2020,Q2,중공업,-0.31952685895543376,-0.41825270948982285,-0.27590085581414725,0.015278439405566058,1.3213243079006198,0.06616427627905552,0.02890980558511158,-0.04186255361283684,064350
18,두산엔진,2020,Q2,중공업,0.309357831015229,-0.41825270948982285,-0.023062075990689546,-0.04895417905189936,-0.32453939264963594,0.0037449553593318363,0.1952121408102161,0.012254957262128746,082740
18,한진중공업,2020,Q2,중공업,-0.11506967194471782,-0.41825270948982285,-0.052334047241468284,-0.03490360758934663,-0.9954101447569731,0.28040237927177114,-0.22467116211661786,0.13905362023490558,097230
