,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,비유동자산 변화율,자산총계 변화율,부채총계 변화율,법인세차감전 순이익 변화율,Label,Code
35,SK하이닉스,2016,Q1,정보기술,-0.07879916666053198,-0.8934995073499408,0.04892689614390866,0.003188343494119783,0.0023240223962754936,-0.8940843129976158,0.24876142612831736,000660
35,LG,2016,Q1,정보기술,0.005402126438243237,-0.18009915730743098,0.00010678800967456326,0.03768520599627356,0.9109151007796501,-0.2365576365206884,-0.09291841151364286,003550
35,한솔테크닉스,2016,Q1,정보기술,0.10386480439965097,-1.0968929724640832,-0.012102868319031734,0.04191434291429208,0.08991925555861235,-1.0669233714494548,-0.20771220901654622,004710
35,삼성전자,2016,Q1,정보기술,-0.017679399203446352,-0.7970768239066504,-0.03077684254038604,-0.018112627695284655,0.017217158156347168,-0.7784457705518095,0.16571017441977415,005930
35,삼성SDI,2016,Q1,정보기술,0.09052292737625928,4.774090626767711,-0.09065998911413464,-0.047358570726510285,0.09579731800491231,3.1942603965510727,0.060029098997607486,006400
35,대덕전자,2016,Q1,정보기술,-0.09651896158373863,-0.8887191987215326,0.25310809257237743,0.006398515384439474,0.13811721548675382,-0.8968848929687514,0.013435611939242587,008060
35,삼성전기,2016,Q1,정보기술,-0.0993868630074062,-1.4454229492294253,0.0039046385619108115,-0.009296538019110456,0.02600144688266215,-1.2710563284752445,0.10466947210532883,009150
35,LG이노텍,2016,Q1,정보기술,-0.043700186495597565,-1.5192412444605359,-0.006512849521508546,-0.017520587469946336,-0.011332457930052109,-1.5309068962420627,0.12340516692821714,011070
35,삼성에스디에스,2016,Q1,정보기술,0.05162001679427888,-0.7414096202788931,-0.04191336826977432,-0.029511231426023854,-0.20273206238246666,-0.7488643367031431,-0.07856648295085093,018260
35,일진머티리얼즈,2016,Q1,정보기술,0.2699963456068626,-1.060145808019441,0.0037923935420955956,-0.01368080023699525,-0.10943396226415092,-1.0757257359641457,0.07825357356313102,020150
35,신도리코,2016,Q1,정보기술,-0.04616794882176696,-0.41238962029295856,0.016532676614405384,0.017390234472539845,0.41314496164755665,-0.4714356169151964,0.03321001264586938,029530
35,LG디스플레이,2016,Q1,정보기술,-0.02260374518174348,-1.055880496876191,-0.0028363398870462353,-0.042469993483152724,-0.07028074193428524,-1.0816527395301052,0.1781595304821888,034220
35,SK,2016,Q1,정보기술,-0.0001983175853244451,-0.9005401761602346,0.042851141878421206,0.05810925805329292,0.10463467817389316,-0.9040213144957245,-0.047060257624400886,034730
35,한미반도체,2016,Q1,정보기술,0.13236126080022617,-0.39074630578150427,-0.03691192793837483,0.027841508344518484,0.4947190008791429,-0.3907453286232927,-0.1682479590873317,042700
35,LG전자,2016,Q1,정보기술,-0.11220968236911849,-1.0820033779321547,-0.0004573928267916916,0.03012184737907808,0.05359475801943603,-1.111397433630649,-0.09335283272738491,066570
