,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,부채총계 변화율,비유동자산 변화율,법인세차감전 순이익 변화율,영업이익 변화율,유동자산 변화율,Label,Code
8,SK하이닉스,2022,Q4,정보기술,-0.06558485737004023,-3.278717069840443,0.021018237930078287,0.06723750747427237,-3.023846281112295,-1.8185942895074783,-0.3326961011389087,-0.0008162829245996137,000660
8,LG,2022,Q4,정보기술,0.0874591078198696,-0.6898808542216359,0.21001201495045918,0.0020151782755530867,0.025785239827764705,-0.4321397553738149,0.04540308048966879,-0.021585208806486254,003550
8,한솔테크닉스,2022,Q4,정보기술,0.02803631937489633,-0.7870623346293817,-0.016170718893873337,-0.025373335614697345,-0.7349862482290458,-0.26725114862371313,0.05617474001082301,0.17818140706246596,004710
8,삼성전자,2022,Q4,정보기술,-0.014620187333024896,-0.33425003974965195,-0.061422858134908664,0.07454571490714423,-0.5088010716554949,-1.0655415753766375,-0.20135581665690994,0.03281908572503358,005930
8,삼성SDI,2022,Q4,정보기술,0.050360961251584783,-0.7499956202601066,-0.0468673921691809,0.031071317896920414,-0.7782406131133637,-0.45403943483328857,-0.07962278011669066,-0.1574954555911215,006400
8,대덕전자,2022,Q4,정보기술,0.07393474034507283,-37.2071987801502,0.4507713911094251,-0.030712503398415136,-25.03214511921733,-4.156502403649226,-0.016092496435376358,-0.07024964463828759,008060
8,삼성전기,2022,Q4,정보기술,0.08820273536102646,-1.385811354236088,0.03599675577405992,0.08482870719992563,-1.3790627692671398,-1.1573411605542996,-0.0870544098092556,-0.11883706181507349,009150
8,LG이노텍,2022,Q4,정보기술,-0.07709220687362783,-0.7850746271404347,-0.15417785324219557,0.11742938131892111,-0.7890182282917684,-0.7443434684104491,-0.25526464578666863,-0.03873947684560829,011070
8,삼성에스디에스,2022,Q4,정보기술,-0.016487149282385566,-0.8538137339564884,-0.004230289685309363,0.12288799576694709,-0.7212549507537389,0.6179454715396464,-0.06544977047812461,-0.07979013098223055,018260
8,일진머티리얼즈,2022,Q4,정보기술,0.04704875107561876,-2.174849170167634,-0.059955297533273666,0.012723772392298827,-2.4075035958285156,-0.9881905605650722,-0.07122697768288266,-0.1345877356486627,020150
8,신도리코,2022,Q4,정보기술,0.024462058572148785,-1.8511510549512897,-0.31676215739831304,0.0033219622269480276,-1.8779508577180892,-7.3227776958794495,-0.06958989270086968,0.02003855357259586,029530
8,LG디스플레이,2022,Q4,정보기술,0.00046341436467545183,0.4375297948575998,-0.03456508696409921,-0.012952608375257912,-0.2636250780172975,0.09558081328526336,-0.25378981165382664,-0.03526271081562244,034220
8,SK,2022,Q4,정보기술,-0.23456398079473367,-2.3024982394156055,-0.008232724087542387,-0.0005076987794894183,-3.1552343944809245,3.2319862547875573,-0.10765631718407787,-0.02972122647696558,034730
8,한미반도체,2022,Q4,정보기술,0.18264724034507282,-1.015820521387672,-0.19520097589828844,0.05981099260102196,-0.9260951790379344,-0.5384194986359941,-0.18314355939130966,0.3726371736468788,042700
8,LG전자,2022,Q4,정보기술,0.28720289175600294,-1.1316065692796995,-0.038505770640246295,0.036385487845955744,-0.5232338064937183,1.8009425815103004,-0.15337591384872462,-0.09705128688246607,066570
