,name,year,quarter,sector,Relative Return,Relative Return,비유동자산 변화율,법인세차감전 순이익 변화율,당기순이익(손실) 변화율,유동부채 변화율,매출액 변화율,Label,Code
12,SK하이닉스,2021,Q4,정보기술,0.2123586794240616,0.2123586794240616,0.14885338640131773,0.00888960146667106,-0.01542015041391076,0.3375701186116269,0.032584508096590525,-0.03328729167223377,000660
12,LG,2021,Q4,정보기술,-0.08444885092536092,-0.08444885092536092,-0.029044838128328143,-2.6768356990121234,-3.2065165594472242,0.2551674086893414,-0.16144863208232607,0.0503284681564553,003550
12,한솔테크닉스,2021,Q4,정보기술,0.13533450785547407,0.13533450785547407,-0.01091754445728188,-1.7090069413571154,-1.5905204856012798,0.11834924575731764,0.09464205097360145,0.01434855373439544,004710
12,삼성전자,2021,Q4,정보기술,0.08021174509408492,0.08021174509408492,0.060486715295978044,0.004076807637010349,0.012196867219738339,0.06995021444246907,0.020290445374698374,-0.025904092146787114,005930
12,삼성SDI,2021,Q4,정보기술,-0.22333172265055734,-0.22333172265055734,-0.00907139797483869,-0.2784449285462629,-0.18774379466272206,0.18727453325884502,0.13422557638672883,0.19983613894332136,006400
12,대덕전자,2021,Q4,정보기술,0.03722694506725424,0.03722694506725424,0.001559051595920069,-1.6478090123832656,-1.9651273269902614,0.4094264007723065,4.867501539985821,0.07747972955829592,008060
12,삼성전기,2021,Q4,정보기술,0.03965269582859916,0.03965269582859916,0.023609836041112997,-0.22023042034434137,-0.23122543166210152,-0.2018124591441538,0.10088163373969561,0.05998515680479504,009150
12,LG이노텍,2021,Q4,정보기술,0.3589804087982713,0.3589804087982713,0.02523723988632498,-0.1721399840261929,-0.16934635053539948,-0.11874946198983494,0.5060473862843013,0.10020116879601272,011070
12,삼성에스디에스,2021,Q4,정보기술,-0.013977907043326895,-0.013977907043326895,0.04682723741585959,-0.6786330474434106,-0.7067419291562034,0.09585407903977461,0.0819742825893488,0.0778965107817228,018260
12,일진머티리얼즈,2021,Q4,정보기술,-0.15001491424310207,-0.15001491424310207,-0.04343372386395061,-0.6495267456186447,-0.6504622255719323,0.32079858785095827,-0.23465415811655121,-0.03480063600938476,020150
12,신도리코,2021,Q4,정보기술,0.06914303230284338,0.06914303230284338,0.008417855113865835,-0.9466773223189855,-0.9137677209962017,-0.21218721873390334,-0.13407692279439287,0.0295041623893744,029530
12,LG디스플레이,2021,Q4,정보기술,0.007818146385124333,0.007818146385124333,0.03264530365001428,-1.2692517689824365,-0.4598505248791491,0.020679422149238125,0.1670554839575069,-0.042754311285258195,034220
12,SK,2021,Q4,정보기술,0.05434460510735892,0.05434460510735892,0.05639882406120078,3.9096048677144406,2.7257622220911717,0.3349874980964045,0.23760868298556925,0.07974023286233765,034730
12,한미반도체,2021,Q4,정보기술,0.08164006673679003,0.08164006673679003,0.03770855420800601,-0.006023176094695271,-0.017468512226769706,-0.09941435143151012,0.11550884390122618,-0.126959427185354,042700
12,LG전자,2021,Q4,정보기술,0.1116929810362218,0.1116929810362218,-0.04022652701674079,-8.487778715198264,-2.025677496631232,0.07401507286602604,-0.09253183778049434,-0.11011471494634989,066570
