Variable,VIF
const,1.1823969355582482
F_유동자산 변화율,2.146503033454378
F_비유동자산 변화율,2.0251931619962886
F_자산총계 변화율,2.2817700007698005
F_비유동부채 변화율,1.0177603158554616
F_부채총계 변화율,1.4650548935765513
F_이익잉여금 변화율,1.1375882442941299
F_자본총계 변화율,2.5018511300061426
F_매출액 변화율,1.387005732608303
F_영업이익 변화율,1.141133245931799
F_법인세차감전 순이익 변화율,1.1819235892457998
F_당기순이익(손실) 변화율,1.3580588241270926
M_소비자물가지수 변화율,1.3187494020984942
M_금리 변화율,2.6844439536430715
M_수출액 변화율,4.599264329849868
M_실업률 변화율,2.038277358982187
M_국제유가 변화율,3.0769603106194485
