,name,year,quarter,sector,Relative Return,이익잉여금 변화율,매출액 변화율,주택가격 변화율,수출액 변화율,기초 소유주식 지분율 변화율,발행금액 변화율,Label,Code
31,SK하이닉스,2017,Q1,정보기술,0.13530042735722794,0.09016022134274859,0.1637093570661865,-0.010596801394200384,0.057487026215818915,0.0,0.0,-0.017953958417580237,000660
31,LG,2017,Q1,정보기술,-0.03586645834080273,0.07493718389750992,3.272489758381406,-0.010596801394200384,0.057487026215818915,0.0,0.0,0.0728345059379617,003550
31,한솔테크닉스,2017,Q1,정보기술,-0.12902590442213896,-1.052990081008598,0.05151942155755607,-0.010596801394200384,0.057487026215818915,0.0,0.0,-0.04798884739643876,004710
31,삼성전자,2017,Q1,정보기술,0.038136403063849696,0.007271279858791724,-0.020754157965270248,-0.010596801394200384,0.057487026215818915,0.0,0.0,-0.035921684273371696,005930
31,삼성SDI,2017,Q1,정보기술,0.05118822344474085,-0.02351138877363146,0.11654233181841689,-0.010596801394200384,0.057487026215818915,0.0,0.0,0.08697602830662833,006400
31,대덕전자,2017,Q1,정보기술,-0.05961333565303157,-0.6329784135270975,-0.1294306967774218,-0.010596801394200384,0.057487026215818915,0.0,0.05748548282634025,0.1969895920239354,008060
31,삼성전기,2017,Q1,정보기술,0.060985497586756844,0.05743771549755583,0.2038226735644355,-0.010596801394200384,0.057487026215818915,0.0,0.0,0.15996759832559693,009150
31,LG이노텍,2017,Q1,정보기술,-0.1041065943186858,0.13521310414847543,-0.20253008246179294,-0.010596801394200384,0.057487026215818915,0.0,0.0,0.20028424044636273,011070
31,삼성에스디에스,2017,Q1,정보기술,0.04735730161784516,0.003245916326969578,-0.036310731470997615,-0.010596801394200384,0.057487026215818915,0.0,0.0,0.16750537547571698,018260
31,일진머티리얼즈,2017,Q1,정보기술,0.14253772175128712,0.19051711789141956,0.161391073567013,-0.010596801394200384,0.057487026215818915,0.0,0.0,0.7568403036741871,020150
31,신도리코,2017,Q1,정보기술,0.014488387760167247,-0.015470639579250989,0.04203128049754712,-0.010596801394200384,0.057487026215818915,0.0,0.0,0.07555076496661861,029530
31,LG디스플레이,2017,Q1,정보기술,-0.053652572618089776,0.04046512280581882,-0.0978995766449644,-0.010596801394200384,0.057487026215818915,0.0,0.0,0.016931343947018694,034220
31,SK,2017,Q1,정보기술,0.007820379869875521,0.05299863306485131,-0.07636058230683096,-0.010596801394200384,0.057487026215818915,0.0,0.0,0.06368776918853691,034730
31,한미반도체,2017,Q1,정보기술,0.12138398787809404,-0.044777531672532955,-0.03528275647372492,-0.010596801394200384,0.057487026215818915,0.0,0.0,-0.05422343559557907,042700
31,LG전자,2017,Q1,정보기술,0.13136100855079683,0.04794795419959663,0.12026801288676725,-0.010596801394200384,0.057487026215818915,0.0,0.0,-0.11669096039191877,066570
