,Feature,Average_Importance
0,F_당기순이익(손실) 변화율,0.2529028594827403
3,F_비유동자산 변화율,0.19524402832034188
4,F_자산총계 변화율,0.19062934767142317
2,F_부채총계 변화율,0.18228487485001582
1,F_법인세차감전 순이익 변화율,0.1789388896754789
