,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,비유동자산 변화율,법인세차감전 순이익 변화율,부채총계 변화율,자산총계 변화율,Label,Code
7,SK하이닉스,2023,Q1,정보기술,-0.0008162829245996137,-0.7330945985904067,0.02111640788017044,-0.611503620130966,0.09108039845611904,0.015295222616700688,0.2757811796600229,000660
7,LG,2023,Q1,정보기술,-0.021585208806486254,17.18810861112034,-0.0030955713945300944,3.738615101768544,1.3110939352347213,0.05109626207583573,-0.11107972284197581,003550
7,한솔테크닉스,2023,Q1,정보기술,0.17818140706246596,1.4783021582668923,-0.007377268671741155,1.1148401795494212,0.03595677479224246,0.03129638616118102,-0.057082373844836325,004710
7,삼성전자,2023,Q1,정보기술,0.03281908572503358,0.08650163611701855,0.027071124456930162,0.37016739150801126,0.25212037548522903,0.05508470636862173,0.0035359450230512124,005930
7,삼성SDI,2023,Q1,정보기술,-0.1574954555911215,2.6037668526295272,0.02016483799240487,2.1761352974467014,0.10637811108738182,0.05679824569154235,-0.0990541303759573,006400
7,대덕전자,2023,Q1,정보기술,-0.07024964463828759,-1.7279661929781285,0.05124464971143383,-1.7721271656262974,5.493360365127135,0.02042908665677956,-0.020139870633995475,008060
7,삼성전기,2023,Q1,정보기술,-0.11883706181507349,-1.171910666801325,0.009651510921475204,-1.1421405673979055,0.16426978710065954,0.028584731915548334,0.06783699676991814,009150
7,LG이노텍,2023,Q1,정보기술,-0.03873947684560829,0.07696487640855221,0.02017679313790044,-0.0719373654170149,-0.07815157753015467,-0.05261481402833823,-0.13046491604285593,011070
7,삼성에스디에스,2023,Q1,정보기술,-0.07979013098223055,1.8297271101798325,-0.007518134971503998,2.72238518594831,0.018304103536636696,-0.014653301236014049,0.115007173898046,018260
7,일진머티리얼즈,2023,Q1,정보기술,-0.1345877356486627,-0.08944617298598456,-0.04398175663048931,-0.5692600459062714,-0.42624465108433207,-0.1290231337797657,-0.13558241959374598,020150
7,신도리코,2023,Q1,정보기술,0.02003855357259586,-2.1165557567411692,0.011127066627836246,-2.089047022823376,0.2780900048873185,0.024182449427271546,-0.08558121273685226,029530
7,LG디스플레이,2023,Q1,정보기술,-0.03526271081562244,-0.06012068129774184,0.014362473849923507,0.6986667809195244,0.055549418949636165,-0.006469419586883851,-0.09839049844690133,034220
7,SK,2023,Q1,정보기술,-0.02972122647696558,-9.917697622844155,0.007716413695713298,-5.7749099726664,-0.038328885642788024,0.011226818591578036,-0.1270397541953937,034730
7,한미반도체,2023,Q1,정보기술,0.3726371736468788,-230.68911424677586,0.7634980613626727,48.1686671733182,0.40079043406378223,0.32174449342735767,1.307790103929623,042700
7,LG전자,2023,Q1,정보기술,-0.09705128688246607,41.97613336531543,0.0274635714009015,-8.539671811368535,0.0704737118491312,0.06333259429047944,-0.1177287978467354,066570
