,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,비유동자산 변화율,법인세차감전 순이익 변화율,자산총계 변화율,이익잉여금 변화율,매출액 변화율,Label,Code
19,SK하이닉스,2020,Q3,정보기술,0.08288061989992215,-0.2619947874216846,0.006875559435074008,-0.30050809094921904,0.0037314043372038697,0.02109478239496454,-0.04157585555511434,0.26734508252159245,000660
19,LG,2020,Q3,정보기술,-0.20502896673582985,-0.9318295668946661,-0.0019445916017751808,-0.9355239315171208,-0.006779640550589772,0.006300249473837116,0.08474823745358973,-0.050044004966378786,003550
19,한솔테크닉스,2020,Q3,정보기술,-0.10629037691083981,-1.563262600231953,-0.030191119222303886,-1.3493195066451429,0.010932823223384958,-0.15598741284419293,0.14649821058088253,-0.08697748814530831,004710
19,삼성전자,2020,Q3,정보기술,0.05408192697705689,0.4962335058844638,0.008416021463130807,0.47864390060594664,0.046240142675942675,0.01653423604249271,0.2611098535514629,0.050223747016706455,005930
19,삼성SDI,2020,Q3,정보기술,0.06431956717818749,0.2677602822556264,-0.0018557771290109715,0.06257285331539952,0.0007819434762152966,0.022114227985263746,0.11568988946397041,0.07385475797204433,006400
19,대덕전자,2020,Q3,정보기술,-0.07005600405742587,-0.9610063290540805,0.32894695040974686,0.6179821671757217,0.1478146306102972,0.024948918504670736,0.6389524977039931,-0.1644627854910335,008060
19,삼성전기,2020,Q3,정보기술,0.06296690054866524,1.756832444064948,-0.01748363257651664,1.3083856199320678,0.05079490709396639,0.5750898325211224,0.2208042577247593,0.005219701709263086,009150
19,LG이노텍,2020,Q3,정보기술,-0.10163931150280228,-0.39360430575516625,0.01821270964040722,-0.5378574853405753,0.1216711994596178,0.01655402419327734,0.4398292161480828,0.11183088987384932,011070
19,삼성에스디에스,2020,Q3,정보기술,-0.0003826296009590835,0.12314625195108153,-0.0038998013193763947,0.09178600536031256,0.0145557523841493,0.025382383089988636,0.016150821528038817,-0.1832734439945295,018260
19,일진머티리얼즈,2020,Q3,정보기술,-0.18079383367203034,-0.6501592356687897,0.002737185335866199,-0.6397801354978908,0.004107696273250916,0.014264751714107682,0.03277380416962883,0.15774264550482742,020150
19,신도리코,2020,Q3,정보기술,0.06173524317610022,-1.358401991898229,0.00025865355994536543,-1.3568384419658577,0.006137110269135659,0.00301608661060615,-0.0743705772939196,-0.08008285675687846,029530
19,LG디스플레이,2020,Q3,정보기술,0.07343187943107474,-0.846896624306049,-0.018254182955126486,-0.7394788194031434,0.004626587797018189,-0.012111647279408055,0.3226277154378927,0.28416500384730753,034220
19,SK,2020,Q3,정보기술,-0.16292188844299926,11.371931336906412,-0.006729908009219798,2.0217528679758896,0.01540753397433714,0.056709353260192774,0.9837653993800093,-0.051170137875379884,034730
19,한미반도체,2020,Q3,정보기술,-0.013546813718674538,0.2972192794773545,-0.06664069584033794,0.27477928148141073,0.0578520106602145,0.1002288273647618,0.2615605649783004,0.9850754419319607,042700
19,LG전자,2020,Q3,정보기술,-0.05616821111179342,0.27178535066179554,-0.002702631721994808,0.27525296943999567,0.08076052521566313,0.05273994769876844,0.25421044964743955,0.5608812614675736,066570
