,code,name,sector,year,quarter,F_유동자산 변화율,F_비유동자산 변화율,F_자산총계 변화율,F_유동부채 변화율,F_비유동부채 변화율,F_부채총계 변화율,F_이익잉여금 변화율,F_자본총계 변화율,F_매출액 변화율,F_영업이익 변화율,F_법인세차감전 순이익 변화율,F_당기순이익 변화율,F_당기순이익(손실) 변화율,F_자본금 변화율,M_소비자물가지수 변화율,M_환율 변화율,M_GDP 변화율,M_금리 변화율,M_수출액 변화율,M_실업률 변화율,M_국제유가 변화율,M_주택가격 변화율,P_보유 주식 수 변화율,P_1인평균급여 변화율,P_기초 소유 주식 수 변화율,P_기초 소유주식 지분율 변화율,P_기말 소유주식 수 변화율,P_기말 소유주식 지분율 변화율,P_발행할 주식 총수 변화율,P_현재까지 발행한 주식 총수 변화율,P_현재까지 감소한 주식의 총수 변화율,P_발행주식의 총수 변화율,P_자기주식수 변화율,P_유통주식수 변화율,P_증자주식수 변화율,P_주식액면가액 변화율,P_발행금액 변화율,Relative Return,Label,Code
0,660,SK하이닉스,정보기술,2024,Q4,0.15608928718009119,0.07879969808073262,0.09654466426501496,0.1710324246205044,0.04532652042738894,0.10762012276807531,0.09888062756825633,0.0902410086796408,0.1441796083321003,0.1625158952314707,0.21727524620519434,0.21171329820569929,0.21171329820569929,0.0,0.6400708228470882,-0.09680521864040725,-0.045219213807045966,0.011356958604392231,-0.09714582757076573,0.07043953808272518,0.1030008401032736,0.03521238017727768,-0.05848077223351289,-0.021871018627698025,0.6035098609824083,0.0,0.603478585612991,0.6038669104315717,-0.05994447907307665,-0.05994447907307632,-0.05994447907307654,-0.05994447907307687,0.17044798398933114,-0.07329106224989168,0.0025721745142406327,-0.05994447907307676,-0.054200364201379414,0.02398203218323508,0.02398203218323508,000660
1,660,SK하이닉스,정보기술,2024,Q3,0.09232457045136844,0.02785444477482013,0.04197389643660232,0.0846504412021456,-0.11181680755630952,-0.024230686680102642,0.09147430673700385,0.08382739687598484,0.08672057855736326,0.2582407687440518,0.3096333659206143,0.2981108288074521,0.2981108288074521,0.0,-0.2377021247854798,-0.011538677997511404,0.0009958598205548341,-0.11983510689291532,-0.0051857654838392,-0.09523809523809512,-0.05674568795778523,-0.003275944768183603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08992808521243906,0.02398203218323508,000660
2,660,SK하이닉스,정보기술,2024,Q2,0.1924429838862669,0.004985846139632155,0.040820183541773414,0.07784301434386709,-0.05209893716712133,0.0017396777168101618,0.07474399103729734,0.06713922790504001,0.30875638193665944,0.7073417738972172,0.8467944588810083,0.8403869145759377,0.8403869145759377,0.0,-0.110334699467731,0.030762850791552276,-0.0022763832415567675,0.02546205269366908,0.05808429975732232,-3.3306690738754696e-16,0.01979840167061564,-0.0052108762043113765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056832299734496106,0.08992808521243906,000660
3,660,SK하이닉스,정보기술,2024,Q1,0.017942458530647576,0.016744415765374887,0.01697321575665689,-0.026939040398898828,0.002079855812495701,-0.010150928682304272,0.039282082296707044,0.03609357235903188,0.06867721615939582,5.606328350051807,-2.498817908099369,-2.986111238152385,-2.986111238152385,0.0,-0.11265192787422551,0.006272868624748851,0.013001130867663191,-0.12136131985833976,0.023680694141577696,-0.011764705882352788,-0.008599753155233536,-0.008640858156891418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11249804517776539,0.0056832299734496106,000660
4,660,SK하이닉스,정보기술,2023,Q4,0.010451284536612926,-0.018662999470025365,-0.013233135193769674,0.04042184962622564,-0.02657288232389543,0.0005826025611705976,-0.0258656472611265,-0.02274507169260276,0.2579098194766316,-1.5668166956871927,0.609177266740204,0.478068770085432,0.478068770085432,0.0,0.10965773361610065,0.0065457565880464585,0.004550077278224318,0.00757180156657955,0.05902989272759007,0.0625,-0.03388722209400741,-0.006672792330014943,-0.03680099993261399,-0.09592506654457134,0.00014299326629840792,0.0,5.24069439022945e-05,0.0,0.0,0.0,0.0,0.0,-0.012084088936360815,0.0007090936705338446,0.0,0.0,0.0,0.12280654486687421,0.11249804517776539,000660
5,660,SK하이닉스,정보기술,2023,Q3,0.026022572535492783,0.01333557454635792,0.015677865297970772,0.10412914957475894,0.04339359761260497,0.0671883444492627,-0.018715603110758483,-0.0169890213724585,0.35146387901434273,-0.6239092728615194,-0.5813158161396179,-0.5667068920066782,-0.5667068920066782,0.0,-0.028955398190522508,-0.0021566395604083466,0.007533279773421997,0.11207897793263655,0.001535787938867772,0.03896103896103886,0.106533304958502,-0.015260350475235884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19518738408239644,0.12280654486687421,000660
6,660,SK하이닉스,정보기술,2023,Q2,-0.012935219960019673,-0.003138212958447406,-0.0049615609093216495,0.1580799919050766,-0.020279968690568362,0.04263118131691046,-0.03635736077997298,-0.0329557895502387,0.2885048301160691,-0.09512765199484652,0.16110563560652746,0.3169558304254947,0.3169558304254947,0.0,-0.3075171004307199,0.031973087460080984,0.005514657406169521,0.0022310602386272915,0.03581912791841346,-0.04938271604938271,-0.03519218134034163,-0.026815825413194383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2757811796600229,0.19518738408239644,000660
7,660,SK하이닉스,정보기술,2023,Q1,-0.009400535545107558,0.02111640788017044,0.015295222616700688,-0.1767914416013645,0.32624970959348776,0.09108039845611904,-0.027693036304970775,-0.024557408560389682,-0.18484023622613488,0.20816527764215387,-0.611503620130966,-0.7330945985904067,-0.7330945985904067,0.0,-0.11353477832962133,-0.06294645789640896,0.004395562960080701,-0.12061758935426237,-0.06497623491867566,-0.05813953488372092,-0.08337411073888668,-0.041374122157736615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008162829245996137,0.2757811796600229,000660
8,660,SK하이닉스,정보기술,2022,Q4,-0.3326961011389087,0.06723750747427237,-0.04225502714156815,0.11777337060469639,-0.05109215731985939,0.021018237930078287,-0.07954878391225362,-0.07248113548884094,-0.43736141237453374,-1.8185942895074783,-3.023846281112295,-3.278717069840443,-3.278717069840443,0.0,-0.11456608043309557,0.01431559495807777,-0.004520310424048435,0.11445954938682568,-0.08414558489005308,0.023809523809523725,-0.12070563315019511,-0.021797350308607855,-0.028594819940448435,0.1632521338009416,-0.08331670683628356,-1.0,-0.08320225617255972,-0.08333333333333326,0.0,0.0,0.0,0.0,-0.0007519991980524665,4.416243023563915e-05,0.0,0.0,0.0,-0.06558485737004023,-0.0008162829245996137,000660
9,660,SK하이닉스,정보기술,2022,Q3,0.4612830011661704,-0.050520866822916344,0.05017906986049514,0.07764549780850194,0.10693399417035399,0.09423444185320529,0.033397760961612066,0.030361960859489834,-0.19942208186377564,-0.46007137224326233,-0.3584133875136708,-0.3560414352028809,-0.3560414352028809,0.0,0.09093510066157107,0.06411636151380273,0.003895125891120621,0.0359464250541639,0.02779144307122383,-0.023255813953488302,-0.11299650647329962,-0.011159865189991569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018244489357871683,-0.06558485737004023,000660
