,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,비유동자산 변화율,법인세차감전 순이익 변화율,자산총계 변화율,이익잉여금 변화율,매출액 변화율,Label,Code
6,SK하이닉스,2023,Q4,정보기술,0.05821620313011781,0.478068770085432,-0.018662999470025365,0.609177266740204,-0.013233135193769674,-0.0258656472611265,0.2579098194766316,0.11877857579055068,000660
6,LG,2023,Q4,정보기술,-0.03798148454289961,-0.3948141580049378,0.0003125049245586986,-0.5174256154659417,0.0028845288908674327,0.004863011933422534,-0.18148366390010284,-0.10745274930297537,003550
6,한솔테크닉스,2023,Q4,정보기술,-0.11890446947630566,-0.6286827223332863,0.03079828020022357,-0.7433879500883459,-0.016224451252949357,0.044343558128240534,-0.2924388837234564,-0.0643564228634679,004710
6,삼성전자,2023,Q4,정보기술,-0.03096984951534297,-0.8811958861498015,0.03943912654110959,-1.282469621700871,0.008037075647482794,-0.005546898579458781,-0.07099178253697103,-0.01425576275226245,005930
6,삼성SDI,2023,Q4,정보기술,-0.051933211622909835,-0.42081305506455047,0.0642834329541706,-0.6202234827668851,0.010028244208664994,0.006759084296366291,-0.0067606872154191144,-0.04126699591138176,006400
6,대덕전자,2023,Q4,정보기술,-0.04686844106463875,0.9589313555831422,0.002418723321030436,0.7570431243822431,0.007283421938653056,0.2396397579850591,0.2767430892583238,-0.06390403115053085,008060
6,삼성전기,2023,Q4,정보기술,-0.02797572583285067,-0.49225643424786225,0.011203616105795122,-0.7590157635846435,-0.007929632211315374,0.1123729718554074,-0.0770085533471101,0.007101211386190702,009150
6,LG이노텍,2023,Q4,정보기술,-0.3177951491391729,1.1906281572247917,0.005566681625694736,1.1645855697947156,-0.005069093107403666,0.08029983591348588,0.6049595488304413,0.24839786329145644,011070
6,삼성에스디에스,2023,Q4,정보기술,-0.024721362026838056,0.567577840365415,0.04672856078200427,0.665429515195135,0.04057159140802291,0.027207946491899504,0.08335691900127218,0.005846949766180406,018260
6,일진머티리얼즈,2023,Q4,정보기술,-0.06709687122533095,-4.362681036993159,0.056910703244475336,-3.8364477321815547,0.003809673831840499,0.12723219911099615,0.17882456366656663,0.058735780588118104,020150
6,신도리코,2023,Q4,정보기술,0.15711799961332734,-0.7919481995677766,-0.37225732732046324,-0.8877915730824277,-0.007384606281872874,0.005502825953829671,-0.10154804559727826,-0.08216041907155291,029530
6,LG디스플레이,2023,Q4,정보기술,-0.22186307161050622,-0.7993120374730631,-0.01820382752773797,-0.8091492122159155,-0.016947794144340778,-0.04544835976718975,0.46117175234772545,-0.04083250579242012,034220
6,SK,2023,Q4,정보기술,0.04783632084012317,-13.085082697201019,-0.016107366458137595,-10.898210980876003,-0.01794792108268206,-0.03756057612419239,0.2269096655391727,-0.1309049812359748,034730
6,한미반도체,2023,Q4,정보기술,0.48284408037618454,4.309675250010829,0.10351178011007844,4.289152798610195,0.18628961848509573,0.09475065432878926,0.681147007689809,0.48816991356931294,042700
6,LG전자,2023,Q4,정보기술,-0.18293362050207812,-2.338788079481926,0.0030503035823838953,-2.331445598253262,-0.02799712632372886,-0.13002227470117556,-0.08899368129322027,0.010509935467044016,066570
