,name,year,quarter,sector,Relative Return,비유동자산 변화율,법인세차감전 순이익 변화율,자산총계 변화율,자본총계 변화율,영업이익 변화율,비유동부채 변화율,Label,Code
16,SK하이닉스,2020,Q4,정보기술,0.26653959326144916,0.06005543405035185,0.761105695772545,0.04237150097221942,0.030202426449112085,-0.29788145754138984,0.13423392294601877,-0.16196221259107016,000660
16,LG,2020,Q4,정보기술,-0.01601924541210939,-0.08908800268078254,-2.067854979666003,-0.011416992606603893,-0.0028844104643863666,-0.8043066191523239,0.26529767326322773,0.38867039231396616,003550
16,한솔테크닉스,2020,Q4,정보기술,-0.11860663446577882,0.028877392415464387,-1.0439789596456526,-0.023003496700028103,0.01027470656591456,-2.244450199550777,0.7190831332762411,-0.07232028588327229,004710
16,삼성전자,2020,Q4,정보기술,0.06305190930787594,0.05111389762605523,-0.16894157072562577,0.006034275793535437,0.00952205242915305,-0.17538112799960204,-0.059407846666093,-0.04749286885392753,005930
16,삼성SDI,2020,Q4,정보기술,0.10294257651016456,0.029823187810911422,-0.755763822058605,0.03005636181756266,0.02162737804412118,-0.812166236623673,-0.005459394367709258,-0.051867556383400376,006400
16,대덕전자,2020,Q4,정보기술,-0.17938581097556472,0.05000964465771918,9.532403697321069,0.03474030927047811,0.04315339825331144,-0.06436706628019628,-0.10848782237505206,0.03994710777153376,008060
16,삼성전기,2020,Q4,정보기술,0.0018666342269697822,-0.018379975593794007,0.7789471722205954,0.016887469267182764,0.039678304448719226,0.9518892497639342,-0.3148412017631155,-0.1447299000532229,009150
16,LG이노텍,2020,Q4,정보기술,0.06013372731749822,-0.13311739804842881,13.451537751176039,-0.034481303956367615,0.044565716189959526,4.404041934416762,-0.16777438996208582,-0.017628415396143716,011070
16,삼성에스디에스,2020,Q4,정보기술,-0.1676362929393151,0.0021462724819958368,0.28025523363129645,0.01901071007266042,0.013801307158128884,0.37527842437787085,0.03515577126428027,-0.0688556862167449,018260
16,일진머티리얼즈,2020,Q4,정보기술,0.15774264550482742,-0.03886485680190932,-2.8374733853797016,0.01730084698332157,0.0042758480775877405,0.13137254901960782,0.1258179245839146,0.013472384297807137,020150
16,신도리코,2020,Q4,정보기술,-0.08794918269014285,0.010108323749784764,-4.343776013762584,-0.00190904366199518,-0.0011800232351288908,25.404829522828575,-0.4188018138502021,0.022992224041519016,029530
16,LG디스플레이,2020,Q4,정보기술,0.2872323621598828,0.014564022402712151,-1.3509196246228645,0.010674695285114222,0.04737382868364981,10.977688888888888,-0.09636627453878122,-0.037279300096139764,034220
16,SK,2020,Q4,정보기술,-0.05956013232373533,0.008083405486177586,-0.956701547800022,0.013157426305653974,0.0007468036661393285,-0.9448506567498719,0.039474456555266935,0.10737514552554797,034730
16,한미반도체,2020,Q4,정보기술,0.577523842804617,-0.10953890811371814,-0.49933537227090796,0.06826598954105223,0.028540382142467013,-0.4515877699667753,-0.7024394675280718,0.5030631965237449,042700
16,LG전자,2020,Q4,정보기술,0.5158245616455364,0.022242459280235716,-1.7090650385846722,-0.011680444801230538,-0.0013521665010763906,-1.2135732466419697,-0.07480221061804826,-0.04547045011634894,066570
