video_id,published_at,view_count
nUhdkUJXy-8,2021-05-16T23:33:12Z,1846
amDk_9QIsK0,2021-05-15T02:30:01Z,25064
XHZHJxaxJZs,2021-05-14T10:02:47Z,123100
HtwgM0KKamE,2021-05-14T09:33:10Z,7142
AOIF1dyhle0,2021-05-14T06:25:59Z,13222
z8FeQxnCA3A,2021-05-14T03:05:55Z,11823
izKP2ZOfo8A,2021-05-14T03:03:12Z,14247
YfMNaWQltDY,2021-05-14T03:02:11Z,1826
sz2eC1eNRqw,2021-05-14T01:07:49Z,14788
qudGEWM6pA0,2021-05-14T01:05:48Z,16178
fAnm3CqSo0w,2021-05-14T01:02:25Z,1464
jamWpzAMbn0,2021-05-13T23:46:49Z,4642
FMaTTRSnHmU,2021-05-13T23:45:24Z,4420
1FkQBLo_tL0,2021-05-13T08:30:54Z,1083
g8sCsNn_3dc,2021-05-13T07:46:44Z,50017
6E2R42HRRBk,2021-05-13T06:40:05Z,174652
cObHyu0cNPE,2021-05-13T06:40:46Z,2852
bpVTkQ6AEd8,2021-05-13T02:58:51Z,14588
ZyNNfl1xM4Y,2021-05-13T02:59:43Z,1369
ek9lcd45z8w,2021-05-13T01:00:59Z,2796
wgouC2BVgeU,2021-05-13T00:59:21Z,1412
mk2mUXBVN5Q,2021-05-12T23:29:15Z,1813
8jFkw32trMM,2021-05-12T23:27:57Z,1074
7NdKkO4u1CY,2021-05-12T23:26:56Z,5514
kX0-5neDKpo,2021-05-12T09:15:01Z,9041
0wyI-mWrnKc,2021-05-12T08:34:51Z,11444
JxlXyYJX2LM,2021-05-12T07:45:34Z,21054
kDkPUCnWFAA,2021-05-12T06:25:10Z,32109
EOrAg_zgyyg,2021-05-12T05:57:10Z,64358
IBOsHPrIo1g,2021-05-12T04:56:12Z,19778
EjAgMMkb270,2021-05-12T04:56:46Z,14617
nVMWXJErbgU,2021-05-12T00:53:48Z,3070
t9bU_E0EW_o,2021-05-12T00:51:26Z,2114
vjdUqoTGGgQ,2021-05-11T23:27:11Z,1779
C9MpLjUWc9s,2021-05-11T23:26:08Z,2790
emgKDGNabTs,2021-05-11T08:43:23Z,1800
KwH4EzAfqxA,2021-05-11T08:24:51Z,2323
BPP03dI4dwg,2021-05-11T08:18:25Z,50754
e4pYVaE4gZI,2021-05-11T06:30:25Z,188697
y4ezLhJ0NqQ,2021-05-11T02:59:57Z,2287
bc7cUbf_lZo,2021-05-11T02:58:15Z,46631
xjAJsll4-0g,2021-05-11T02:58:19Z,1782
ONnV4taGfcY,2021-05-11T01:38:44Z,9743
KgdXhVFzleM,2021-05-11T00:50:29Z,1697
au56zrFhMeY,2021-05-11T00:47:11Z,4230
g8pruK0kC9I,2021-05-10T23:38:40Z,6725
jOLHGxqXkNo,2021-05-10T08:43:10Z,1515
YZ2SaWq0lYE,2021-05-10T08:43:08Z,2198
lGr_DnmebRE,2021-05-10T08:25:52Z,3906
81QymmS39y8,2021-05-10T07:44:28Z,18312
hWtRLxQuj4E,2021-05-10T07:33:06Z,1506
c1Os-182Sn4,2021-05-10T02:53:15Z,150344
6DbNNpKSxWE,2021-05-10T02:50:38Z,4386
mXpqTixHAyw,2021-05-10T02:49:30Z,7603
BrNR8Nsq9p4,2021-05-10T00:43:26Z,1902
uA5ukdqrJWE,2021-05-10T00:41:24Z,1800
hs1ivmUjY2Y,2021-05-10T00:38:57Z,1584
iQw-dCBuNTk,2021-05-09T23:34:39Z,1957
jukk-CMRQq0,2021-05-09T23:30:57Z,2897
FqCd8NZoKH0,2021-05-07T07:50:32Z,10268
qMTT2bdplfE,2021-05-07T07:44:43Z,21230
2sWb3-temBs,2021-05-07T02:23:52Z,5301
qYHXATEgBJ8,2021-05-07T02:22:56Z,8581
aUKjuEkaEww,2021-05-07T00:44:51Z,2864
aQnSHH8HORA,2021-05-07T00:45:37Z,4834
IHlZOpD1dAI,2021-05-07T00:43:30Z,6148
EefMQzGets4,2021-05-06T08:29:43Z,5831
yHzUjz0eqe8,2021-05-06T07:42:51Z,18736
75ntLoNl6Qc,2021-05-06T06:44:11Z,60603
Fqj263l2SZc,2021-05-06T06:40:36Z,9466
8tqWMJGjG84,2021-05-06T01:19:19Z,1707
5QXUKRAisxs,2021-05-06T01:14:47Z,2008
Pfz7aSaZgjQ,2021-05-04T08:58:35Z,2622
fQlYigo0vS4,2021-05-04T08:44:42Z,3263
UTAs7MDhuH4,2021-05-04T07:47:42Z,6702
KdNZ7d6Tv9Q,2021-05-04T06:08:09Z,4217
Gr61ZUYdT-k,2021-05-04T02:45:07Z,6853
EOT6nDcJEj0,2021-05-04T02:44:12Z,1405
ay11IuAF32Y,2021-05-04T00:56:20Z,3973
DiiPtYTRHdI,2021-05-04T00:55:05Z,2048
2_cfQT9h_oU,2021-05-04T00:54:16Z,7991
qg4kKcnU1nQ,2021-05-03T23:41:58Z,7703
JQ_lfi9ajDw,2021-05-03T08:35:49Z,4277
jNu7YitRrK4,2021-05-03T08:35:14Z,1512
f7_PVjZub5E,2021-05-03T08:35:09Z,1143
_-H_H6DOWX4,2021-05-03T07:08:15Z,22037
