code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),이익잉여금,총포괄손익,파생상품자산
014820,Dongwon_Systems,에너지_화학,2015,Q4,"142,035,345,584","539,862,569,361","681,897,914,945","138,963,841,223","295,265,252,414","434,229,093,637","121,724,560,000","247,668,821,308",366755676431,26828353735,27376136272,22443063484,22443063484,,,
014820,Dongwon_Systems,에너지_화학,2016,Q1,-,-,"699,458,169,399",-,-,"441,118,031,438","121,724,560,000","258,340,137,961",96966714318,8837013749,17054060738,16779499079,16779499079,,,
014820,Dongwon_Systems,에너지_화학,2016,Q2,"123,134,227,877","531,012,796,894","654,147,024,771",-,-,"392,719,960,009","121,724,560,000","261,427,064,762",103778296383,10211076646,6830616157,3092719509,3092719509,"52,778,013,201",,
014820,Dongwon_Systems,에너지_화학,2016,Q3,"115,490,118,730","527,903,628,368","643,393,747,098","211,882,669,488","158,678,238,526","370,560,908,014","121,724,560,000","272,832,839,084",106536075784,9822652161,14627835105,11412135866,11412135866,"64,190,149,067",,
014820,Dongwon_Systems,에너지_화학,2016,Q4,"133,703,902,920","529,197,077,274","662,900,980,194","340,810,388,268","48,406,413,752","389,216,802,020","121,724,560,000","273,684,178,174",99432839787,4976153943,3507599000,1826573451,1826573451,"66,016,722,518",,
014820,Dongwon_Systems,에너지_화학,2017,Q1,"130,511,614,223","534,032,330,204","664,543,944,427","334,828,608,256","41,706,268,629","376,534,876,885","121,724,560,000","288,009,067,542",102645543973,9000881464,25956289397,20443799608,20443799608,"80,361,026,226",,
014820,Dongwon_Systems,에너지_화학,2017,Q2,"139,068,438,421","497,707,617,453","636,776,055,874","308,814,256,646","34,629,763,380","343,444,020,026","121,724,560,000","293,332,035,848",103184647054,8291456217,3803886317,5329720408,5329720408,"85,690,746,634",,
014820,Dongwon_Systems,에너지_화학,2017,Q3,"187,564,816,128","540,232,858,486","727,797,674,614","261,601,574,955","130,470,242,930","392,071,817,885","129,419,345,000","335,725,856,729",110201384081,8295354212,15864636980,15855267009,15855267009,"88,397,004,422",,
014820,Dongwon_Systems,에너지_화학,2017,Q4,"155,028,502,013","541,968,249,561","696,996,751,574","174,205,048,334","180,452,473,609","354,657,521,943","129,419,345,000","342,339,229,631",111600717879,6019786781,9442680793,4800177040,4800177040,"93,197,181,462",,
014820,Dongwon_Systems,에너지_화학,2018,Q1,"238,769,867,389","468,911,217,871","707,681,085,260","184,590,874,215","175,777,368,701","360,368,242,916","129,419,345,000","347,312,842,344",132225190989,9603646800,19705946167,17873068423,17873068423,"96,927,928,395",,
014820,Dongwon_Systems,에너지_화학,2018,Q2,"233,265,490,431","473,127,679,480","706,393,169,911","173,770,999,712","176,614,932,513","350,385,932,225","129,419,345,000","356,007,237,686",138444165258,11929108325,6979495636,8746578518,8746578518,"105,674,506,913",,
014820,Dongwon_Systems,에너지_화학,2018,Q3,"197,141,014,628","497,482,519,464","694,623,534,092","255,132,697,582","76,693,611,775","331,826,309,357","129,419,345,000","362,797,224,735",129834792548,8663574141,7056418207,6870561717,6870561717,"112,545,068,630",,
014820,Dongwon_Systems,에너지_화학,2018,Q4,"226,063,737,428","516,084,834,493","742,148,571,921","270,370,501,982","105,305,284,517","375,675,786,499","129,419,345,000","366,472,785,422",122804886608,9111909829,6685140939,5344375265,5344375265,"117,889,443,895",,
014820,Dongwon_Systems,에너지_화학,2019,Q1,"247,529,381,923","541,984,260,039","789,513,641,962","312,905,957,128","106,759,705,457","419,665,662,585","129,419,345,000","369,847,979,377",132433946471,13573437050,21277561766,16229095425,16229095425,"119,976,217,830",,
014820,Dongwon_Systems,에너지_화학,2019,Q2,"219,457,092,052","583,401,663,647","802,858,755,699","315,967,471,578","105,917,424,419","421,884,895,997","129,419,345,000","380,973,859,702",135153542074,14107231114,14577215961,11128123651,11128123651,"131,104,341,481",,
014820,Dongwon_Systems,에너지_화학,2019,Q3,"185,610,428,897","593,925,959,177","779,536,388,074","159,020,716,562","235,584,831,532","394,605,548,094","129,419,345,000","384,930,839,980",130641306684,7727971214,5067665837,3957854713,3957854713,"135,062,196,194",,
014820,Dongwon_Systems,에너지_화학,2019,Q4,"160,373,299,304","590,490,759,219","750,864,058,523","135,347,391,074","233,857,108,775","369,204,499,849","129,419,345,000","381,659,558,674",121143299044,317784110,-2594370513,-2864022431,-2864022431,"132,198,173,763",,
014820,Dongwon_Systems,에너지_화학,2020,Q1,"198,287,235,204","613,298,604,833","811,585,840,037","195,361,572,680","235,209,977,235","430,571,549,915","129,419,345,000","381,014,290,122",131400855754,9488013567,17141205302,14015050891,14015050891,"132,070,909,764",,
014820,Dongwon_Systems,에너지_화학,2020,Q2,"178,433,413,050","632,195,029,632","810,628,442,682","184,748,589,754","234,451,011,297","419,199,601,051","129,419,345,000","391,428,841,631",148608326881,14631158896,13554194900,10245693591,10245693591,"142,316,603,355",,
014820,Dongwon_Systems,에너지_화학,2020,Q3,"186,050,350,979","647,550,017,934","833,600,368,913","194,514,531,411","237,163,062,791","431,677,594,202","129,419,345,000","401,922,774,711",156803676650,14465593702,12261873944,10268035700,10268035700,"152,584,639,055",,
014820,Dongwon_Systems,에너지_화학,2020,Q4,"171,305,379,580","664,337,291,230","835,642,670,810","291,486,211,101","135,815,038,390","427,301,249,491","129,419,345,000","408,341,421,319",145030319605,12829938426,7907569016,6165931211,6165931211,"158,750,570,266",,
014820,Dongwon_Systems,에너지_화학,2021,Q1,"197,329,369,152","664,080,250,433","861,409,619,585","321,476,356,858","135,788,133,907","457,264,490,765","129,419,345,000","404,145,128,820",152913039564,11944184975,11069609649,10849415539,10849415539,"152,632,126,875",,
014820,Dongwon_Systems,에너지_화학,2021,Q2,"202,923,143,849","684,231,932,120","887,155,075,969","336,468,416,932","135,231,478,264","471,699,895,196","129,419,345,000","415,455,180,773",172648822414,13762602262,14783905578,11131515743,11131515743,"163,763,642,618",,
014820,Dongwon_Systems,에너지_화학,2021,Q3,"209,201,414,938","683,925,456,675","893,126,871,613","429,593,732,033","35,955,127,498","465,548,859,531","129,419,345,000","427,578,012,082",172380377740,15766378165,16155035964,12301448292,12301448292,"176,065,090,910",,
014820,Dongwon_Systems,에너지_화학,2021,Q4,"469,122,566,783","898,650,657,751","1,367,773,224,534","427,394,668,195","285,239,365,624","712,634,033,819","147,268,845,000","655,139,190,715",287126955802,19297400340,2929073050,922122392,922122392,"176,987,213,302",,
014820,Dongwon_Systems,에너지_화학,2022,Q1,"507,645,409,462","874,903,277,779","1,382,548,687,241","448,513,526,413","283,653,347,788","732,166,874,201","147,268,845,000","650,381,813,040",301288091836,16264836307,14643116115,11955564684,11955564684,"169,619,692,501",,
014820,Dongwon_Systems,에너지_화학,2022,Q2,"583,956,899,479","874,513,794,096","1,458,470,693,575","498,440,646,630","283,165,211,262","781,605,857,892","147,268,845,000","676,864,835,683",346838969647,30283419611,36121301559,27362855038,27362855038,"196,982,547,539",,
014820,Dongwon_Systems,에너지_화학,2022,Q3,"493,298,556,090","883,071,202,725","1,376,369,758,815","386,867,830,178","293,632,021,177","680,499,851,355","146,276,965,000","695,869,907,460",352745305250,21996072577,26286202544,19941506535,19941506535,"216,924,054,074",,
014820,Dongwon_Systems,에너지_화학,2022,Q4,"461,998,354,139","918,268,970,785","1,380,267,324,924","387,951,636,151","290,173,383,656","678,125,019,807","146,276,965,000","702,142,305,117",300079166754,13977027660,-2437642307,134303227,134303227,"217,058,357,301",,
014820,Dongwon_Systems,에너지_화학,2023,Q1,"512,297,477,211","934,251,150,808","1,446,548,628,019","444,388,786,821","306,142,849,111","750,531,635,932","146,276,965,000","696,016,992,087",301304817668,15802462063,13653669987,10538302715,10538302715,"230,335,400,822",,
014820,Dongwon_Systems,에너지_화학,2023,Q2,"510,488,167,258","953,243,837,558","1,463,732,004,816","455,930,104,268","294,613,020,272","750,543,124,540","146,276,965,000","713,188,880,276",308473432646,23080049445,20232384261,16885403837,16885403837,"247,220,804,659",,
014820,Dongwon_Systems,에너지_화학,2023,Q3,"509,782,235,510","973,080,561,295","1,482,862,796,805","485,351,435,485","268,692,929,415","754,044,364,900","146,276,965,000","728,818,431,905",282664011228,19224307978,15394563050,16204876432,16204876432,"263,425,681,091",15629551629,
014820,Dongwon_Systems,에너지_화학,2023,Q4,"463,168,032,347","997,249,670,345","1,460,417,702,692","527,295,464,633","198,618,494,685","725,913,959,318","146,276,965,000","734,503,743,374",267134865145,11764263316,5413387668,8032602500,8032602500,"271,458,283,591",34298327978,-
014820,Dongwon_Systems,에너지_화학,2024,Q1,"501,417,785,361","997,093,400,456","1,498,511,185,817","557,106,843,469","211,288,025,679","768,394,869,148","146,276,965,000","730,116,316,669",287378541872,14531864839,11536847016,13010294662,13010294662,"266,902,136,903",13179014645,
014820,Dongwon_Systems,에너지_화학,2024,Q2,"517,370,944,310","992,225,416,627","1,509,596,360,937","581,318,231,305","149,031,956,003","730,350,187,308","146,276,965,000","779,246,173,629",318034332280,27134936243,54708183557,48689204127,48689204127,"315,591,341,030",49129856960,
014820,Dongwon_Systems,에너지_화학,2024,Q3,"549,077,640,066","982,483,819,411","1,531,561,459,477","482,420,066,845","257,117,129,697","739,537,196,542","146,276,965,000","792,024,262,935",321457850259,24501463073,17308805611,13270765796,13270765796,"328,862,106,826",12778089306,
