code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,차입부채,파생상품관련손익
009240,Hanssem,경기소비재,2015,Q4,"403,116,265,450","305,429,492,840","708,545,758,290","284,915,731,470","13,511,520,835","298,427,252,305","400,255,290,959","410,118,505,985",1631046865632,139089009593,145055620354,107625944978,107625944978,,,,
009240,Hanssem,경기소비재,2016,Q1,"423,780,436,096","309,979,557,325","733,759,993,421","302,078,410,636","16,254,396,295","318,332,806,931","405,563,971,464","415,427,186,490",417060207215,29379024950,30684462689,23388243505,23388243505,,,,
009240,Hanssem,경기소비재,2016,Q2,"395,398,655,710","343,645,767,911","739,044,423,621","288,380,762,339","11,183,368,373","299,564,130,712","429,617,077,883","439,480,292,909",434901643809,30610202916,32101166908,24031674684,24031674684,,,,
009240,Hanssem,경기소비재,2016,Q3,"422,031,202,660","353,006,433,799","775,037,636,459","287,691,638,857","13,907,646,555","301,599,285,412","463,575,136,021","473,438,351,047",474804871468,42291161820,43688292939,33946838699,33946838699,,,,
009240,Hanssem,경기소비재,2016,Q4,"475,239,407,232","360,359,624,920","835,599,032,152","308,983,688,159","12,506,030,053","321,489,718,212","504,246,098,914","514,109,313,940",528236440338,55278175868,58558594506,43832647929,43832647929,,,,
009240,Hanssem,경기소비재,2017,Q1,"374,210,874,597","434,277,931,288","808,488,805,885","330,122,043,341","17,016,048,202","347,138,091,543","516,168,847,256","461,350,714,342",494599270305,40803036429,42261716393,31810267642,31810267642,,,,
009240,Hanssem,경기소비재,2017,Q2,"291,548,504,238","605,545,788,686","897,094,292,924","378,440,788,341","64,430,338,521","442,871,126,862","544,014,946,526","454,223,166,062",481818939738,32862356504,36994819928,27846099270,27846099270,,,,
009240,Hanssem,경기소비재,2017,Q3,"358,952,685,090","608,243,747,236","967,196,432,326","403,467,358,246","70,172,046,028","473,639,404,274","583,348,808,516","493,557,028,052",527510805227,48973752895,50827800903,39333861990,39333861990,"23,533,928,000",,,
009240,Hanssem,경기소비재,2017,Q4,"330,030,930,448","605,652,334,881","935,683,265,329","362,400,308,721","55,443,318,390","417,843,627,111","611,263,967,450","517,839,638,218",469939790405,39297539878,37208605454,28672693281,28672693281,"23,533,928,000",,,
009240,Hanssem,경기소비재,2018,Q1,"394,583,714,773","596,055,895,016","990,639,609,789","419,155,927,025","59,686,837,268","478,842,764,293","605,131,192,783","511,796,845,496",467105093126,17156155662,20070306386,15022700933,15022700933,"23,533,928,000",,,
009240,Hanssem,경기소비재,2018,Q2,"319,997,540,499","596,896,958,278","916,894,498,777","319,171,543,397","63,936,505,648","383,108,049,045","627,030,793,673","533,786,449,732",480869764764,27297181347,29223296199,21899600889,21899600889,"23,533,928,000",,,
009240,Hanssem,경기소비재,2018,Q3,"351,958,229,381","594,232,084,561","946,190,313,942","328,994,140,693","68,371,339,176","397,365,479,869","642,069,739,065","548,824,834,073",428746256956,14401306544,16176879893,15038945392,15038945392,"23,533,928,000",,,
