video_id,published_at,view_count
gYHY9xHdvck,2018-05-14T04:31:29Z,3649
vCZiKB5r3Hk,2018-05-14T02:15:21Z,1883
6_O2xQcDd-s,2018-05-11T07:48:26Z,1703
CN320gzvRgo,2018-05-11T06:10:22Z,1544
BGyAsHzvFFE,2018-05-11T04:41:14Z,3274
dC447TnvB9U,2018-05-10T10:30:58Z,1609
tNV480ELzB0,2018-05-09T08:35:51Z,1787
FTkcqDwiNP0,2018-05-08T08:19:44Z,1599
mwPDl-yoVyw,2018-05-08T06:59:27Z,4231
gkhOFye-ksA,2018-05-04T08:55:21Z,2522
5BwlTyrfKhA,2018-05-04T06:25:21Z,3900
uQAFpkuI1Jk,2018-05-03T09:17:50Z,4565
M4JxpAiHh0o,2018-05-03T04:26:14Z,2440
WdYXVdDVHdA,2018-05-03T03:25:05Z,1529
pj7KJebAvsY,2018-05-02T08:24:42Z,3332
nsHI80MxnFM,2018-05-02T07:55:39Z,1561
_T-nusEMzgc,2018-05-02T06:23:09Z,5496
gRZUu0BgRLU,2018-04-27T04:37:41Z,1949
cr8YalxX86w,2018-04-26T09:03:45Z,1501
mPGeuEoByy4,2018-04-26T08:51:46Z,1816
Zi9NIstjqOc,2018-04-26T05:04:17Z,3675
aE8tsPC4NZ0,2018-04-25T08:23:05Z,1923
vva1UCQtNRY,2018-04-25T08:11:55Z,2842
DywWWwQFvxo,2018-04-24T08:22:26Z,4304
hTuJL-r-jhE,2018-04-24T05:12:57Z,1818
FRMl1P-hQLc,2018-04-24T05:12:49Z,1408
D0Rh8Z45-S4,2018-04-24T00:04:08Z,2151
rnQvyoWIgfk,2018-04-23T08:45:46Z,1111
FGFXaeEj38g,2018-04-20T01:01:02Z,1604
7prMDWK1sy8,2018-04-19T04:25:34Z,3452
9xKa-wS1iOY,2018-04-18T08:28:22Z,2277
Q8CS7W4qdeM,2018-04-18T06:24:27Z,2465
JgRb5O_PfpQ,2018-04-18T04:22:55Z,12200
jerOYdAsla8,2018-04-17T08:16:12Z,10747
kNpsNZ8fTEo,2018-04-16T08:52:43Z,2407
