,name,sector,year,quarter,Relative Return,이익잉여금변화율,자본총계변화율,비유동자산변화율,비유동부채변화율,영업이익변화율,Label,Code
22,Hite_Jinro,Consumer_Goods_&_Retail,2019,Q1,0.113470540275637,-0.5745497952748062,0.0571906732338171,-0.02281548901552677,-0.6897806449205179,1.2591771900780397,0.06796716946478015,000080
22,Yuhan_Corporation,Healthcare,2019,Q1,0.018030783106653556,-0.009790877963220312,-0.010481439909303392,-0.011822535120708855,-0.14068832438632217,-0.8376297898598386,0.11530193030160116,000100
22,Ildong_Pharmaceutical,Healthcare,2019,Q1,0.05364849015381312,-0.10817160534144632,-0.03397390867196215,-0.08402742776398409,-0.20236439883074198,-5.735873827668296,-0.11037221640146783,000230
22,Daesang,Consumer_Goods_&_Retail,2019,Q1,0.09468355802711628,-0.007737813478325473,-0.011109303628486167,-0.016791748590101463,-0.32891848625708175,-3.01225128303736,0.08187892299699068,001680
22,AmoreG,Consumer_Goods_&_Retail,2019,Q1,-0.09536488850944644,-0.019844772334498773,-0.007605833789664951,-0.007241672382942044,0.09305975752781415,-144.03463173200572,-0.08985317996559647,002790
22,Bukwang_Pharmaceutical,Healthcare,2019,Q1,0.2960884820299768,0.03747494793978423,0.017446862403065255,0.08866892282467642,0.15623658361848902,-1.7041520617731534,-0.29487184896336216,003000
22,Taekwang_Industrial,Industrials_&_Machinery,2019,Q1,-0.06877798043442218,-0.01879554137278916,-0.013159011974419155,-0.008043915521650957,-0.03738180831062632,0.36468145007554365,0.17497207053990635,003240
22,Youngjin_Pharmaceutical,Healthcare,2019,Q1,-0.1641516459148492,-0.18245073499254816,-0.015670886108700488,-0.025102628529119375,-0.02595270934952465,-0.12959422761937156,0.058295474253877884,003520
23,S&T_Heavy_Industries,Industrials_&_Machinery,2019,Q1,0.2373827201340215,0.008127400330599,0.004314485738651008,0.0036900429100323873,-0.006375679552172775,0.8604969913004367,-0.029024270615783793,003570
22,Shinsegae,Consumer_Goods_&_Retail,2019,Q1,-0.16644601884320132,-0.29663542278807364,-0.20456700401169758,-0.2570033631987627,-0.5207016299331118,0.43287860295102965,0.26082200770136826,004170
22,Chokwang_Leather,Consumer_Goods_&_Retail,2019,Q1,0.075057636003934,-0.01481436239770395,-0.0352730559456258,-0.0448466639017695,-0.6767501786192303,0.2819840015252991,-0.025432316592795285,004700
22,Hyosung,Industrials_&_Machinery,2019,Q1,0.1728988282200741,0.007457742595747829,0.02295449023433571,-0.00822951751678147,-0.08090192603095114,1.6166188907974357,0.4571514391415988,004800
22,Samkwang_Glass,Industrials_&_Machinery,2019,Q1,0.02873754751588839,0.03284855284770416,0.03235893278471602,0.011603099122839744,-0.06423212456730587,0.5070382026760443,0.28347572938421617,005090
22,Lotte_Chilsung_Beverage,Consumer_Goods_&_Retail,2019,Q1,0.1413285557014834,0.01472544331340453,-0.10944326820386507,-0.013391309035339916,0.10642163888820688,-2.772955137442916,0.2233293621463778,005300
22,SL_Corp,Consumer_Goods_&_Retail,2019,Q1,0.09038722856491434,0.011857606452930214,0.009365557890556042,0.0012987651777174314,-0.2295301873077633,1.2772812036320147,0.055677637508454426,005850
22,SK_Chemicals,Healthcare,2019,Q1,-0.0919922661487079,-0.00496035289452923,-0.008451945934941696,-0.0028658376873071933,0.19879633141834363,14.09080065994778,-0.038407222269727814,006120
22,GC_Biopharma,Healthcare,2019,Q1,-0.09384920550564724,0.011706630464668022,0.006727003195408421,-0.030089420979013237,-0.03209073396986728,1.0747454764131863,0.012642396050882874,006280
22,GS_Retail,Consumer_Goods_&_Retail,2019,Q1,0.1928236622760501,0.005755629847688182,0.0051228617958941625,-0.39785412100725903,-3.0424065930507442,0.6245086561899469,-0.06864148673299991,007070
22,Ilyang_Pharmaceutical,Healthcare,2019,Q1,-0.11224428029687059,1.272233523712709,-0.019085602197985274,0.0029167556264764194,-0.0060511461409444856,1.728942980165685,-0.015561575068250698,007570
22,Hanssem,Consumer_Goods_&_Retail,2019,Q1,0.01573645526111589,0.0072657191202355476,0.008470900538049553,-0.17391670734831144,-1.0622096578497868,0.11858027502840718,0.30014239605088283,009240
22,Kwang_Dong_Pharmaceutical,Healthcare,2019,Q1,0.020832409175967445,-0.014690855878285447,-0.002282895722382605,0.009478436829528758,-0.5326411825181847,-0.7946217257846748,-0.03969795228003149,009290
22,Hyundai_Heavy_Industries,Industrials_&_Machinery,2019,Q1,0.08307387141742968,-0.000951460000905735,-0.0005702560313733951,0.012144993349464839,-0.17423713788319306,1.0573475469371145,-0.1309386850301982,009540
22,LS_Electric,Industrials_&_Machinery,2019,Q1,-0.21194151930841681,0.0071845646423855936,0.006495342579511787,-0.018980361576105942,-0.04459188609110565,0.05129941144091088,-0.08342830588197572,010120
22,Samsung_Heavy Industries,Industrials_&_Machinery,2019,Q1,0.046318827519528635,0.04483476290603927,0.019522377791068024,-0.021018381037394507,-0.2847334346585262,0.46557159396386594,0.05609984285939352,010140
22,Hyundai_Mipo_Dockyard,Industrials_&_Machinery,2019,Q1,0.27103964874490916,0.007801596301026392,0.006096987241494989,-0.00545062795282103,0.040285568093631596,-2.6675146368529807,-0.061622309831470067,010620
23,Hyundai_WIA,Industrials_&_Machinery,2019,Q1,-0.009773241097929292,0.003716245718369482,0.003070231006772395,0.002179999127323917,0.1539415867097611,-25.498859083489517,0.07202605256057817,011210
22,Hanwha_Aerospace,Industrials_&_Machinery,2019,Q1,0.4082865185399758,-0.014589144295488854,-0.005651143818883098,-0.0028640112905979898,-0.06341611906340328,0.21384247182889027,0.011872264475861247,012450
