,Code
0,000080
0,000100
0,000230
0,001680
0,002790
0,003000
0,003240
0,003520
1,003570
0,004170
0,004700
0,004800
0,005090
0,005300
0,005850
0,006120
0,006280
0,007070
0,007570
0,009240
0,009290
0,009540
0,010120
0,010140
0,010620
1,011210
0,012450
0,012750
0,014820
0,014830
0,017670
0,017800
0,021240
0,023530
0,028050
1,029530
1,030000
0,030200
0,032640
0,033530
0,033780
0,034020
0,034120
0,042660
0,042670
0,047810
0,051900
0,064350
1,064960
0,069620
0,069960
0,078520
0,079430
0,079980
0,082740
0,084870
0,090430
0,093050
0,097230
0,097950
0,105630
0,111770
0,115390
0,128940
0,139480
0,161890
0,170900
0,185750
0,192820
