,name,sector,year,quarter,Relative Return,이익잉여금변화율,자본총계변화율,비유동자산변화율,비유동부채변화율,영업이익변화율,Label,Code
20,Hite_Jinro,Consumer_Goods_&_Retail,2019,Q3,0.09735458226109642,-0.07165593032855733,-0.02094580244223443,-0.0006343433154849532,0.022929227600847035,-4.8057016164004915,0.3452040348619619,000080
20,Yuhan_Corporation,Healthcare,2019,Q3,0.026310996372444082,-0.005040004210535409,0.0017586044130986078,0.05868626795765031,0.2394896661525956,-21.87238151240216,-0.09611474277102672,000100
20,Ildong_Pharmaceutical,Healthcare,2019,Q3,0.027530966707195258,-0.00471655222465972,0.004700909073245829,-0.27813610333948535,-0.0007250424788451948,-0.45558059726875655,-0.12400156074301194,000230
20,Daesang,Consumer_Goods_&_Retail,2019,Q3,-0.14135225053175787,-0.0319751527873644,-0.030037703706488283,-0.03607698903771861,0.21948230487899012,-0.31120619367008695,-0.06463923816870903,001680
20,AmoreG,Consumer_Goods_&_Retail,2019,Q3,-0.11177052120962583,-0.07203738069164145,-0.049147890003961026,-0.027868682195731243,0.011599316778774904,398.63361860141833,0.05805825112939912,002790
20,Bukwang_Pharmaceutical,Healthcare,2019,Q3,-0.07805276056560125,0.007423508052338268,0.014762670890367424,0.0625022854592715,-0.008991730858879388,1.3901963776580588,-0.18689644801772223,003000
20,Taekwang_Industrial,Industrials_&_Machinery,2019,Q3,-0.17787287845023525,-0.019420700867384566,-0.012293164105329657,-0.0031841028806824934,-0.13502627550919422,0.4072577506440517,-0.12941121335526498,003240
20,Youngjin_Pharmaceutical,Healthcare,2019,Q3,-0.23202555689133875,-0.1933074469608944,-0.024475797500182583,0.015481022147876944,-0.005001026338726788,0.1876910340488266,-0.051664265106721105,003520
21,S&T_Heavy_Industries,Industrials_&_Machinery,2019,Q3,-0.030745044686456804,-0.01199430946832969,-0.011092061711404755,-0.007735660272080169,-0.007005352027237732,0.3039720809286217,-0.12105428103139049,003570
20,Shinsegae,Consumer_Goods_&_Retail,2019,Q3,-0.08736588033189321,-0.020949312449963564,-0.004411624469390363,0.004423978984251953,0.02791374876739161,-0.5496590964545185,-0.12612421110132058,004170
20,Chokwang_Leather,Consumer_Goods_&_Retail,2019,Q3,0.014303043514340759,-0.0213553672894371,-0.029555068516307292,-0.055376999404750826,-0.12258776229117974,0.1285821219026566,0.012244772855898683,004700
20,Hyosung,Industrials_&_Machinery,2019,Q3,-0.037682154338425415,-0.00018383020120515958,-0.0006377744450019041,0.0005924831367486449,0.03369707833186386,4.492899134221415,0.1711302799602649,004800
20,Samkwang_Glass,Industrials_&_Machinery,2019,Q3,-0.05199459713901677,0.024821525533567534,0.021753523595299473,0.10252109725951652,0.19406254651741128,0.754157342111921,-0.08454218977069589,005090
20,Lotte_Chilsung_Beverage,Consumer_Goods_&_Retail,2019,Q3,-0.025093081341432434,-0.01680049832323105,-0.024659063880273946,0.005505573822425891,-0.003006467181135841,-0.024044854019741546,-0.17081676344693414,005300
20,SL_Corp,Consumer_Goods_&_Retail,2019,Q3,0.08796079777914681,-0.012505917334654004,-0.00665228488359193,-0.06078393799839121,-0.01627511275467941,1.201089286034989,0.01130765058554655,005850
