,code,name,sector,year,quarter,유동자산변화율,비유동자산변화율,자산총계변화율,유동부채변화율,비유동부채변화율,부채총계변화율,이익잉여금변화율,자본총계변화율,매출액변화율,영업이익변화율,법인세차감전 순이익변화율,당기순이익변화율,당기순이익(손실)변화율,자본금변화율,주주 수변화율,전체 주주 수변화율,주주 비율변화율,보유 주식 수변화율,전체 주식 수변화율,보유 주식 비율변화율,접수일자변화율,특정 증권 등 소유 수변화율,특정 증권 등 소유 증감 수변화율,특정 증권 등 소유 비율변화율,특정 증권 등 소유 증감 비율변화율,1인평균급여변화율,기초 소유 주식 수변화율,기초 소유주식 지분율변화율,기말 소유주식 수변화율,기말 소유주식 지분율변화율,Relative Return,Label,Code
0,3240,Taekwang_Industrial,Industrials_&_Machinery,2024,Q3,0.025936946836952024,0.003509457340576838,0.013120883230386293,0.10971916532312409,0.005700423963787782,0.06635882249396308,0.0032842226649514306,0.003500760416358495,0.07412470706617935,1.8704364179557542,1.435071603588418,1.4556016196946273,1.4556016196946273,-0.0,-0.006175451037814694,-0.010385226678077952,0.0,0.013903745687295022,-0.009635833455755805,0.0,0.0,0.7193067419260122,0.7193067419260122,0.0,0.0,0.004600461883329743,0.00578969862081069,0.00579338336777524,0.005609074712241258,0.005612057280842686,-0.14998894939808546,-0.14998894939808546,003240
1,3240,Taekwang_Industrial,Industrials_&_Machinery,2024,Q2,-0.018468592353855895,-0.012458139497939946,-0.015025244053557874,-0.09138082610804887,-0.01813628933649669,-0.05960517182970704,-0.007260880714557105,-0.007366769185843447,-0.020812893098196783,412.49299605437415,0.5227322274237138,0.5663126936057824,0.5663126936057824,-0.0,-0.01447327172409052,-0.014811464041418088,0.0,-0.01895642767687078,-0.014141757251637799,0.0,0.0,-2.6111529247028273,-2.6111529247028273,0.0,0.0,-0.01737166036132054,-0.017489662885265433,-0.017490534986493556,-0.017475100398139265,-0.017474785922297675,0.1374626705724298,-0.14998894939808546,003240
2,3240,Taekwang_Industrial,Industrials_&_Machinery,2024,Q1,-0.0357089673368729,0.003321621669276964,-0.0129828154072964,0.012751576641953144,0.0029385993468032945,0.00851823923002959,-0.01655287949464701,-0.016770737193825047,-0.10288947713446062,0.9966786981750729,1.4542285270166346,1.3360913760266284,1.3360913760266284,-0.0,0.3479084176698396,0.3894119115908584,0.0,-0.026639581114026534,0.3058099607256647,0.0,0.0,0.005575028765022805,0.005575028765022805,0.0,0.0,0.2007766736583455,0.1649401354318455,0.16489031902349172,0.16600455958812177,0.1659647135600768,-0.037611781194343635,0.1374626705724298,003240
3,3240,Taekwang_Industrial,Industrials_&_Machinery,2023,Q4,0.0431550705131003,0.05966123877327567,0.052835798237455434,0.06583970823245344,0.08005801191072881,0.07202705914671259,0.04934960181004233,0.04937226052834065,0.15356494467974569,0.5877787066324831,-13.486718037072604,-15.853679847389355,-15.853679847389355,-0.0,-0.4471760470122703,-0.541689549850171,0.0,0.07126272529848177,-0.35773370173378227,0.0,0.0,0.041627249795160304,0.041627249795160304,0.0,0.0,-0.18671510847559847,-0.1364153814973068,-0.13635020846192458,-0.13768302649274222,-0.1376295072259388,-0.059703577665587725,-0.037611781194343635,003240
4,3240,Taekwang_Industrial,Industrials_&_Machinery,2023,Q3,0.016068568507839442,-0.019898936394600497,-0.0047119548021561375,-0.038053548201682386,-0.07073186645380636,-0.05202566693391253,0.0028482136496117416,0.003377288128717404,-0.004054533337229271,-0.387984849066181,0.5954358794809224,0.39754922518479374,0.39754922518479374,-0.0,-0.0035822996996812684,-0.00353011679457671,0.0,-0.0002614972912160507,-0.003702922650159257,0.0,0.0,-0.005192277891864716,-0.005192277891864716,0.0,0.0,-0.001622054906427861,-0.0015405608738467969,-0.0015397978738962426,-0.0015733756334859184,-0.0015737696451336713,-0.16408648663930045,-0.059703577665587725,003240
5,3240,Taekwang_Industrial,Industrials_&_Machinery,2023,Q2,0.020742728791722564,-0.0029891794144327744,0.007170307309538049,0.04406701592207263,-0.010763842521405165,0.021368519010139586,0.004268711928042457,0.0047014915940828406,0.003391555928538681,0.18074918106196747,1.479583082962435,1.3355592426475404,1.3355592426475404,-0.0,-0.010819103742449876,-0.013826861934382428,0.0,0.0001238881887358767,-0.012606498465176363,0.0,0.0,-0.002712301519563365,-0.002712301519563365,0.0,0.0,-0.005404625525810891,-0.00472717445599824,-0.004724970843272613,-0.004871832215794347,-0.004870229860369557,-0.13036771697191965,-0.16408648663930045,003240
6,3240,Taekwang_Industrial,Industrials_&_Machinery,2023,Q1,-0.046876390616582775,0.0009681884843252275,-0.018967759087611835,-0.06627633764989671,-0.032388953645046126,-0.051981642103276826,-0.013788769267533585,-0.013437563765727578,0.0449905641098679,0.7368712157226582,1.4611013839705969,1.6023912985134197,1.6023912985134197,-0.0,0.15868526021711615,0.21312962661173185,0.0,-0.15030135206154682,0.27533130126303873,0.0,0.0,-0.0018607399584302797,-0.0018607399584302797,0.0,0.0,0.12207198104034989,0.12552740075887459,0.12547466289345577,0.12665612794592696,0.12661399277083973,0.05335805980715848,-0.13036771697191965,003240
7,3240,Taekwang_Industrial,Industrials_&_Machinery,2022,Q4,0.13825853105785268,-0.027649219974901218,0.04866855174308038,0.2521861674603889,0.0523571566354083,0.17917278565390804,0.02908236597900582,0.02263869007955166,0.04617889330012803,-2.358239215710386,-56.12765770502186,-23.152436382121966,-23.152436382121966,-0.0,-0.1826549316401429,-0.2694514428487049,0.0,0.1711003773636831,-0.3799841024777013,0.0,0.0,-0.012308854681505332,-0.012308854681505332,0.0,0.0,-0.10565536342003035,-0.10800025033411131,-0.10792413746416551,-0.10980835933624422,-0.10975334715968255,-0.13026489303504069,0.05335805980715848,003240
8,3240,Taekwang_Industrial,Industrials_&_Machinery,2022,Q3,0.010414736466801022,0.013412538664462792,0.01203580489506395,0.07604417162950705,-0.016308901306610002,0.044313066698677406,0.0009482048599185333,0.005335339271358763,0.07526682353546499,-23.745655810082592,1.160317849288953,1.3590718015552823,1.3590718015552823,-0.0,0.0019089568182873995,-0.0012576799601979882,0.0,0.015340252507964891,-0.0009472305775981571,0.0,0.0,-0.0009272822293227012,-0.0009272822293227012,0.0,0.0,0.009398467972847713,0.010257168017472229,0.010259387500620831,0.010163685213393059,0.010166329644906713,0.02712823964781555,-0.13026489303504069,003240
9,3240,Taekwang_Industrial,Industrials_&_Machinery,2022,Q2,0.002821087190446492,0.0031917778931286334,0.003021573266961175,0.004331887909918786,0.009995964915453182,0.006285272491472038,-0.002647702828487697,0.002341370077376337,0.02448808957572368,1.0388901674705886,0.7809013873581854,0.8043660652280661,0.8043660652280661,-0.0,-0.007078409861811741,-0.009483024077826752,0.0,-0.00011525085224439735,-0.008691861175700755,0.0,0.0,-0.002897501253908752,-0.002897501253908752,0.0,0.0,-0.003529007246848126,-0.0030211014003671544,-0.0030198921492250452,-0.003095995291399367,-0.0030942943264478107,0.07561492524264538,0.02712823964781555,003240
