,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,비유동부채변화율,비유동자산변화율,매출액변화율,Relative Return,보유 주식 수변화율,전체 주식 수변화율,특정 증권 등 소유 증감 수변화율,1인평균급여변화율,Label,Code
13,Taekwang_Industrial,Industrials_&_Machinery,2021,Q2,-0.03769416814410986,-0.028599279296516622,-0.038269836365417254,-0.027956691898481933,-0.06484192689870771,0.0730426162000025,-0.04227117583635431,-0.026387537430444308,-0.026313331435343645,-0.03610957485455746,0.2233118216237942,003240
14,S&T_Heavy_Industries,Industrials_&_Machinery,2021,Q2,-0.008134091886522032,-0.0069592234588828905,0.045673353238572245,-0.00948278035096628,-0.3202362062039503,0.20777340676632572,-0.023892139607379903,-0.006213012529330486,0.0,-0.005153021322349849,0.41036661933318475,003570
13,Hyosung,Industrials_&_Machinery,2021,Q2,-0.06361048485843246,-0.02314431090305402,-0.03376378791419632,-0.06309962825876192,-0.6561311364250737,0.09805677717466112,-0.005747460167196294,-0.035950841086652696,-0.06812970464889756,-0.037215275106343704,0.10361208446344952,004800
13,Samkwang_Glass,Industrials_&_Machinery,2021,Q2,0.004846504128421025,-0.06939658009394067,-0.2465435038870576,0.0031056856629400054,-0.00520391950609822,-0.05793765739987658,0.029967525964614494,0.011940473239376082,0.21556133842021497,0.08175988252488986,0.2607319750176894,005090
13,Hyundai_Heavy_Industries,Industrials_&_Machinery,2021,Q2,-0.005256697820388956,-0.001055047851291624,0.013569061458539866,-0.0048761634575711366,-0.01323109384194554,0.15919939701569874,-0.0034760815553098734,-0.002440267476274016,-0.002651612239273904,-0.002926707761545133,-0.05980674552103116,009540
13,LS_Electric,Industrials_&_Machinery,2021,Q2,-0.021900913474609318,-0.02403584112334234,-0.10917283440851211,-0.015877304989857288,-0.08282799248109152,-0.10348593712926409,-0.07976643238602543,-0.060542381866524275,-0.1563743605086565,-0.07561037880670618,-0.13750572109234716,010120
13,Samsung_Heavy Industries,Industrials_&_Machinery,2021,Q2,0.11974023677659562,-0.6357375708582282,-0.08392790626546476,0.0067960492210144,-0.10315856248383137,0.03036420012169412,-0.0365813759550484,-0.04218420452403726,-0.06957678930372668,-0.020315931705760182,-0.1887691731061234,010140
13,Hyundai_Mipo_Dockyard,Industrials_&_Machinery,2021,Q2,0.06426827148097058,0.08418596311000048,-0.1302882226599431,-0.031165635026128458,-0.05585023341725859,0.326728442639046,0.028312495047664865,-0.032079080452313,-0.04937483419922262,-0.004657503126778151,0.25402816562329705,010620
14,Hyundai_WIA,Industrials_&_Machinery,2021,Q2,-0.013188427862485641,-0.01633669865613352,0.05975361311506844,0.011485126781656807,-0.0701023117228734,0.3337028020007967,0.012654460426188008,0.0068177857889942795,-0.030314821087976007,0.0033718141526389855,0.25222791124370275,011210
13,Hanwha_Aerospace,Industrials_&_Machinery,2021,Q2,0.00651932860126514,0.008862079334410411,-0.2266514226081724,-0.14288956099495098,-0.44820377559545266,0.3497155920776204,-0.09659306018265967,-0.13390827247867443,-0.9924737819642089,-0.08977576942040244,0.09676514225698299,012450
13,Dongwon_Systems,Industrials_&_Machinery,2021,Q2,-0.02798512501195405,-0.07293035857461572,0.004099442469555181,-0.030345250704053583,-0.1290654015267274,0.27839546771261564,-0.02361228780510527,-0.030428578968429987,-0.033427356242076156,-0.02139943354745011,-0.13436655122837785,014820
13,Hyundai_Elevator,Industrials_&_Machinery,2021,Q2,-0.004340561909264018,-0.020271091717910528,0.08283394731763427,-0.104720073134142,-0.08185305565776524,0.08373866698450379,-0.022844781126145408,-0.03905914329856319,-0.05746572090937363,-0.02778660821560197,0.09819654487662544,017800
13,Samsung_Engineering,Industrials_&_Machinery,2021,Q2,-0.0467016887135403,-0.2597379748860069,0.0190853474691971,0.017278570117573944,-0.019519863643765678,-0.016882106609357093,0.030018674299074677,0.019890436575998094,-0.47668004175193945,0.017159849480353206,0.636646598282136,028050
13,Sejong_Industrial,Industrials_&_Machinery,2021,Q2,-0.007198630074970236,1.2001407077466553e-05,0.006951885836925853,-0.032992935501707565,-0.0744905402694962,-0.09038246417211239,0.06782990202992767,0.05475430763523348,0.08443689848177338,-0.0025217506138763834,0.035319960131990284,033530
13,Doosan_Heavy_Industries,Industrials_&_Machinery,2021,Q2,-0.1994301103051217,-0.34376332729869596,0.059005067466565864,0.010264614260695804,0.004992658749906287,-0.10960598539640581,-0.114860664021742,-0.08142572237234269,-0.0018995104720198608,-0.018237421815136656,0.7682270459420548,034020
13,Daewoo_Shipbuilding_&_Marine_Engineering,Industrials_&_Machinery,2021,Q2,0.2852354763482673,2.7873796573004848,0.027684175338356654,0.0433238867445378,0.04038156526066072,-0.02891598604293734,-0.09502416898655164,0.027438195232593166,-0.9144716681822853,0.03964967447189094,0.21488360407070106,042660
13,Doosan_Infracore,Industrials_&_Machinery,2021,Q2,0.5946689347372931,-0.48196088230574907,0.3666024122773416,0.5061657960009454,-0.041486096328079425,0.3626178716738104,-0.0453361521112885,-0.15472682080341915,0.09409576678576959,-0.23896984972127688,0.226517206542306,042670
13,Korea_Aerospace_Industries,Industrials_&_Machinery,2021,Q2,-0.04443841882252797,-0.08824711848453681,-0.4136726916832234,-0.035983315112646075,-0.15953594688876005,0.34247473182535815,-0.1537173549088553,-0.13765408379514565,0.5022019131797295,-0.13947494555878093,-0.16080042212446385,047810
