video_id,published_at,view_count
L5GwHbvxkpI,2019-08-13T23:56:48Z,3871
FRKkPvIx5_U,2019-08-13T09:38:14Z,2704
MOWOKgMh-88,2019-08-12T02:18:45Z,29896
_W1-MaTsrnE,2019-08-11T23:39:27Z,9246
ljv4B22bZlA,2019-08-11T23:33:25Z,14148
qMjG0Y_1Y_w,2019-08-09T09:16:08Z,1149
nwKQqs_JLpk,2019-08-09T08:11:58Z,4640
zKMzk4V3E3M,2019-08-09T02:45:53Z,2803
j9y77Hn1i_k,2019-08-08T09:31:44Z,2013
XV6qTeHogaQ,2019-08-08T09:26:52Z,2528
N8w5v822T6k,2019-08-08T04:29:25Z,37246
LFpjNWJEV1c,2019-08-07T23:39:22Z,15310
vqBMddoOoJ0,2019-08-07T06:02:47Z,1316
b0ZWDumGBb0,2019-08-07T05:30:33Z,13205
k7qEYq65KsU,2019-08-07T00:12:26Z,25689
RU2jnTrdKVI,2019-08-02T01:53:55Z,55141
AFrqz1lMUaA,2019-07-29T10:20:41Z,2776
pJ8pQYESqMI,2019-07-29T10:17:48Z,1563
EWHo7VC-2mE,2019-07-29T08:59:36Z,3115
