code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,차입부채
108670,LG_Hausys,건설,2021,Q4,"890,592,000,000","1,189,127,000,000","2,079,719,000,000","894,873,000,000","398,221,000,000","1,293,094,000,000","50,000,000,000","125,451,000,000","786,625,000,000",806897000000,6276000000,-1841000000,-1079000000,-1079000000,,
108670,LG_Hausys,건설,2022,Q1,"887,704,000,000","1,221,691,000,000","2,109,395,000,000","1,002,200,000,000","328,534,000,000","1,330,734,000,000","50,000,000,000","116,780,000,000","778,661,000,000",727137000000,5958000000,-4989000000,-5290000000,-5290000000,,
108670,LG_Hausys,건설,2022,Q2,"892,611,000,000","1,241,490,000,000","2,134,101,000,000","753,326,000,000","595,777,000,000","1,349,103,000,000","50,000,000,000","123,286,000,000","784,998,000,000",809670000000,9789000000,5453000000,6735000000,6735000000,,
108670,LG_Hausys,건설,2022,Q3,"874,913,000,000","1,251,474,000,000","2,126,387,000,000","786,401,000,000","585,631,000,000","1,372,032,000,000","50,000,000,000","93,084,000,000","754,355,000,000",772355000000,17330000000,-28250000000,-29951000000,-29951000000,,
108670,LG_Hausys,건설,2022,Q4,"827,962,000,000","1,231,493,000,000","2,059,455,000,000","808,045,000,000","542,500,000,000","1,350,545,000,000","50,000,000,000","47,373,000,000","708,910,000,000",755886000000,-8036000000,-76908000000,-74559000000,-74559000000,,
108670,LG_Hausys,건설,2023,Q1,"903,906,000,000","1,219,910,000,000","2,123,816,000,000","837,703,000,000","573,231,000,000","1,410,934,000,000","50,000,000,000","51,095,000,000","712,882,000,000",715423000000,11849000000,5859000000,5725000000,5725000000,,
108670,LG_Hausys,건설,2023,Q2,"874,814,000,000","1,193,022,000,000","2,067,836,000,000","818,349,000,000","507,161,000,000","1,325,510,000,000","50,000,000,000","80,734,000,000","742,326,000,000",813447000000,38370000000,30246000000,29570000000,29570000000,,
108670,LG_Hausys,건설,2023,Q3,"1,034,105,000,000","1,137,610,000,000","2,171,715,000,000","966,162,000,000","438,133,000,000","1,404,295,000,000","50,000,000,000","105,657,000,000","767,420,000,000",751893000000,26725000000,25246000000,24907000000,24907000000,25094000000.0,
108670,LG_Hausys,건설,2023,Q4,"888,198,000,000","1,079,853,000,000","1,968,051,000,000","827,051,000,000","415,787,000,000","1,242,838,000,000","50,000,000,000","63,805,000,000","725,213,000,000",775384000000,4692000000,-31124000000,-31320000000,-31320000000,-6744000000.0,
108670,LG_Hausys,건설,2024,Q1,"1,017,665,000,000","1,064,668,000,000","2,082,333,000,000","817,384,000,000","538,830,000,000","1,356,214,000,000","50,000,000,000","64,995,000,000","726,119,000,000",739622000000,26146000000,23351000000,18148000000,18148000000,17923000000.0,"219,945,000,000"
108670,LG_Hausys,건설,2024,Q2,"947,346,000,000","1,056,093,000,000","2,003,439,000,000","857,932,000,000","391,951,000,000","1,249,883,000,000","50,000,000,000","92,653,000,000","753,556,000,000",813680000000,30986000000,27101000000,27575000000,27575000000,27437000000.0,"252,413,000,000"
108670,LG_Hausys,건설,2024,Q3,"800,302,000,000","1,076,163,000,000","1,876,465,000,000","675,295,000,000","440,344,000,000","1,115,639,000,000","50,000,000,000","100,107,000,000","760,826,000,000",772113000000,15804000000,7870000000,7379000000,7379000000,7270000000.0,"173,704,000,000"
