code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,차입부채
108670,LG_Hausys,건설,2015,Q4,"798,771,000,000","1,087,040,000,000","1,890,659,000,000","423,352,000,000","576,084,000,000","999,436,000,000","50,000,000,000","222,704,000,000","891,223,000,000",2370082000000,117547000000,88060000000,67671000000,67671000000,,
108670,LG_Hausys,건설,2016,Q1,"875,257,000,000","1,093,073,000,000","1,973,138,000,000","494,981,000,000","582,305,000,000","1,077,286,000,000","50,000,000,000","227,198,000,000","895,852,000,000",572505000000,29165000000,27971000000,22716000000,22716000000,,
108670,LG_Hausys,건설,2016,Q2,"934,877,000,000","1,109,996,000,000","2,044,873,000,000","534,624,000,000","588,962,000,000","1,123,586,000,000","50,000,000,000","252,366,000,000","921,287,000,000",649830000000,36804000000,34040000000,25375000000,25375000000,,
108670,LG_Hausys,건설,2016,Q3,"990,262,000,000","1,074,445,000,000","2,064,707,000,000","543,417,000,000","595,085,000,000","1,138,502,000,000","50,000,000,000","257,239,000,000","926,205,000,000",611050000000,26090000000,6086000000,4983000000,4983000000,,
108670,LG_Hausys,건설,2016,Q4,"821,218,000,000","1,096,883,000,000","1,918,101,000,000","514,335,000,000","461,237,000,000","975,572,000,000","50,000,000,000","289,252,000,000","942,529,000,000",657176000000,33599000000,36276000000,22634000000,22634000000,,
108670,LG_Hausys,건설,2017,Q1,"929,334,000,000","1,148,824,000,000","2,078,158,000,000","631,599,000,000","508,939,000,000","1,140,538,000,000","50,000,000,000","284,453,000,000","937,620,000,000",647410000000,28197000000,17524000000,13587000000,13587000000,,
108670,LG_Hausys,건설,2017,Q2,"1,020,409,000,000","1,181,804,000,000","2,202,213,000,000","621,154,000,000","614,593,000,000","1,235,747,000,000","50,000,000,000","313,232,000,000","966,466,000,000",712384000000,37948000000,36944000000,29029000000,29029000000,,
108670,LG_Hausys,건설,2017,Q3,"1,058,420,000,000","1,224,330,000,000","2,282,750,000,000","675,035,000,000","621,013,000,000","1,296,048,000,000","50,000,000,000","333,578,000,000","986,702,000,000",738913000000,31280000000,28164000000,20602000000,20602000000,,
108670,LG_Hausys,건설,2017,Q4,"924,828,000,000","1,299,079,000,000","2,223,907,000,000","529,256,000,000","702,744,000,000","1,232,000,000,000","50,000,000,000","338,768,000,000","991,907,000,000",713974000000,9137000000,-4891000000,-3517000000,-3517000000,,
108670,LG_Hausys,건설,2018,Q1,"1,213,280,000,000","1,314,019,000,000","2,527,299,000,000","689,647,000,000","861,777,000,000","1,551,424,000,000","50,000,000,000","322,772,000,000","975,875,000,000",671271000000,12727000000,2196000000,2690000000,2690000000,,
108670,LG_Hausys,건설,2018,Q2,"1,060,226,000,000","1,332,008,000,000","2,392,234,000,000","541,213,000,000","862,129,000,000","1,403,342,000,000","50,000,000,000","328,228,000,000","988,892,000,000",736877000000,11789000000,7513000000,5806000000,5806000000,,
108670,LG_Hausys,건설,2018,Q3,"1,162,453,000,000","1,348,300,000,000","2,510,753,000,000","601,733,000,000","916,251,000,000","1,517,984,000,000","50,000,000,000","332,010,000,000","992,769,000,000",699593000000,2886000000,5485000000,3936000000,3936000000,,
108670,LG_Hausys,건설,2018,Q4,"837,125,000,000","1,307,158,000,000","2,144,283,000,000","386,744,000,000","820,226,000,000","1,206,970,000,000","50,000,000,000","276,738,000,000","937,313,000,000",709992000000,14005000000,-53417000000,-55115000000,-55115000000,,
108670,LG_Hausys,건설,2019,Q1,"1,067,598,000,000","1,335,545,000,000","2,403,143,000,000","626,166,000,000","844,234,000,000","1,470,400,000,000","50,000,000,000","272,133,000,000","932,743,000,000",644405000000,5116000000,-335000000,-1826000000,-1826000000,,
108670,LG_Hausys,건설,2019,Q2,"1,128,830,000,000","1,340,458,000,000","2,469,288,000,000","810,841,000,000","698,997,000,000","1,509,838,000,000","50,000,000,000","298,911,000,000","959,450,000,000",711732000000,21079000000,19189000000,26779000000,26779000000,,
108670,LG_Hausys,건설,2019,Q3,"976,916,000,000","1,389,526,000,000","2,366,442,000,000","706,581,000,000","692,814,000,000","1,399,395,000,000","50,000,000,000","306,504,000,000","967,047,000,000",662534000000,15378000000,10120000000,7674000000,7674000000,,
108670,LG_Hausys,건설,2019,Q4,"772,204,000,000","1,395,957,000,000","2,168,161,000,000","667,276,000,000","584,366,000,000","1,251,642,000,000","50,000,000,000","256,035,000,000","916,519,000,000",691830000000,468000000,-49422000000,-47951000000,-47951000000,,
108670,LG_Hausys,건설,2020,Q1,"850,089,000,000","1,378,884,000,000","2,228,973,000,000","802,360,000,000","497,800,000,000","1,300,160,000,000","50,000,000,000","268,528,000,000","928,813,000,000",623562000000,25136000000,19865000000,15081000000,15081000000,,
108670,LG_Hausys,건설,2020,Q2,"764,090,000,000","1,378,932,000,000","2,143,022,000,000","691,294,000,000","515,048,000,000","1,206,342,000,000","50,000,000,000","276,361,000,000","936,680,000,000",618574000000,19299000000,9481000000,7956000000,7956000000,,
108670,LG_Hausys,건설,2020,Q3,"865,564,000,000","1,370,754,000,000","2,236,318,000,000","736,958,000,000","514,788,000,000","1,251,746,000,000","50,000,000,000","324,247,000,000","984,572,000,000",645513000000,21443000000,61647000000,47893000000,47893000000,,
108670,LG_Hausys,건설,2020,Q4,"852,202,000,000","1,171,304,000,000","2,023,506,000,000","709,474,000,000","503,447,000,000","1,212,921,000,000","50,000,000,000","150,203,000,000","810,585,000,000",708861000000,7958000000,-208106000000,-176573000000,-176573000000,,
108670,LG_Hausys,건설,2021,Q1,"897,846,000,000","1,194,822,000,000","2,092,668,000,000","752,943,000,000","501,362,000,000","1,254,305,000,000","50,000,000,000","177,753,000,000","838,363,000,000",656117000000,22673000000,40694000000,30805000000,30805000000,,
108670,LG_Hausys,건설,2021,Q2,"863,787,000,000","1,147,144,000,000","2,010,931,000,000","913,244,000,000","315,123,000,000","1,228,367,000,000","50,000,000,000","121,040,000,000","782,564,000,000",762727000000,22485000000,-58516000000,-56563000000,-56563000000,,
108670,LG_Hausys,건설,2021,Q3,"899,458,000,000","1,165,973,000,000","2,065,431,000,000","802,746,000,000","477,271,000,000","1,280,017,000,000","50,000,000,000","124,281,000,000","785,414,000,000",731120000000,8158000000,4211000000,3402000000,3402000000,,
