접수번호,접수일자,회사코드,회사명,대표보고자,발행 회사 관계 임원(등기여부),발행 회사 관계 임원 직위,발행 회사 관계 주요 주주,특정 증권 등 소유 수,특정 증권 등 소유 증감 수,특정 증권 등 소유 비율,특정 증권 등 소유 증감 비율,연도,분기
20230403001192,2023-04-03,00631518,SK이노베이션,김준,등기임원,대표이사 부회장,-,"3,697","1,063",0.00,0.00,2023,Q2
20230428000892,2023-04-28,00631518,SK이노베이션,김준,등기임원,대표이사 부회장,-,"3,786",89,0.00,0.00,2023,Q2
20230504000649,2023-05-04,00631518,SK이노베이션,SK,-,-,10%이상주주,"32,283,664","1,060,155",34.45,1.13,2023,Q2
20230504000842,2023-05-08,00631518,SK이노베이션,김주연,등기임원,사외이사,-,361,361,0.00,0.00,2023,Q2
20230508000118,2023-05-08,00631518,SK이노베이션,김정관,등기임원,사외이사,-,839,376,0.00,0.00,2023,Q2
20230509000684,2023-05-09,00631518,SK이노베이션,최우석,등기임원,사외이사,-,901,405,0.00,0.00,2023,Q2
20230508000706,2023-05-09,00631518,SK이노베이션,김태진,등기임원,사외이사,-,787,402,0.00,0.00,2023,Q2
20230510000258,2023-05-10,00631518,SK이노베이션,박진회,등기임원,사외이사,-,818,456,0.00,0.00,2023,Q2
20230510000561,2023-05-10,00631518,SK이노베이션,이복희,등기임원,사외이사,-,277,277,0.00,0.00,2023,Q2
20230522000278,2023-05-22,00631518,SK이노베이션,임수길,비등기임원,Value Creation Center장,-,9,-58,0.00,0.00,2023,Q2
20230821000431,2023-08-21,00631518,SK이노베이션,SK,-,-,10%이상주주,"34,679,907","2,396,243",36.08,1.63,2023,Q3
20230822000193,2023-08-22,00631518,SK이노베이션,우상훈,비등기임원,ESG추진담당 직무대행,-,747,112,0.00,0.00,2023,Q3
20230823000249,2023-08-23,00631518,SK이노베이션,최우석,등기임원,사외이사,-,967,66,0.00,0.00,2023,Q3
20230823000087,2023-08-23,00631518,SK이노베이션,김준,등기임원,대표이사 부회장,-,"4,067",281,0.00,0.00,2023,Q3
20230823000328,2023-08-23,00631518,SK이노베이션,김정관,등기임원,사외이사,-,901,62,0.00,0.00,2023,Q3
20230824000234,2023-08-24,00631518,SK이노베이션,박진회,등기임원,사외이사,-,878,60,0.00,0.00,2023,Q3
20230825000001,2023-08-25,00631518,SK이노베이션,김태진,등기임원,사외이사,-,845,58,0.00,0.00,2023,Q3
20230921000066,2023-09-21,00631518,SK이노베이션,이춘길,비등기임원,부사장,-,526,56,0.00,0.00,2023,Q3
20230922000181,2023-09-22,00631518,SK이노베이션,김주연,등기임원,사외이사,-,392,31,0.00,0.00,2023,Q3
20230922000354,2023-09-22,00631518,SK이노베이션,김준,등기임원,대표이사 부회장,-,"4,123",56,0.00,0.00,2023,Q3
20230922000539,2023-09-25,00631518,SK이노베이션,최우석,등기임원,사외이사,-,980,13,0.00,0.00,2023,Q3
20230925000056,2023-09-25,00631518,SK이노베이션,김정관,등기임원,사외이사,-,913,12,0.00,0.00,2023,Q3
20230925000022,2023-09-25,00631518,SK이노베이션,김태진,등기임원,사외이사,-,856,11,0.00,0.00,2023,Q3
20230926000262,2023-09-26,00631518,SK이노베이션,박진회,등기임원,사외이사,-,890,12,0.00,0.00,2023,Q3
20230926000089,2023-09-26,00631518,SK이노베이션,김정남,비등기임원,담당,-,81,81,0.00,0.00,2023,Q3
20230927000776,2023-09-27,00631518,SK이노베이션,김일수,비등기임원,기술전략담당,-,"1,702",136,0.00,0.00,2023,Q3
20230927000531,2023-09-27,00631518,SK이노베이션,김윤제,비등기임원,사업개발담당,-,62,2,0.00,0.00,2023,Q3
20230927000812,2023-09-27,00631518,SK이노베이션,SK,-,-,10%이상주주,"34,679,907",0,34.03,-2.05,2023,Q3
20230927000875,2023-09-27,00631518,SK이노베이션,장재원,비등기임원,담당,-,503,503,0.00,0.00,2023,Q3
20231004000019,2023-10-04,00631518,SK이노베이션,김정태,비등기임원,부사장,-,826,826,0.00,0.00,2023,Q4
20240103000049,2024-01-03,00631518,SK이노베이션,김용수,비등기임원,담당,-,19,19,0.00,0.00,2024,Q1
20240207000086,2024-02-07,00631518,SK이노베이션,김준,등기임원,대표이사 부회장,-,"5,033",910,0.00,0.00,2024,Q1
20240208000637,2024-02-08,00631518,SK이노베이션,박상규,비등기임원,총괄사장,-,"2,003","2,003",0.00,0.00,2024,Q1
20241108000358,2024-11-08,00631518,SK이노베이션,SK,-,-,10%이상주주,"84,449,174","49,769,267",55.46,21.43,2024,Q4
20241108000400,2024-11-08,00631518,SK이노베이션,최재원,비등기임원,수석부회장,-,62,62,0.00,0.00,2024,Q4
20241108000489,2024-11-08,00631518,SK이노베이션,최영찬,비등기임원,사장,-,62,62,0.00,0.00,2024,Q4
20241115000159,2024-11-15,00631518,SK이노베이션,권기준,비등기임원,담당,-,122,122,0.00,0.00,2024,Q4
20241210000142,2024-12-10,00631518,SK이노베이션,CHO SANG HYUN,비등기임원,실장,-,268,29,0.00,0.00,2024,Q4
20241212000658,2024-12-12,00631518,SK이노베이션,류진숙,비등기임원,부사장,-,66,66,0.00,0.00,2024,Q4
20250106000085,2025-01-06,00631518,SK이노베이션,박지수,비등기임원,E&S기업문화실장,-,"2,500","2,500",0.00,0.00,2025,Q1
20250103000570,2025-01-06,00631518,SK이노베이션,김윤회,비등기임원,경영전략실장,-,38,38,0.00,0.00,2025,Q1
20250108000504,2025-01-08,00631518,SK이노베이션,손기복,비등기임원,부사장,-,11,11,0.00,0.00,2025,Q1
