,name,year,quarter,sector,Relative Return,영업이익 변화율,자산총계 변화율,비유동부채 변화율,비유동자산 변화율,이익잉여금 변화율,법인세차감전 순이익 변화율,Label,Code
29,대림산업,2017,Q3,건설,-0.11560459519957578,0.19740660967938828,0.02245043503213795,0.045603353885667275,0.08638699690624452,0.027850920539118196,0.5816062064829237,-0.11154265413313096,000210
29,현대건설,2017,Q3,건설,-0.1900207477224205,0.3713081911685736,-0.0020124955467591965,0.018446694986392398,-0.004480705171823418,0.01689500152429857,-0.28512362461496754,0.20833757687430982,000720
29,KCC,2017,Q3,건설,-0.09493906539262703,0.09985137837336144,-0.020947779054427906,-0.06967811441801386,-0.036741109062945254,0.013276958693922536,-0.0741462282972033,-0.10068709323209238,002380
29,한일시멘트,2017,Q3,건설,0.07450946031834868,-0.22897621578527472,0.08167672919519209,0.45505007370740325,0.17695179660021298,0.015288171858353738,-0.3232619417048277,-0.1328015080024008,003300
29,아이에스동서,2017,Q3,건설,-0.14836272527852445,0.0129387812781534,-0.0006609297499391431,-0.11347294111953543,0.013313247109586035,0.10952294527167461,-0.1073780301656454,-0.10459321326294091,010780
29,현대산업,2017,Q3,건설,-0.09943011953419714,0.21768531298334848,0.03389206573407999,0.36530546351596205,0.004926659404400402,0.04774872723556167,0.1976720874724025,0.05853474064697794,012630
29,삼성엔지니어링,2017,Q3,건설,0.1238958183741534,-2.8984247601592705,0.004204704870316434,-0.00035641872223168836,-0.004111419056675336,-1.3726019858627585,-3.784530608652506,0.48502412230596204,028050
29,대우건설,2017,Q3,건설,-0.23459878992406843,-0.7758539565880991,-0.034711688899392135,-0.11641197300650219,-0.006923519294128377,-2.5817981529532754,-0.7150097162594533,-0.11673522808773876,047040
29,한전기술,2017,Q3,건설,-0.0989931714951364,-0.7311837715114691,-0.05547450814149102,0.024485459059709447,-0.007904942282547678,0.011951139889514018,-0.10169068909174761,0.810527552024306,052690
29,LG하우시스,2017,Q3,건설,-0.16172406895413802,-0.1757141351322863,0.03657094023148533,0.010445937392713489,0.035983970269181764,0.06495504929253726,-0.2376569943698571,-0.08122129241574594,108670
