,name,year,quarter,sector,Relative Return,유동자산 변화율,금리 변화율,유동부채 변화율,실업률 변화율,당기순이익(손실) 변화율,이익잉여금 변화율,Label,Code
1,유한양행,2025,Q1,헬스케어,-0.1628941528114815,0.01933884363793026,-0.04532609924268127,0.055100325814192,0.2048192771084334,2.2532971258095653,0.0009352590769517999,-0.18038781866152037,000100
1,일동제약,2025,Q1,헬스케어,-0.03588237835449605,-0.0373925343503414,-0.04532609924268127,0.9032928534499596,0.2048192771084334,-1.065833478865477,1.099731144376542,0.1653324801427998,000230
1,동아쏘시오홀딩스,2025,Q1,헬스케어,0.028700735806593526,0.43218000633720166,-0.04532609924268127,-0.02535120409337621,0.2048192771084334,-2.5230534291097655,0.2751720121507337,-0.12477854110563781,000640
1,부광약품,2025,Q1,헬스케어,-0.14179874270054416,0.028440765284420966,-0.04532609924268127,-0.010729443432565766,0.2048192771084334,-1.0500194005535202,0.019151941142633078,-0.32301761425089603,003000
1,영진약품,2025,Q1,헬스케어,0.010025282691595272,0.0011135171084730722,-0.04532609924268127,-0.03740814121482672,0.2048192771084334,-2.0094752115995855,-0.05846345726680535,-0.20777006726536287,003520
1,녹십자,2025,Q1,헬스케어,-0.07599810252533833,0.14851693506480634,-0.04532609924268127,0.3536595354665075,0.2048192771084334,-7.302547231241286,0.00498093639188224,-0.12338699016110612,006280
1,일양약품,2025,Q1,헬스케어,0.15799290646567066,0.04092425680890388,-0.04532609924268127,-0.019097610896202877,0.2048192771084334,-0.19399818251756829,-0.0038593053354550877,-0.2157647863500042,007570
1,서흥,2025,Q1,헬스케어,0.10030059877336296,0.03462174712699917,-0.04532609924268127,0.013065349742987342,0.2048192771084334,-5.049649393025644,0.04623444706401636,-0.12209020690401884,008490
1,광동제약,2025,Q1,헬스케어,0.003250909332369178,-0.003675050484546416,-0.04532609924268127,0.027942148503322217,0.2048192771084334,-0.44942602609944404,0.005997224264545409,-0.1417282751938176,009290
1,대웅제약,2025,Q1,헬스케어,0.2198333014979163,0.04082612400015462,-0.04532609924268127,-0.05338384944399899,0.2048192771084334,-5.71750516626506,0.03260904565383527,-0.3136310323544046,069620
1,한미약품,2025,Q1,헬스케어,0.19721126386584625,-0.03755201673985997,-0.04532609924268127,-0.08569679432321964,0.2048192771084334,-0.15662245077445125,0.07061837541207727,-0.26434031412208864,128940
1,동아에스티,2025,Q1,헬스케어,0.050517048989813185,-0.060513487321415704,-0.04532609924268127,0.329827087561982,0.2048192771084334,0.13146176815290378,-0.008270486715784453,-0.29699002255847723,170900
1,종근당,2025,Q1,헬스케어,0.03744108385905353,0.031663558653945545,-0.04532609924268127,0.07779028086894924,0.2048192771084334,0.777931361658015,0.001193122844532768,-0.2366399656900329,185750
