Variable,VIF
const,1.3441357266838219
F_유동자산 변화율,1.4130066406079733
F_비유동자산 변화율,2.483622029523091
F_자산총계 변화율,9.0946708041426
F_유동부채 변화율,2.859286424707915
F_비유동부채 변화율,1.030494232299849
F_부채총계 변화율,6.040132901302795
F_이익잉여금 변화율,1.0276668156673119
F_자본총계 변화율,4.173307259882614
F_매출액 변화율,1.11519670125065
F_영업이익 변화율,1.0632919249960011
F_법인세차감전 순이익 변화율,1.1396723578782328
F_당기순이익(손실) 변화율,1.1362477237399424
M_소비자물가지수 변화율,2.3077005625439164
M_환율 변화율,1.433228564377119
M_GDP 변화율,2.893691733828946
M_금리 변화율,1.976812998602048
M_수출액 변화율,2.6011721296221566
M_실업률 변화율,2.5473491227640386
M_국제유가 변화율,2.105850275453565
M_주택가격 변화율,1.7634726682150461
